question,answer,wrong1,wrong2,wrong3
Water enters into the root from the soil on account of:,Suction pressure,Root pressure,Osmotic pressure,Wall pressure
"In the plant in which periderm is developed, some gaseous exchange occurs through the structure called:",Lenticel,Stomata,Subsidiary cell,All
Which is a measure of osmosis?,Osmometer,Potometer,Photometer,Respirometer
Which pressure is lower than that of a pure solvent when a solute is added?,DPD,TP,OP,WP
Guttation occurs through,Hydathode,Stomata,Lenticel,Water
If a plant is kept free of Co2,Stomata open,Stomata close,Stomata not affected,All
Gaseous exchange in cork cell takes place by:,Lenticel,Stomata,Hydathodes,Cuticle
The core of chlorophyll is made up of:,Mg,Mn,C,Zn
"In photo respiration, the number of glycine required to produce one CO2 molecule",Two,One,Three,Four
Primary CO2 acceptor in C4 cycle,Phosphoenol pyruvate,Rubisco,OAA,Malic acid
In photosynthesis oxygen in glucose comes from,H2S,H2O,CO2,SO2
The assimilatiory power for reduction of 6 molecule of CO2,18 ATP AND 12 NADPH2,18 ATP AND 18 NADPH2,12 ATP AND 18 NADPH2,12 ATP AND 12 NADPH2
Cytokinin is onvolved in,Cell division,Cell elongation,Seed germination,Abscission
Photo respiration occurs by,"Peroxisome, mitochondria and chloroplasts",Mitochondria and chloroplasts,Chloroplasts and peroxisome,Peroxisome and mitochondria
Root and shoot initation in callus is done by altering the ratio of,Auxin to cytokinin,Cytokinin to gibberelin,Auxin to gibberelin,Auxin to ethylene
High CO2 in sugarcane is assimilated in,Hatch and slack,Calvin cycle,Kreb cycle,None
Opening of flower involves,Epinasty,Hyponasty,Nutation,Phototaxis
Pigment system is mainly concerned with,Photolysis of water,Flowering,Photosynthesis,Respiration
Gibberlin is treated to dwarf plant and crossed with pure tall plant.What will be phenotype of F1 generation ?,All tall,All dwarf,75 % tall 25 % dwarf,"25% dwarf ,75 % tall"
The first step involved in photosynthesis,Fixation of CO2,Photolysis of water,Excitation of electron from chlorophyll from PSI/PSII,Production of NADPH2 AND ATP
Which of the following involves both photosynthesis and respiration,Green plants,Bacteria,Virus,Fungi
Sprouting of potato tuber during storage is due to,Gibberelin,Auxin,Cytokinin,Absisic acid
Opening and closing of flower is type of movement,Nastic,Tropic,Autonomic,None
ATP is formed in large number during,Krebs cycle,Light reactions of photosynthesis,Dark reaction of photosynthesis,Glycolysis
Which induces male flower in place of femaleflower ?,Gibberlin,Auxin,Ehylene,Cytokinin
The hormone present in the liquid endosperm of coconut is,Ctokinin,Ethylene,Gibberelins,Auxin
Movement of plant in response of touch is,Thigmonastic,Thermonastic,Sismonastic,Phototropic
Genetically dwarf plants can be made taller by,Gibberlins,Auxins,Cytokini s,vernalin
Which hormone is primarily responsible for cell division in plants?,Vernalin,ABA,IAA,Gibberelin
Which hormone is primarily concerned with cell division in plants ?,Cytokinin,IAA,Gibberlin,ABA
Endodermis is a part of:,Extrastellar tissue system,Epidermal tissue system,Vascular tissue system,Intrastellar tissue system
Annual rings help in:,Determining the age of tree,Determining the weather,Distribution of hormones in plant,Wound healing
"When phloem is removed, the structure that dies first is?",Root,Shoot,Leaf,Bark
Lignin is mostly found in:,Sclerenchyma,Parenchyma,Collenchyma,Phloem
Vascular bundle is derived from:,Procambial stripe,Periblem,Dermatogen,Periderm
"When a ring of bark is removed from a tree,",Food is not transformed from leaf to root,Photosynthesis stops,Water is not absorbed from the root,Plant will die due to shock
Annual rings is used for determining:,Age of plant,Secondary growth,Seasonal wood,Climate
Which of the following part of plant have power of totipotency?,Meristematic tissue,Xylem,Phloem,Cambium
Histogen theory is given by:,Hanstein,Nageli,Grew,Malphigi
Collateral vascular bundle is :,Open or closed,Of same radius,Always open,Always closed
Which layer give rise to stele?,Pleorome,Periblem,Dermatogen,Calyptrogen
The study of determing the age of plants by studying annual rings is:,Dendrochronology,Gerantology,Angiology,Dermatology
Which of the following is responsible for the growth in circumference of stem or root?,cambium,Xylem,Phloem,Cortex
Cells in the root having power of division:,Aerophoric cells,Mucilage cells,Mersitematic cells,Hypocotyl cells
Exarch xylem has:,Metaxylem towards centre and protoxylem towards periphery,Protoxylem towards centre and metaxylem towards periphery,Meta and protoxylem arranged radially,Meta and protoxylem on the same side
"If a sign board was nailed to the side of a tree 5ft. above the ground in 1965, how high would be sign in 1978, if the tree grew 4 inches taller each year?",5 ft,9ft 8 inches,8 ft,14 ft 8inches
The ballon like growth of parenchyma in the lumen of a vessel is known as:,Tyloses,Phellogen,Tunica,Histogen
Cricket ball is made from:,Quercus,salix,Willow,Mulberry
Grafting will possible in monocot plants if only it has:,Herbaceous stem,Scattered vascular bundles,Parallel vein,Cambium
Phloem of pteridophytes lack:,Companion cell,Sieve cell,Phleom parenchyma,Phleom sclerenchyma
Chloroplast containing cell is:,Chlorenchyma and parenchyma,Collenchyma and parenchyma,Collenchyma and sclerenchyma,Collenchyma and chlorenchyma
Procambium is situated just behing apical meristem. Procambium give rise to:,Cork cambium,Primary vascular cambium,Vascular cambium,Both a and b
Meristem responsible for extrastellar secondary growth in dicotyledonous stem:,Phellogen,Interfasicular cambium,Intercalary meristem,Intrafasicular cambium
Secondary growth in thickness of plants is brought about initially by division of the:,Cambium,Medullary ray,Xylem,Pericycle
Stele lacking pith is called:,Protostele,Dictyostele,Siphonostele,Meristele
Cell drinking is refferd to:,Pinocytosis,Plasmolysis,Diffusion,Phagocytosis
Food is transported to different parts of plant through:,Cortex,Xylem,Phloem,Pith
A tissue is a group of cells which are:,"Similar in origin, form and function",Similar or dissimilar in structure but common in origin and function,Similar in form and function but dissimilar in origin,Similar in origin but different in function
"Hematoxylin, a stain is obtained from a plant belonging to:",Caeselpinaceae,Papilionaceae,Mimosaceae,None
"Suberin, in dead cork cell:",All,Check transpiration,Prevents from infection,Makes cells wall strong and impermeable
The cell and the corresponding substance stored in storage parenchyma:,Specialized cells nectar and oil,Non green larg sized cells wafer and tannins,Large sized vacuolated cells-water and mucilage,Chloroplast containing large cells-large air cavities
Cell type in xylem transporting sap inside plant:,Fusiform tracheids and vessels,Helical tracheids and vessels,Pitted tracheids and wood parenchyma,Annular tracheids and wood parnechyma
All in the group are characteristics of Monocot:,"Peri cycle does not form cambium, the pith is absent and leaves are dorsiventral",Pericycle forms cambium pith is absent and leaves are isobilateral,"Peri cycle forms cambium, the pith is well developed and leaves are dorsi ventral","Peri cycle forms cambium, the pith is well developed and leaves are dorsiventral"
