question,answer,wrong1,wrong2,wrong3
Smallest living cell with cell wall:,Bacteria,Mycoplasma,Viroids,Virus
Cell theory was given by:,Schleiden and Schwann,Rudolf Virchow,Steward and his co-workers,Robert Hooke
Who stated that cell is basic unit of all plants?,Schleiden,Swanson,Schwann,Virchow
Who stated that cell is basic unit of all plants?,Schleiden,Swanson,Schwann,Virchow
What is exception to cell theory?,Viruses,Bacteria,Mycoplasma,None
Every living cell has a:,Membrane,Food vacuole,Chloroplast,Cell wall
Capacity of a single living plant cell to regenerate into whole plant:,Cellular totipotency,Cell doctrine,Cytokinetics,Cytogenesis
Phenomenon of cellular totipotency was proved by:,Steward,Haberland,Robert Hooke,Kolliker
A plant cell usually differs from an animal cell in:,Presence of large vacuole,Presence of lysosomes,Absence of chloroplast,Absence of cellulosic cell wall
A plant cell usually differs from an animal cell in:,Absence of centriole,Presence of centriole,Absence of vacuoles,Presence of mitochondria
A plant cell must have:,Cell wall,Mitochondria,Lysosomes,Centriole
The organelle performing similar function in both animal and plant cells is:,Ribosome,Chloroplast,Cell wall,Contractile vacuole
A leucocyte is an animal cell because it has:,Centriole,Plasma membrane,Irregular shape,Mitochondria
The outer most covering of a cell containing centriole is:,Cell membrane,Cell wall,Cytoskeleton,None
The plant cell differs from animal cell in:,Presence of large vacuoles,Presence of lysosomes,Absence of chloroplast,Absence of cellulosic cell wall
The contuinity of nucleoplasm and cytoplasm is maintained through nuclear pores in:,Eukaryotic cells,Prokaryotic cells,Both a and b,None
Prokaryote means:,A cell with diffused nucleus,A cell with many nuclei,A cell without chloroplast,A cell with one nucleus
The basis of grouping of living organisms into eukaryotes and prokaryotes is:,Nucleus,Plasma membrane,Ribosomes,None
Prokaryotic cells do not possess:,Nuclear membrane,Cytoplasm,Plasma membrane,Cell wall
Prokaryotic genetic system genome contains:,DNA but no histones,DNA and histones,DNA or histones,Neither DNA nor histones
An eukaryotic cell contain:,Both a ans b,70s ribosomes,80s ribosomes,None
Prokaryotic genome differs from eukaryotic genome because it is:,Non-repetitive,Linear,Single stranded,With histone
The cells of Dinoflagellates are:,Mesokaryotic,Prokaryotic,Eukaryotic,None
Amoeba is an example of eukaryotic cell because it has:,Nuclear membrane,DNA,Plasma membrane,Contractile vacuole
An sample of akaryotic cell:,Sieve tube cell,Reptilian RBC,Dinoflagellates cell,Bacterial cell
Cilia/flagella is made up of which protein eukaryotes?,Tubulin,Falgellin,Chondrin,Myosin
All are membrane bound cell oraganelles except:,All,Centrioles,Chromosomes,Nucleolus
Which of the following are not membrane bound?,Centriole,Endoplasmic reticulum,Chloroplast,Vacuoles
Organelle bound by membrane is/are:,All,Transosomes,Microbodies,Mitochondria
Oraganelle bound by triple membrane is:,Transosomes,Lomasosomes,Plastids,Golgi bodies
Single membrane bound cell organelle is:,All,Golgi bodies,Vacuole,Lysosomes
Largest cell oraganelle of a cell is:,Chloroplast,Nucleus,Mitochondria,Ribosomes
Largest cell oraganelle in animal cell is:,Mitochondria,ER,Chloroplast,Lysosomes
Smallest membrane bound cell oraganelle is:,Lysosomes,Ribosomes,Nucleus,Chloroplast
Smallest membrane bound cell organelle is:,Lysosomes,Ribosomes,Nucelus,Chloroplast
Smallest and most numerous cell organelle is:,Ribosome,Lysosome,Centriole,Golgi body
"Which cell organelle is known as ""Engine of cell""?",Ribosomes,Mitochondria,Nucleus,Chloroplast
Membrane factory of cell is known for:,Endoplasmic reticulum,Golgi bodies,Mitochondria,Nucleus
"Which cell oraganelle is also known as ""store house of cell""?",Vacuoles,Cell sap,Cytoplasm,Golgi bodies
Nucleolus is known as:,Ribosomal factory of cell,Kitchen house of cell,Suicidal bag of cell,Control center of cell
Cell wall is:,Both a and b,Non-living,Permeable,Selectively permeable
The outermost layer of cell wall is:,Middle lamella,Primary wall,Secondary wall,Tertiary wa
The layer of cell wall that is formed soon after the cell division is:,Middle lamella,Primary cell wall,Secondary cell wall,Cell coat
The secondary cell wall is present:,Inside the primary cell wall,Inside plasma membrane,Outside the middle lamella,Outside the primary cell wall
Which chemical substance is abundantly present in the middle lamella?,Pectin,Lignin,Suberin,Cutin
The strength and rigidity of a cell wall is due to the substance called:,Lignin,Suberin,Cellulose,Pectin
Lignin is generally found in which layer of cell wall?,Secondary wall,Middle lamella,Primary wall,All
The internal layer joining the primary wall of the two adjacent cells is called:,Middle lamella,Plasmodesmata,Casparian strip,Periderm
Continuity of cytoplasm through cell to cell is controlled by:,Plasmodesmata,Desmotubule,Plasma membrane,Pits
Connection between two adjacent animal cells is called:,Desmosomes,Plasmodesmata,Pits,Dictyosome
The cell wall is interrupted by minute pores called:,Plasmodesmata,Microtubules,Microfibrils,Plasmalemma
The famous unit membrane concept was given by:,Robertson,Dani elli and Davson,Singer and Nicolson,None
The exoskeleton of an animal cell is:,Cell membrane,Cell wall,ER,Microtubules and microfilaments
Unit membrane consists of:,Protein+lipid+protein,Lipid+sugar+lipid,Lipid+protein+lipid,Protein
Cell membrane is:,Semipermeable,Permeable,Impermeable,Porous
