question,answer,wrong1,wrong2,wrong3
"In frog, mouth is bounded bytwo bony jaws and covered by::",Immovable lips,Movable lips,Semi-movable lips,None
The pylangium and syanglumin frog's heart is marked by :,2^nd row of semi-lunar valves,First row of semi-lunar valves,Spiral valve,Sinu-arteral node
The hind brain of frog consists of :,Medulla oblongata and cerebellum,Optic lobe,Optic lobes and medulla oblongata,Diencephalon and medulla oblongata
Mesorchium refer to :,A peritoneal fold that connects testis and kidney in frog,Capusle in testis of frog,Capusle in ovary of rabbit,A peritoneal fold that connect ovary and kidney in frog
"In frog, glottis is controlled by the muscle of :",Arytenoid cartillage,Vocal cords,Sternum,Pectoral girdle
Skin of frog does not possess,Scales,Mucous glands,Chromatophore,Epidermis
The glands Present in the skin of frogs are,Mucous and poisonous,Sweat and mucous,Sweat & Mammary,Sweat and sebraceous
Which of the following mainly used in capturing the prey of frog ?,Tounge,Lips,Teeth,Head
Layer of skin actively dividing cells in frog in termed as,Malpighi,Corneum,Compactum,Sponglosum
Spiral valve is present in :,Pylangium of conus arteriosus of frog's heart,Sinus venosus of frog's heart,Right auricle of rabbit heart,Synagium of conus arteriosus of frog's heart
Harderian glands are fround in the eye of,Frog,Rabbit,Man,Earthworm
"In frog, oviduct is the modification of :",Mullerian duct,Wolffian duct,Bidder's canal,metanephric duct
Pylangium in Frog's present in :,Conus arteriosus,Atrium,Ventricle,Sinus venosus
Bidder's canal is meant for passage of,Sperm,Ova,Testis,All
Contraction of sternophyal muscles during breathing in frog :,Lower floor of oral cavity,Closes glottis,Opens the nostrils,Raises floor of oral cavity
Frogs and toads belongs to order,Anura,Apoda,Caudata,Gymnophiona
males frogs can croak louder than females because being,Vocal scas,Stronger,Larger in size,Larger sound box
Croaking of frog's is :,Sex call for female,Hunger call,Danger call,Muscial tone
The body of frog in divisible into,Head and trunk,"Head, neck and trunk","Head, neck, trunk and tail","Head, neck, thorax,abdomen tail"
Chromatophores in skin of frog found in stratum,Mostly Spongiosum,Corneum,Compactum,Germinativum
A frog must swallow air to expand the lungs because frog,Has no diaphragm,Has no vagus nerve,Is relatively primitive Vertebrate,Normally breathe through its skin
Heart of frog differs from that of man by presence of,Sinus venosus,Two aortae,Mitral valve,Four chambers
The sinus venosus is located on :,Dorsal surface of heart of Frog,Ventral surface of heart of Frog,Dorsal surface of heart of Rabbit,Ventral surface of heart of Rabbit
chordae tendineae in heart of frog is found in the wall of,Ventricle,Left auricle,Right auricle,Sinus venosus
Sclatic vein of frog opens in,Pelvic region,Heart,Kideny,Liver
The first pair of lymph hearts in frog pumps the lymph into,subscapular vein,Femoral vein,Subclavian vein,Hepatic portal vein
Frog usually ingnores which in its diet,Motinoless prey,Insects,Worms,Molluscs
"In frog, the surface of attachment of tongue is",Hyoid apparatus,Palatine,Sphenoid,Pterygoid
"In frog, pyloric sphincter is located between",stomach and duodenum,Fundus and pylorus,Cardiac and Fundus,Oesophagus and pharynx
Y-shaped bone in frog skull is :,Pterygoid,squamosal,Quadrato-jugal,Palatine
Which of the following vertebra is amphicoelous in Frog ?,8^th,9^th,Typical,Axis
The core of lower jaw is formed by :,Meckel's cartillage,Mentomeckelian,Angulosplenial,Dentay
Laryngo-tracheal chamber is found in :,Frog,Rabbit,Hare,Monkey
If the mouth of frog is kept open for some time it dies because it is unable to,Breathe,Eat,Drink,None
"In frog, cutamneous resipration takes place",Always,Only on land,Only in water with pulmonary resipration,Only in water pulmonary respiration is not ocurrring
Liver of frog differs with mammals in the lack of,Glisson's capusule,Hepatic cell,Kupffer's cell,All
Digital formula of forelimb in frog is,"0,2,2,3,3","0,3,2,3,3","2,2,3,3,3","2,3,3,3,3"
Oviduct collects the ova from,Coelomic fluid,Ovary,Tester,Abdominal cavity
"In which vertebra of a frog, the centrum is acoelous",1^st,7^th,8^th,9^th
Which of the following bones on the skull of a frog doesn't bear teeth?,Dentary,Pre maxillary,Maxillary,Vomer
The centrum of the typical vertebra of a frog is,Procoelous,Acoelous,Amphicoelous,Amphiplatyan
Which of the following is absent in frog?,External ear,Middle ear,Internal ear,None
"In frog, pigment cells are found in :",Dermis only,Epidermis only,Both the epidermis and dermis,None
"In frogs, the pancreas produces:",3 digestive enzymes and 2 hormones,3 digestive enzymes and 5 hormones,3 digestive enzymes and 3 hormones,2 digestive enzymes and 1 hormone
Which of the following is not an intestinal hormone in a frog?,Gastrin,Enterogastrone,Cholecystokinin,Secretin
The liver of a frog consists of :,3 lobes,1 lobe,2 lobes,4 lobes
"In frogs, the tongue is kept sticky by the secretion of :",Intermaxillary Glands,Intermandibular Glands,Mucous Gland of epithelial cells,Pre-lingual Glands
Frog's heart does not have :,Av node,Sinus venous,SA node,Inter auricular spectum
The heart of a frog differs from that of a rabbit by the presence of :,sinus venosus,2 aorta,Three and half chambers,Pulmonary veins
The lungs of a frog also act as :,Hydrostatic organ,aerostatic organ,Thermostatic organ,All
