question,answer,wrong1,wrong2,wrong3
When Cl2 is reacted with hot and conc. Caustic soda. The product formed is,NaCl+NaClO3,NaCl+NaClO,NaClO+NaClO3,NaClO3+H20
"In the reaction CH3.CH2.OH+HX----> CH3CH2X + H2O, where X is Cl,Br,I. The order of reactivity of HCl , HBr and HI in the reaction is",HI>HBr>HCl,HCl>HBr>HI,HCl>HI>HBr,HI>HCl>HBr
To obtain HI from Iodine which reagent is used?,H2S,HCl,Cl2,H2O
Which of the follwing is the strongest acid,HI,HF,HCL,HBr
Antichlor is,Chlorine absorber,Chlorine releaser,Bleaching agent,NH3 absorber
Deacon's process is employed for the manufacture of,CI2,HNO3,H2SO4,NH3
Which of the flowing compound has the highest boiling point?,HF,HCI,HBr,HI
Chlorine act as a bleaching agent only in,Moisture,Dry air,sunlight,Oxygen
Which of the following is the most volatile?,HCl,HBr,HI,HF
Which of the following halogens has the maximum value of electron affinity ?,Cl,F,Br,I
Sea water is used as a source of manufacture of,Bromine,Chlorine,Iodine,Fluorine
Pick out the correct statement?,Cl2 bleaches by oxidation and SO2 by reduction,Sulphur is lab reducing agent,O2 has the highest electronegativity,H2 is a fire extinguisher gas
HCl can be prepared in conc. H2SO4 but HBr can not be prepared in presence of Conc. H2SO4 because,HBr is more reducing than HCl,HBr is heavier than HCl,HBr is more oxidizing,Br2 doesn't react with H2SO4
KI reacts with which of the following to liberate iodine.,Cl2,Zn,Mg,Al
Which of the following can yield bromide from KBr?,Cl2,I2,HI,HIO3
"During preparation of CL2 from HCl, MnO2 act as",Oxidizing agent,Reducing agent,Dehydrating agent,Catalyst
Which of the following is most metallis?,I2,Br2,Cl2,F2
"In the valence shell electronic structure for an element is ns2 np5, then the element belongs to the group of",Halogens,Alkali metals,Nobel gases,Inert metals
Sea weeds are the important source of,Iodine,Chloride,Bromide,Fluoride
Chloride gas is evolved by the action of,HCL on KMnO4,H2SO4 on NaCl,HCL on K2SO4,HNO3 on KCl
Silver halide which is least soluble in NH4OH is,AgI,AgF,AgCl,AgBr
Bleaching powder is an example of,A mixed salt,An acidic salt,A complex salt,A double salt
Excess of Cl2 reacts with NH3 product formed are,NCL3 and HCI,N2 and NH3,N2 and NCl3,n and NH4CI
KI and CuSO4 solutions when mixed it gives,Cu2I2 + K2SO4 + I2,CuI2+K2SO4,Cu2I2,CuI2 +K2SO4 + I2
The strongest oxidizing agent is,F2,Cl2,O2,O3
Tincture of Iodine is,I2KI and rectified spirit,I2 and rectified spirit,KI and rectified spirit,I2 and water
