question,answer,wrong1,wrong2,wrong3
Blister copper is,Cu containing 1% impurity,Ore of Cu,alloy of Cu,Pure Cu
Copper is extracted from low grade ore by:,Hydrometallurgy,electrometallurgy,Pyrometallurgy,All the above process
Malachite is,CuCO3.Cu(OH)2,Cu2S,CuFeS2,CuCO3
Iron is obtained on a large scale from Fe2O3 by,Smelting with carbon,Reduction with Al,Calcination,water gas
Mohr's salt is:,Double salt,Acid salt,Basic salt,Mixed salt
Rusting of iron is a chemical reaction. The reaction is:,Combination,Analysis,Displacement,Decomposition
Nitriding is a process of surface hardening steel by treating it in an atomsphere of:,NH3,N2,CO,CO2
"If a steel article is heated to redness and then suddenly cooled by plunging into water or oil, it becomes:",Hard & brittle,Hard & ductile,soft & ductile,soft & brittle
Iron rendered passive on treatment with,HNO3,HCL,H2SO4,NaOH
"Zinc does not show variable valency, because",its d-subshell is complete,it is relatively soft metal,its d-subshell is incomplete,it has two electrons in outermost shell
"When excess of SnCl2 is added to a solution of HgCl2, a white precipitate turning to grey obtained. This grey colour is due to the formation of:",Hg,Hg2Cl2,SnCl4,Sn
Molecular formula of corrosive sublimate is,HgCl2,Hg2Cl2,HgCl,NaCl
Calomel is:,Hg2Cl2,HgCl2,Hg+HgCl2,Hg2Cl2&Hg
White vitriol is:,ZnSO4.7H2O,CuSO4.5H2O,ZnSO4.5H2O,FeSO4.7H2O
Which is called Rinmann's green?,Complex of ZnO with CoO,Ferrous ferrocyanide,Ferric ferricyanide,Ferric ferrocyanide
Which is called philosopher's wool?,ZnO,HgCl2,MgNO3,Zn-amalgum
Silver obatined from argentoferous lead is purified by:,Cupellation,Distillation,Froath floatation,rean with KCN
