question,answer,wrong1,wrong2,wrong3
Semi water gas is,Co+H2+N2,Co+H2,CO2+N2,CO2+N2+H2
Graphite is good conductor of electricity,Due to the presence of free electrons,Because it is soft and lustrous,because all C-bonds gets satisfied,Due to SP2 hybridization of C-C atoms
Glass is a,Super cooled liquid,Crystalline Solid,Amorphous solid,Organic polymer
CaCO3-->CaO+CO2. But the formation of CaO could occur because,CO2 escapes,There is not enough temperature,There is no catalyst,Statement is wrong
Which one of the following is mostly found in the composition of fuel gas,CO,CO2,N2,H2
The glass used in optical instrument is,Flint,Silica,Pyrex,Soda
Atomic hydrogen produces Formaldehyde when it reacts with,carbon monoxide,water,carbon dioxide,Formic acid
Carbogen is,Mixture of O2 and CO2,pure form of carbon,COCl2,Mixture of Co and C2
Which of the following is the moderator in the nuclear reactor,Graphite,Boron,Cadmium,Silicon
Diamond has,Covalent bond,Ionic bond,Coordinate bond,Both covalent and coordinate bond
calcium bicarbonate in heating on a klin gives,Quick lime,Clinker,lime mortar,Slurry
Portland cement does not contain,Cadmium,Silica,Cao,Alumina(Al2O3)
Which is present in bone,Ca(PO4)2,CaCO3,NaHCO3,H3PO4
The charcoal used to decolourize brown sugar solution is,Animal charcoal,Wood charcoal,Coconut charcoal,Sugar charcoal
Synthesis gas is a mixture of,H2 and CO,Steam and CO,CO and N2,H2 and CH4
Ortho silicate is,Mg2SiO4,Na2SiO3,Si2(SiO2),MgSiO3
What is dry ice?,CO2 at -70°C,NO2 at -70°C,H2O at -70°C,H2O at +70°C
Molecular formula of Butter of tin is,SnCL4. 5H2O,SnCl4. 7H2O,SnCl4. 10H2O,SnCl4. 24 H2O
Fullerene is,Allotrope of C,Isomer of C,Ore of C,isotope of C
Structural with of silicones,RSiO2,RSiO3,R2SiO,R2SiOR
Wood charcoal is used in decolourising sugar industry based on,Absorption,Oxidation of Charcoal,Reduction of Charcoal,Adsorption
Diamond is an example of,Tetrahedral Crystal,Octahedral crystal,Decahedral crystal,Hexagonal crystral
lead pipes are not good for drinking purpose because,from lead hydroxide with water,soluble in water,Disintegrate in water,form lead oxide
Gobar gas contain,CH4+Co2,CO+H2,CH4+O2,CO+H2+N2
Graphite conduct electricity due to,Presence of valence electron,Sp2 Hybridization,Layered structure,Vandar wall's force
