question,answer,wrong1,wrong2,wrong3
Drift velocity Vd varies with the intensity of electric field as per the relation,Vd α E,Vd α 1/E,Vd = constant,Vd α E^2
"When current flows through a conductor, then the order of drift velocity of electrons will be",10^-2 cm/sec,10^10 m/sec,10^4 cm/sec,10^-1 cm/sec
Which of the following is vector quantity?,Current density,Current,Wattless current,Power
The flow of 6.25*10^12 electrons per second from a wire constitutes current equals to,μA,mA,1A,1 nA
"A charged particle having drift velocity of 7.5*10^-4 m/s is an electric field of 3*10^-10 V/m, has a mobility in m^2/Vs of",2.5 * 10^6,2.25 * 10^-15,2.25 * 10^15,2.5 * 10^-6
Current of 4.8 amperes is flowing through a conductor. The number of electrons per second will be :,3*10^19,7.68*10^21,7.68 * 10^20,3*10^20
"The electric intensity E, current density j and specific resistance k are related to each other by the relation",E =jk,E =j/k,E =k/j,K = JE
5 amperes of current is passed through a metallic conductor. The charge flowing in one minute in coulumbs will be,5,12,1/12,300
A steady current flows in a metallic conductor of non-uniform cross-section. The quantity/ quantity constant along the length of the conductor is are,Current only,"Current, electric field and drift speed",Drift speed only,Current and drift speed
An electron resolves 6*10^15 times/sec in circular loop. The current in the loop is,0.96 mA,0.96  μA,28.8 A,None of these
The charge of an electron is 1.6* 10^-19 C. how many electrons strike the screen of a cathode ray tube each second when the beam current is 16 mA,10^17,10^19,10^-19,10^-17
The drift velocity does not depend upon,Length of the wire,Cross-section of the wire,Number of free electron,Magnitude of the current
"If an electric current is passed through a nerve of a man, then man",Is excited,Begins to laugh,Begins to weep,Becomes insensitive to pain
"The drift velocity of free electrons in a conductor is v when a current I is flowing in it. If both the radius and current are doubled, then drift velocity will be",V/2,V,V/4,V/8
"The electric field E, current density J and conductivity σ of a conductor are related as",σ = j/E,σ = E/j,σ = jE,σ = 1/jE
