question,answer,wrong1,wrong2,wrong3
Triple layer cell organelle is :,Transosome,Nucleus,Mitochondria,Chloroplast
A thin membrane that envelops the structure of chromosomes is known as,Pellicle,Matrix,Chromonemata,Chromosome
"When all organelles are removed from a cell, the remaining fluid like portion left is called",Hyaloplasm,Cytoplasm,Protoplasm,None
Ability of a plant or animal cell to repeatedly divide and differentiate into a complete organism is,Cellular Totipotency,Cloning,Breeding,Mitosis
All of the following are membrane bound except,Centriole,ER,Chloroplast,Vacuole
Cell arises from pre existing cells only by reproduction. This theory was given by,Rudolf Virchow,Robert Brown,Robert Hooke,Schleiden and Schawann
Smallest membrane bound cell organelle is,Lysosome,Ribosome,Nucleus,Chlorplast
Largest cell organelle of a cell is,Chloroplast,Nucleus,Mitochondria,Ribosomes
The plant cell differs from animal cell in,Presence of large vacuole,Presence of lysosomes,Absence of chloroplast,Absence of cellulosic cell wall
Phenomenon of cellular Totipotency was proved by,Steward,Haberlandt,Robert Hooke,Kolliker
Smallest living cell with cell wall is,Bacteria,Mycoplasma,Viroids,Virus
The main difference between plant and animal cell is,Animal cells lack cell wall,Plant cell has no cell wall,Animal cell has a rigid cell wall,Plant cells lack cell membrane
Smallest known cell is,PPLO,Acetabularia,Nostoc,Chlamydomonas
The branch which deals with the study of cell structure and function is known as,Cytology,Histology,Ecology,Morphology
Which of the following is the exception of cell theory,Virus,Bacteria,Fungi,Lichen
Who proposed the cell theory,Schleiden and schwann,Wilson and crick,Mendel and morgan,Robert hooke
This cell is the longest in the human body,Nerve cells,Muscle cells,Bone cells,Gland cells
Which of the following instrumn Can be used to observe cells?,Microscope,Barometer,Periscope,Telescope
A common characteristic feature of plant sieve tube cells and most of mammalian erythrocytes is,Absence of nucleus,Absence of mitochondria,Presence of cell walk,Presence of haemoglobin
Maximum cellulose is found in,Secondary cell wall,Primary cell wall,Tertiary cell wall,Middle lamella
Ripen fruits become soft due to,Partial disssolution of pectin substance,Absence of cell wall,Gibberellin,Becomes permeable
Cell plate formation Is initiated by,Golgi Complex,ER,Microtubule,Microfilament
The layer found between cell wall of two layer is called,Middle lamella,Lysosome,Lomasome,Ribosome
Which of the following is true for prokaryotic cell?,They have circular DNA,They have organelles,They have true nucleus,They are large in size
Both eukaryotes and prokaryotes cells have these organelles,Ribosomes,Golgi apparatus,Mitochondria,Chloroplasts
The prokaryotes have,Naked DNA,Naked RNA,Neither DNA nor RNA,True nucleus
Ribosomes in prokaryotes is,70s type,50s type,80s type,40s type
The DNA of prokaryotic is said to be named because they do not have,Histone protein,Membrane bound cell organelles,Cellulosic cell wall,Nuclear membrane
Which of the following is common to prokaryotic and eukaryotic cells?,Genetic code,Mitotic apparatus,Histones,Mitochondria
Desomosomes are concerned with,Cell adherence,Cell division,Cellular extraction,Cytolysis
Which if the following layer is present nearest to plasma membrane in plant cell,Secondary wall,Middle lamella,Primary wall,Tonoplast
Which is correct for the structure of cell wall of bacteria and fungi,Both are made up of N-acetylglucosamine,Both are made of cellulose,Both have mucopeptide,None
"In plants, both cellulose and hemi cellulose are major components of which one of the following",Cell wall,Plasma membrane,Nuclear membrane,Mitochondria membrane
What is the structural element of cell wall,Microfibrils,Matrix,Microtubules,Arabinogalactans
A protoplasm is a cell,Without cell wall,Without nucleus,Undergoing division,Without plasma membrane
The plant cell wall is made up of cellulose. This is believed to be,A polysaccharide,A liquid,A protein,An amino acid
Middle lamella is made up of,Calcium and magnesium pectate,Cellulose,Suberin,Lignin
Lignin is generally found in which layer of cell wall ?,Secondary wall,Middle lamella,Primary wall,All
The exoskeleton of an animal cell is,Cell wall,Cell membrane,ER,Microtubules and microfilaments
