question,answer,wrong1,wrong2,wrong3
"If momentum is incresed by 100%, then % increase in kinetic energy is",300%,100%,200%,400%
"On doubling the product of mass and velocity, kinetic energy becomes",4 times that of previous value,2 Times that of prevoius value,8 times that of prevoius value,1 time that of previous value
A particle of force (f) is moving on horizontal patgh. The power is given by,P = mgv cosθ,P = mgv sinθ,P = mgv tanθ,P = mg.cotθ
If the mass of body is M moving with velocity v collides with another body of mass M at rest and then they move together after collision. What will be loss in energy if initial energy is E?,E/2,E,2E,4E
"Two identical balls A and B are moving towards each other with velocity +5 m/s and -3 m/s, undergoes head on collision. Thjere velocities after collision will be",-3 and +5,+5 and -3,+3 and -5,-5 and +3
,a,b,c,d
A body of mass 'm' moving with velocity V splits in two parts such that m/4 comes to rest instantly. What ias the K.E of other mass,2/3 mv^2,1/2 mv^2,4/3 mv^2,mv^2
,21 joule,4 joule,8 joule,34 joule
A bullet of 0.01 kg is fired from a rifle of mass 20 kg with a speed of 100 m/s. The recoil velocity of the rifle must be,0.05 m/s,0.01 m/s,1 m/s,20 m/s
"If an automobile moves with constant power P, relation between velocity and time will be",V ∝ t^1/2,V ∝ t^3/2,V ∝ t^2,V ∝ t
A body of mass 10 kg at a height of 500m from the earth has energy of 850 KJ. It is moving with the velocity nearly equal to,400 m/s,200 m/s,300 m/s,500 m/s
A body of mass 'm' strikes a vertical wall with velocity 'v' horizontally and rebounds with same velocity. The total change in momentum of the body is,2 mv,mv,0 mv,4 mv
Which of the following is always conserved in collision ?,Linear momentum,Kinetic energy,Angular momentum,Torque
In an inelastic collision,The final kinetic energy is less than the initial kinetic energy,The initial kinetic energy is equal to the final kinetic energy,The kinetic energy remains constant,None
The work done by the external forces on a system equals the change,Kinetic energy,Total kinetic energy,Potential energy,None of these
"A body, initially at rest explodes into two mass M1 and M2 the moves apart with speed V1 and V2 respectively. What is the ratio of V1/V2",M2/M1,M1/M2,V1/V2,V2/V1
The graph between kinetic energy and momentum of body will be,Parabola,Straight line,Circular,Hyperbola
"The power of a water pump is 2 MW. The volume of water it can raise per minute to a height of 10 m assuming g = 10 m/s^2, is",1200 L,600 L,800 L,1800 L
"A bomb of 12 kg explodes into two pieces of massrs 4 kg and 8 kg. The velocity of 8 kg mass is 6m/s, the K.E of other mass is",288J,48J,32J,24J
A body is allowed to slide down a frictionless track freely under gravity. The track ends in a semicircular shaped part of diameter D. What should be the height minimum from bwhich the body most fall so that it compoletes the circle,5/4D,4/5 D,D,2D
"When constant acceleration act on the body, then power of body varies",t,t^2/3,t^1/3,t^3/2
The potential energy of a long spring when stretched by 2 cm is U. If the spring in it will be,16U,4U,8U,2U
A particle is released from height S from the surface of the Earth. At a certain height its kinetic energy is three times its potential energy. The height from the surface of earth and the speed of the particle at that instant are respectively,"S/4 , √3gS/√2","S/4 , 3gS/2","S/4, √3gS/2","S/2 , √3gS/2"
Water falls from a height of 60 m at the rate of 15 kg/s to operate a turbine. The losses due to frictional force are 10% of the input energy. How much poweris generated by the turbine,8.1 kW,10.2 kW,12.3 kW,7.0 kW
"A ball of mass o.15 kg is dropped from a height 10 m, strikes the ground and rebounds to the same height. The magnitude of impulse imparted to the ball is",4.2 kg m/s,0 kg m/s,2.1 kg m/s,1.4 kg m/s
"A body moves a distance of 10 m long a straigjht line under the action of a force of 5 N. If the work done is 25 joules, the angle which the force makes with the direction of motion of the body is",60°,0°,30°,90°
"A force F = 5i + 6j - 4k acting on a body, produces a displacement s = 6i + 5k. Work done by the force is",10 units,18 units,15 units,12 units
In an explosion a body breaks up into two pieces of unequal masses. in this,Both parts will have numerically equal momentum,Lighter part will have more momentum,Heavier part will have more momentum,Both parts will have equal kinetic energy
A particle moves under the effect of a force F= Cx from x= 0 to x= x1. The work done in the process is,1/2Cx²1,CX²1,Cx1,0
The potential energy of a certain spring when stretched through a distance 'S is 10 joule. The amount of work ( in joule) that must be done on this spring to stretch it through an additional distance 'S will be,40,30,10,20
Which one of the following is not a conservative force,Friction force,Gravitational force,Electrostatic froce between two charges,Magnetic force between two magnetic dipoles
In which case does the potential energy decrease,On the rising of an air bubble in water,On compressing a spring,On stretching a spring,On moving a body against gravitational force
"A shell initially at rest explodes into two pieces of equal mass, then the two pieces will",Move with the same velocity in opposite direction,Be at rest,Move with different velocities in different directions,Move with the same velocity in same direction
Two balls at same temperature collide. What is conserved,Momentum,Temperature,Velocity,Kinetic energy
A body of mass M1 collides elastically with another mass  M2 at rest. There is maximum transfer of energy when,M1 = M2,M1> M2,M1 < M2,Small for all values of M1 and M2
A particle of mass m moving eastward with a speed v collides with another particle of the same mass moving northward with the same speed v. The two particles coalesce on collision. The new particle of mass 2m will move in the north-easterly direction with a velocity,v√2,v/2,2v,v
A bullet of mass a and velocity b is fired into a large block of mass c. The final velocity of the system is,a/(a+c).b,c/(a+b).b,a+b/c.a,a+c/a.b
Which of the following is not a perfectly inelastic collision,Striking of two glass balls,A bullet striking a bag of sand,An electron captured by a proton,A man jumping onto a moving cart
