question,answer,wrong1,wrong2,wrong3
Oranges are bought at 6 for Rs. 5 and sold at 8 for Rs.11. Find the gain or loss percent,65%,60%,50%,30%
"The popluation of a district is 296000 out of which 166000 are men. 50% of the total population consists of literate. If 70% of the men are literate, how many women are literate?",31800,33200,48000,66400
"A alone can finish a work in 10 days and B can finish it iin 15 days. If they work together amd finish it, then out of total wages of Rs.4500, B will get:",1800,2700,1500,3000
"The monthly salaries of Ram, Hari and Shyam are in the ratio 1:2:3. If Shyam's monthly salary is 15000 then what is the salary of Hari?",Rs.10000,Rs.5000,Rs.1000,Rs.12000
"Ten years ago, a man was seven times as old as his son. Two years hence, twice his age will be equal to five times the age of his son. what is the present age of the father?",36y,28y,33y,34y
"Sunita faciung North-East amd move 10m forward, turn left and move 7.5m, then she is?",12.5m from her initial position,South of her initial position,East of her initial position,Both a and b
"In a certain code, BASIC is written as DDULE. How is leader written in that code?",NHCGGU,NGCFGT,OGDFHT,OHDGHU
Ramila ranks seventh from the top and twenty sixth from the bottom in a class. How many students are there in the class?,32,31,33,34
Choose odd one out,White,Violet,Blue,Green
Choose similar one with- Village:City:Suburb,School:College:University,Puppy:Dog:Bitch,Containtment:Country:State,Transistor:Radio:Television
"Statement:Should only one company be allowed to run transport system in any one big city?

Arguments:

I. Yes. This will put an end to unhealthy competitions among difffernt companies

II. No. The computer should be given  a wider choice of transport system",If only argument II is strong,If only argument I is strong,If either I or II is strong,Neither I or II is srong
"A bird shooter was asked how many birds he had in the bag. He replied that there were all sparrows but six, all pigeon but six, and all ducks but six. How many birds he had in the bag in all?",9,18,24,27
"6, 17, 39, 72, ?",116,83,94,127
"If 'cushion' is called 'pillow', 'pillow' is called 'mat', 'mat' is called 'bed sheet' and 'bed sheet' is called 'cover', which will be spread on the floor?",Bed sheet,Pillow,Mat,None of these
"A, B and C are three boys while R, S and T are three girls. They are sitting such that the boys are facing the girls. A and R are diagonally opposite to each other. C is not sitting at any of the ends. T is left to R but opposite to C. Who is sitting opposite to B?",R,S,T,A
,C,A,B,D
"Ramesh starts walking straight facing, south. After walking 30 m he turned to his right walked 25 m and turned to his left. Again, after walking a distance of 10 m he turned to his left. Which direction is he facing now?",East,West,North-East,South-West
An investigator rented a car for six days and was charged 450$. The car rental company charged 35$ per day plus 0.30$ per mile driven. How many miles did the investigator drive the car?,800,720,600,630
"In a family, each daughter has the same number of brothers as she has sisters and each son has twice as many sisters as he has brothers. How many sons are there in the family?",3,4,5,7
Sugar at Rs.15 per kg is mixed with sugar at Rs.20 per kg in the ration 2 : 3. Find the price per kg of the mixture.,18,16,17,17.25
"In an election between two candidates, 75% of the voters cast their votes, out which 2% of the votes were declared invalid. A candidate got 9261 votes which were 75% of the valid votes. Find the total number of votes enrolled in that election.",16800,11500,13260,15800
"Today is Sunday, after 39 days, it will be",Thursday,Monday,Tuesday,None of these
The officer who had neglected to files his income tax returns had to ________,pay a fine,play mischief,give warning,be rewarded
,3,1,2,4
,c,a,b,d
,3,2,5,4
,C,A,B,D
,4,1,2,3
"If Kamal says, “Ravi’s mother is the only daughter of my mother”, how is Kamal related to Ravi""?",None of these,Grandfather,Brother,Father
"What will be in the place of question mark?

2, 6, 10; 5, 9, 13; 10, 14, 18; ?, ?, ?","17, 21, 25","12, 14, 16","14, 17, 20","15, 20, 25"
The Chairman stressed the need for making education system more flexible and regretted that the curriculum has not been revised in keeping with the pace of the changes taking place. Courses of Action: 1. Curriculum should be reviewed and revised periodically. 2. System of education should be made more flexible.,Both 1 and 2 follow,Only 1 follows,Only 2 follows,Either 1 or 2 follows
Which one is odd?,Potassium,Silicon,Zirconium,Gallium
Asthma : Lungs :: Conjunctivitis:,Eyes,Bones,Teeth,Blood
