question,answer,wrong1,wrong2,wrong3
War gas is,Chloropicrin,Phosgene,Chloroform,Methane
When chloroform is boiled with aqueous KOH followed by acidification it gives,Methanoic acid,Methoxy methane,Methanol,Ethanal
The final product formed by the hydrolysis of chloroform by aq. KOH is,HCOOK,HCOOH,CH3OH,None of these
When Chloroform reacts with acetone the product is,Chloretone,Ethylidene Chloride,Mesitylene,Chloral
"The following reaction is known as

Phenol i)CHCl3/NaOH ii)H+  -  Salicyaldehyde",Reimer-Tiemann reaction,Gattermann aldehyde synthesis,Duff reaction,Perkin reaction
Isocyanide test is used for the detection of,Primary amines,Primary alcohols,Secondary amines,Secondary alcohols
"The reaction between primary amine, chloroform and few drops of alcholic KOH is known as",Carbylamine reaction,Cannizaro's reaction,Wurtz reaction,Frankland's reaction
CHCl3 + RNH2 + KOH  -  ?  +  H2O +  KCl;  the unknown compound ia,R-N+=C-,R-N-=C+,R-CN+,RCH2NH2
Chloroform on warming with Ag powder gives,C2H2,C6H6,C2H4,None of these
Phosgene is common name for,carbonyl chloride,phosphoryl chloride,thionyl chloride,carbon dioxide and phosphine
Which of the following formed when the product of oxidation of chloroform is treated with ethyl alcohol?,Diethyl carbonate,Ethyl chloride,Chloral hydrate,Chloral
CHCl3 on oxidation by air in presence of light gives,Phosgene,formic acid,chloropicrin,CCl4
The compound added to prevent chloroform to form phosgene gas is,C2H5OH,CH3COOH,CH3OH,CH3COCH3
Strong reducing agents convert chloroform into,Methane,Acetylene,Ethane,Ethylene
Chloroform on redcution with Zn and HCl gives,Methylene Chloride,Methane,Chloromethane,CCl4
A sample of chloroform being used as anesthetic is tested by,AgNO3 solution after boiling with alc. KOH solution,Fehling solution,Ammonical Cu2Cl2,AgNO3 Solution
Acetone is mixed with bleaching powder to give,chloroform,Acetaldehyde,ethanol,phosgene
Industrial preparation of chloroform employs acetone and,sodium chloride,phosgene,calcium hypochlorite,chlorine gas
Which of the following compounds is used as fire extinguisher ?,CCl4,C2H5OC2H5,CH2Cl2,CHCl3
CCl4 is used in the fire extinguishers under the name of,Pyrene,Phosgene,Phosphine,None of these
CCl4 is used as fire extinguishers because,it gives incombustible vapour,it has high melting point,of its covalent bond,of its low boiling point
What happens when CCl4 is treated with AgNO3 ?,Nothing will happen,NO2 will be evolved,a white ppt. of AgCl will be formed,CCl4 will dissolve in AgNO3
Carbon tetrachloride has no net dipole moment because of,Its regular tetrahedral structure,Its planar structure,Similar in size of carbon and chlorine atoms,Similar electron affinites of carbon and chlorine
Among the following compounds the one with the highest percentage of chlorine is,pyrene,Chloral,PVC,gammexene
Which of the following is known as freon ?,CCl2F2,CHCl3,CH2F2,CF4
CCl4 and freons,depletes ozone concentration,are green compounds because they are green coloured,causes increase in ozone concentration,have no effect on ozone concentration
Which of the following compounds is used as a refrigerator ?,CCl2F2,Acetone,CCl4,CF4
Which of the following is mainly responsible for depletion of ozone layer?,Chlorofluorocarbons,Methane,Carbon dioxide,Water
Which of the following is least reactive in a nucleophilic substitution reaction ?,CH2=CHCl,(CH3)3C-Cl,CH3CH2Cl,CH2=CHCH2Cl
Aryl halides are less reactive towards nucleophilic substitution reaction as compared to alkyl halides due to,resonance stablization,the formation of less stable carbonium ion,longer carbon-halogen bond,inductive effect
C-Cl bond is difficult to cleave in CH2=CH-Cl due to,Resonance,Electromeric effect,Inductive effect,Hyperconjugation
Which of the following undergoes nucleophilic substitution exclusively by SN1 mechanism ?,Benzyl chloride,Ethyl chloride,Chlorobenzene,Isopropyl chloride
Tertiary alkyl halides are practically inert to substitution by SN2 mechanism bacause of,Steric hindrance,Insolubility,Instability,Inductive effect
Isopropyl chloride undergoes hydrolysis by,SN1 and SN2 mechanism,SN1 mechanism,SN2 mechanism,Neither SN1 nor SN2 mechanism
"In SN1 (substitution, nucleophilic, unimolecular) reaction, the racemization takes place, it is due to",Both (a) and (b),Inversion of configuration,Retetion of configuration,Conversion of configuration
"In an SN1 reaction on chiral centres, there is",inversion more than retention leading to partial racemization,100% retention,100% inversion,100% recemization
SN2 mechanism proceeds through the formation of,Transition state,Carbonium ion,Free radical,Carbanion
The order of reactivity of alkyl halides towards a SN2 reaction is,RI>RBr>RCl>RF,RF>RBr>RI>RCl,RF>RCl>RBr>RI,RI>RCl>RBr>RF
Chloral is needed for the synthesis of,DDT,Mischler's ketone,aldrin,gammexene
Chlorobenzene on heating with aq. NH3 under pressure in the presence of cuprous chloride give,aniline,benzamide,nitrobenzene,chloroaminobenzene
The reaction of C6H5N2+Cl- with CuCl gives,C6H5Cl,C6H6,C6H5-C6H5,C6H4Cl2
Which of the following is most reactive for halogenation?,Isobutane,n-butane,Neopentane,Cannot be said
Which of the following is intermediate in chlorination of iso-butane in presence of peroxide ?,Ter-butyl free radical,Carbo-anion,tert-butyl carbo- cation,carbene
"In Darzen's process for preparation of alkyl halide from alcohol, the reagent use is:",SOCl2/pyridine,HCl gas + anhydrous ZnCl2,HBr(48%) + concentrated H2SO4,PX5
The catalytic oxidation of ethylene using silver catalyst produces,Epoxy ethane,Formaldehyde,Gyloxal,Ethylene glycol
Ethylene oxide when treated with Grignard reagent yields,primary alcohol,tertiary alcohol,cyclopropyl alcohol,None of these
Which of the following will have the maximum dipole moment ?,CH3Cl,CH3F,CH3Br,CH3I
Which of the following possesses highest melting point ?,p-Dichlorobenzene,Chlorobenzene,o-Dichlorobenzene,m-Dichlorobenzene
"When an alkyl halide is heated with dry Ag2O, it produces",ether,ester,ketone,an alcohol
Which reagent can convert butan-2-one to propanic acid ?,NaOH/I2/H+,Tollen's reagent,Fehling solution,NaOH/NaI/H+
Which of the following gives positive iodoform test upon reaction with I2 and NaOH ?,PhCHOHCH3,CH3CH2CHOHCH2CH3,C6H5CH2CH2OH,(CH3)2CHCH2OH
Grignard reagent is prepared by the reaction between,magnesium and alkyl halide,magnesium and alkane,magnesium and aromatic hydrocarbon,zinc and alkyl halide
Chlorobenzene reacts with Mg in dry ether to give a compound (A) which further reacts with ethanol to yield,benzene,phenol,ethyl benzene,phenyl ether
"In the following reaction

C6H5CH2Br 1.Mg.Ether 2.H3O+      -     X,       the product 'X' is",C6H5CH3,C6H5CH2OCH2C6H5,C6H5CH2OH,C6H5CH2CH2C6H5
Chlorobenzene is prepared commercially by,Raschig's process,Dow's process,Deacon's process,Etard's process
Best method to manufacture chlorobenzene is,Raschig's process,Dow's process,Castner process,Deacon's process
Both methane and ethane can be prepard in single step by the use of,CH3Br,C2H4,CH3OH,CH3CHO
Allyl chloride on dehydrochlorination gives,propadiene,propylene,acetone,propyne
Which of the following react fastest in SN1 ?,Tertiary butyl iodide,n-butyl iodide,Isobutyl iodide,Sec-butyl iodide
