question,answer,wrong1,wrong2,wrong3
Typhoid is also known as,Enteric fever,Nausea,Measles,Headache
Typhoid is caused by whuch bacillus?,Salmonella typhi,Bordetella,Salmonella paratyphi,Agrobacterium
Typhoid is,Bacterial disease,Viral disease,Protozoan disease,Helminth disease
Tyhpoid affects which of the following organ in common?,Intestine,Gal bladder,Lung,Spleen
The bacterium of typhoid in chronic case resides in,Gall bladder,Duodenum,Ileum,Colon
Rose red spots on upper abdomen and back are features of :,Typhoid,Cholera,Malaria,Cough
All of the following tests can done to detect typhoid except,ELISA Test,Blood culture,Widal test,Stool test
The commonest age group susceptible to typhoid is,10-30 years,1-5 years,5-10 years,30-50 years
All are true in typhoid except,Show leukocytosis,Typical continouos fever for 3-4 weeks,Can perforate small intestine,It is associated with bactermia
The typhoid bacillus is transmitted,Faeco-oral route,Sexual contact,Blood transfusion,Skin contact
The most therapeutic for Typhoid is,Streptomycin,Ampicillin,Chloramphenicol,Penicillin
Which test is used for typhoid fever?,Widal,Wayson strain,Sodium test,X-ray
Stepladder pattern fever occurs in,Typhoid,Tuberculosis,AIDS,Cancer
Time interval between entry of pathogen and appearance of sign and symptoms is,Incubation period,Latent period,Pathogenesis,All
Tuberculosis is also known as,Koch's disease,Enteric fever,Liver syndrome,Lymph disaster
Tuberculosis is caused by,Both b and c,Mycobacterium leprae,Mycobacterium tuberculosis,Mycobacterium bovis
Extra pulmonary TB is caused by which form?,Bovine,Tuberculosis,Leprae,None of the above
Most common organ that is affected by TB?,Lung,Liver,Bone,Lymph node
Most common causefor spreading TB in Nepalese children in,Overcrowding,Poor sanitation,Malnutrition,Low calories
World TB day falls on,24th March,28th september,4th July,5th June
TB of spine is known as,Pott's disease,Herpes,Derrick disease,Enteric fever
TB is spreaded by,Droplets infection,Food,Water,Both b and c
BCG stands for,Bacille Calmette Guerin,Bacterial calcium guerene,Bacille Calmette Guanine,Bacterial culture growth
How many people(percentage) of Nepal are estimated to suffer from TB?,0.5%,22%,2.2%,5%
Isoniazid and Rifampicin are drugs used to cure,Tuberculosis,leprosy,Typhoid,Giardiasis
DOTS means,"Directly Observed Treatment, short course",Directly Observed Treatment system,Daily Observed Treatment System,Daily Observed Treatment syndrome
SAARC Tuberculosis centre lies in,Nepal,Bhutan,India,Maldives
Bacteriostatic drug used against TB is:,Ethambutol,Isoniazid,Rifampicin,Sterptomycin
Isoniazid and Rifampicin are drugs used to cure,Tuberculosis,Leprosy,Typhoid,Giardiasis
