question,answer,wrong1,wrong2,wrong3
What is the arrangement starting from root tip?,"Root cap, cell division, enlargement and cell maturation","Root cap, cell division, cell maturation and cell enlargement","Cell division, cell maturation, enlargement and root cap","Cell division, cell enlargement, maturation and root cap"
Which of the following is not the main function of the root system?,Photosynthesis,Provides anchorage to the plant parts,Synthesis of PGRs,Absorption of water and minerals from soil
The tap roots of....gets modified to store food:,Carrot,Onion,Ginger,Sweet potato
"In Maize, the stilt toots develop from:",Lower nodes,Upper nodes,Upper internodes,None
Pneumathodes are morphologically similar to:,Lenticels,Stomata,Hydathodes,Wounds
Root packets act as balancers and found in:,Free floating hydrophytes,Fixed floating hydrophytes,Hygrophytes,All
Assimilatory (Photosynthetic) roots are characteistics of:,Both a and b,Trapa and Tinospora,Taeniophyllum and Podostemon,None
Epiphytes like Vanda develop special layer of absorptive tissue velamen consisting of 4 or 5 layers of long polygonal cells. Velamen is formed by:,Hanging roots,Absorbing roots,Stem,Clinging roots
Root cap does not occur in:,Pistia,Ipomoea,Mangrove plants,Pandanus
"The aerial, short and branched roots of an autotrophic plant that provides stability are known as:",Clinging roots,Lateral roots,Haustoria,Velamen roots
"The plant, which bears clinging roots, is:",Orchid,Screw pine,Podostemon,Trapa
Sweet potato is a modified:,Adventitious root,Stem,Rhizome,Tap root
Roots play an insignificant role of absorption of water in:,Pistia,Pea,Screw pine,Wheat
Which is a root modification:,Mango-ginger,Ginger,Potato,Garlic
The factor which initiate development of respiratory roots in Avicennia and other mangrove are:,Poor 02 supply,Saline marshes,Physiologically dry,Excess water
"When the root is swollen in the middle due to food storage and generally tapers towards tip, it is called:",Fusiform,Napiform,Conical,Nodulate
Root hairs develop from the region of:,Maturation,Elongation,Root cap,Meristematic activity
Adventitious roots are recognized by their:,Origin,Function,Position,Anatomy
Roots store food in:,Cell differentiation region,Cell elongation region,Root cap,Meristematic zone
Which plant does not have nodulated roots?,Cassia fistula,Cicer arietinum,Arachis hypogea,Dalbergia sissoo
Underground stem that has contractile roots:,Corm,Bulb,Rhizome,Tuber
Hygroscopic roots occur in:,Vanda,Rhizophora,Bryophyllum,All
Nodulated roots occur in:,Papilionaceae,Leguminosae,Solanaeaea,Malvaceae
White spongy floating roots occur in:,Jussiaea,Trapa,Nymphaea,Eichhornia
Maximum growth of root occurs:,Behind the root tip,At the root tip,Root hair zone,In light
Rhizobium lives symbiotically with root nodules and fixes atmospheric nitrogen. It gives nitrogenous compound to host and in turn takes food from host. This food taken by bacterium is:,Carbohydrates,Fats,Proteins,Any of these
Monocot plants are characterized by the presence of:,Fibrous roots,Moniliform roots,Annulated roots,Stilt roots
Which is not the product of root?,Potato,Sugarbeet,Carrot,Radish
Buttress roots are:,Horizontal,Vertical,Underground,Aquatic
The function of velamen is:,Absorption of moisture from air,Absorption of water from soil,Transpiration,None
Roots have thorny branches in:,Acanthorrhiza,Vanilla,Asparagus,Pothos
In Pandanus root cap is:,"Multiple, multicellular","Simple, multicellular",Absent,Replaced by root pocket
A plant called plant less root is:,All,Arceuthobium,Podostemon,Rafflesia and Sapria
Root bears:,None of the above,Nodes only,Internodes only,Both a and b
Root hairs are found on:,A and B both,Secondary roots,Tertiary roots,Adventitious roots
Root nodules are found in:,Secondary roots,Primary root,Branch,Both a and c
Stem may be function in:,All,Protection,"Bears leaves, branches and flowers","Storage, support and vegetative propagation"
Ginger is a stem and not a root because:,It has nodes and internode,It lacks chlorophyll,It is bitter in taste,It stores food
Which of the following is the modification of stem storage?,Ginger,Radish,Carrot,Turnip
Potato and sweet potato:,Have edible parts which are analogous organs,Have edible parts which are homologous organs,Non-edible,Are two species of the same genus
"The ""Eyes"" of the potato tuber are:",Axillary buds,Root buds,Flower buds,Shoot buds
Phylloclade is found in:,Opuntia,Chrysanthemum,Asparagus,Ruscus
Vegetative reproduction occurs by Bulbil in:,Agave,Colocasia,Zingiber,Vallisneria
Stem tendrils occur in:,Vitis,Smilax,Gloriosa,Lathyrus
Which one is found only in aquatic plant?,Offset,Runner,Stolon,Tuber
The spines of cacti are modified:,Leaves,Scales,Stems,Petioles
"In Amorphophallus, vegetative multiplication occurs through:",Corm,Bulbils,Rhizome,Offset
Underground stem that has contractile roots is:,Bulb,Rhizome,Corm,Stem tuber
Succulent stem occurs in:,Euphorbia,Pisum,Casuarina,Oxalis
Stem modification having vascular bundle is:,Thorn,Prickle,Bristle,All
Stem modified to perform the function of leaf and having many internodes is called:,Phylloclade,Cladode,Offset,Phyllode
Cladode are common among:,Liliaceae,Malvaceae,Mimisoideae,Solanaeae
Which of the following is not related to corm?,Tunic,Lateral buds,Nodes,Scale leaves
