question,answer,wrong1,wrong2,wrong3
Which one of the following is not an ore of sulphur?,malachite,Galene,Iron pyrite,Zinc blende
Which of the following is not an ore of copper?,Limonite,Cuprite,Chalcopyrite,Malachite
Purification of aluminium by electrolytic process is known as,Hoope's process,Serpeck's process,Hall's process,Bayer's process
Chile salt petre is an ore of,Sodium,Iodine,Bromine,Magnesium
Riffle barrel is the alloy of,Cu+Zn+Sn,Cu+Pb+Sn,Cu+Zn+Pb,Sn+Zn+Pb
Which is more conducting?,Ag,Cu,Au,Al
Heating of pyrites to remove sulphur is,Roasting,Bessermerzation,Calcination,None
In extraction of Cu the reaction takes place in Bessemer converter is,Cu2O+Cu2s+Cu+SO2,CuFeS2+O2+Cu2S+FeS+SO2,CuS+O2+Cu2O+SO2,FeS+O2+FeO+SO2
Auto reduction is used to extract,Cu & Hg,Cu & Ag,Cu & Au,Hg & Ag
A common metal used for the extraction of metal from their oxide by reduction is,Al,Fe,Cr,Co
Which of the following is called as fool's gold,CuFeS2,FeS,Hg2S,Ag2S
Thomas slag is,Ca3(PO4)2,CaCO3,Mg3(PO4)2,All
Solder is alloy of,Pb+Sn,Cu+Zn+Sn,Zn+Ni+Co,Sn+Zn
Leaching is not used for the extraction of,Mg,Al,Ag,Au
The method for purification of bauxite are containing iron is done by,Bayer's process,Hoope's process,Serpeck's process,Electrolytic process
Which one is the ore of iron?,Haematite,Cyanite,Argentite,Malachite
Calamine is ore of,Zn,Hg,Fe,Pb
Which of the following elements is not acomponent of wood's metal?,Titanium,Bismuth,Lead,Cadmium
Smelting is carried out in,Blast furnance,Muffle furnance,Open hearth furnance,Electric furnance
