question,answer,wrong1,wrong2,wrong3
Formic acid is formed by,Oxaliic acid and glycerol,Calcium formate,Calcium acetate,Calcium carbonate and calcium formate
Formic acid is prepared in lab by,Heating glycerol with oxallic acid,Heating NaOH with carbon monoxide,Oxidation of formaldehyde,Dry distillation of ammonium acetate
When oxallic acid is treated with glycerol at 110°C then is formed:,Methanoic acid,Methanol,Methanal,Ethanoic acid
Formic acid is formed by reaction between....,glycerol and (COOH)2,(CH3COO)Ca and (HCOO)2Ca,(CH3COO)2Ca is heated,(HCOO)2Ca is heated
"In the following chain of reactions,what is the product C?

CH3COOH NH3   -    A heat    -   B  P2O5     -   C",Acetonitrile,Ammonium acetate,CH4,CH3OH
A compound 'X' when reacted with NaCN followed by hydrolysis gives acetic acid. The compound 'X' is,Methyl chloride,Ethanol,Ethyl chloride,Ethanoyl chloride
The complete hydrolysis of hydrogen cyanide produces:,Formic acid,Acetaldehyde,Formaldehyde,Acetic acid
"Methyl magnesium iodide, after treatment with CO2, on further hydrolysis forms",Ethanoic acid,Methanoic acid,Methyl iodide,Acetaldehyde
"RMgX + CO2 dry ether     -     Y H3O+        -  RCOOH

What is Y in the above reaction?",RCOO-Mg+X,R3CO-Mg+X,RCOO-X+,(RCOO)2Mg
Aldehyde and alcohol on oxidation gives,Acid,Alkane,Ether,Ester
The compouond formed as a result of oxidation of ethyl benzene by KMnO4 is:,Benzoic acid,Acetophenone,Benzyl alcohol,Benzophenone
When benzyl alcohol is oxidised with KMnO4 the product obtained is,benzoic acid,benzaldehyde,CO2 and H2O,None of these
Acetic acid dissolved in benzene shows a molecular mass of,120,30,60,240
Dimerisation in carboxylic acids is due to,intermolecular hydrogen bond,ionic bond,covalent bond,coordinate bond
When acetic acid is dissolved in benzene its molecular mass,increases,decreases,either decreases or increases,suffers no change
Acidity follows the order,HCOOH>C6H5COOH>CH3COOH,HCOOH>CH3COOH>C6H5COOH,C2H5COOH>CH3COOH>HCOOH,C6H5COOH>HCOOH>CH3COOH
Glacial acetic acid is,pure acetic acid at 0°C,pure acetic acid at 100°C,acetic acid mixed with methanol,pure acetic acid above 16.6°C
Which one of the following compounds will react with NaHCO3 solution to give sodium salt and carbon dioxide?,Acetic acid,n-Hexanol,Phenol,Both (a) and (c)
"CH3COOCH3 + C2H5OH H+orOH-      -     CH3COOC2H5 + CH3OH

The reaction is",Trans-esterification,Claisen-Schmidt reaction,Schmidt reaction,Esterification
The reverse of esterification is known as,ester hydrolysis,Ester acidolysis,trans-esterification,Neutralization
Splitting of ester by alcohol is,Alcoholysis,Acidolysis,Hydrokysis,Esterification
CH3CO2C3H7 undergoes hydrolysis with NaOH to give,C3H7OH,CH3OH,C3H7COONa,C3H7COOH
"When propionic acid is treated with aqueous sodium bicarbonate, CO2 is liberated. The carbon of CO2 from",bicarbonate,methyl group,carboxyl group,methylene group
Formic and acetic acids can be distinguished by,ammonical AgNO3,litmus,NaHCO3,caustic soda
Which of the following is acetylating agent?,Acetic anhydride,Sodium acetate,Acetic acid,Acetaldehyde
The product of acylation is,Ethyl acetate,Acetyl chloride,Acetic anhydride,Ethyl chloride
Acetamide will form methyl amine when treated with?,NaOH+Br2,PCl5,Sodalime,Aq.KOH
"Amides on treatment with Br2 and KOH are converted into amines, the reaction is known as",Hofmann's bromamide reaction,Hofmann's methylation,Gabriel pthalimide reaction,H.V.Z. reaction
General formula (RCO)2O represent,An acid anhydride,An ester,A ketone,An ether
The order of decreasing ease of reaction with ammonia is,"anhydrides, esters, ethers","anhydrides, ethers, esters","ethers, anhydrides, esters","esters, ethers, anhydrides"
What is formed when acetic acid is heated with chlorine in presence of red phospjorus?,alpha-chloroacetic acid,Acetyl chloride,Trichloroacetic acid,Chloral
The reaction of HCOOH with conc.H2SO4 gives,CO,CO2,Oxalic acid,Acetic acid
COOH-COOH on treatment with conc.H2SO4 gives,H2O+CO+CO2,CO+H2O2,HCOOH+CO2,HCOOH+CO+O2
The acid showing salt like character in aqueous solution is,alpha-aminoacetic acid,acetic acid,benzoic acid,formic acid
Acetamide is,Amphoteric,Acidic,Alkaline,Neutral
An acyl chloride is formed by reacting PCl5 with an,acid,alcohol,ester,amide
Acetyl chloride cannot be obtained by treating acetic acid with,CHCl3,PCl3,PCl5,SOCl2
"When sucrose is heated with conc. HNO3, the product is",Oxalic acid,Charcoal,Sucrose nitrate,Formic acid
,"(a)-(ii), (b)-(iii), (c)-(iv), (d)-(i)","(a)-(iv), (b)-(i), (c)-(ii), (d)-(iii)","(a)-(iii), (b)-(ii), (c)-(i), (d)-(iv)","(a)-(i). (b)-(iv), (c)-(iii), (d)-(ii)"
Benzoic acid gives benzene on being heated with X and phenol gives benzene on being heated with Y. Therefore X and Y are respectively,sodalime and zinc dust,sodalime and copper,Zn dust and NaOH,Zn dust and sodalime
"Indicate which of the nitrogen compound amongst the following would undergo Hofmann's reaction, i.e., reaction with Br2 and strong KOH to furnish the primary amine (R-NH2)?",R-CO-NH2,R-CO-NHCH3,R-CO-ONH4,R-CO-NHOH
Acetic anhydride is obtained from acetyl chloride by reaction of,CH3COONa,P2O5,H2SO4,CH3COOH
Which one of the following is not the method for preparation of an amide?,Acid+NH3,Ester+NH3,Acid halide+NH3,Acid anhydride+NH3
Hydrolysis of an ester gives a carboxylic acid which on Kolbe's electrolysis yeilds ethane. The ester is,methyl ethanoate,ethyl methanoate,methyl methanoate,methyl propanoate
"When CH3COOH reacts with CH3MgX, the compound formed is",a hydrocarbon,CH3COX,acetone,an alcohol
Which one is used as a food preservative?,Sodium benzoate,Sodium acetate,Sodium propionate,Sodium oxalate
