question,answer,wrong1,wrong2,wrong3
Radioactivity was discovered by,Henry Becquerel,Rutherford,J.J. Thomson,Madam Curie
Radius of the nucleus is related to the mass number A by,R = R⁰\(A^{1/3}\),R = R⁰A½,R = R⁰A,R = R⁰A²
A device used for the measurement of radioactivity is a,G.M. Counter,Mass spectrometer,Cyclotron,Nuclear reactor
Which is not emitted by radioactive substance?,Protons,α-Rays,β-Rays,γ-Rays
An α-particle is identical with,helium nucleus,proton,neutron,electron
Gamma rays are,High energy electromagnetic waves,High energy electrons,Low energy electrons,High energy positrons
Which leaves no track on Wilson cloud chamber?,Neutrons,Electrons,Protons,α-Particles
"Of the following radiations, the one most easily stopped by air is",α-rays,β-rays,y-rays,X-rays
In radioactive decay which one of the following moves the fastest?,y-Rays,α-Particle,β-Particle,Positron
Cathode rays are deflected by,Both electric and magnetic field,An electric field only,A magnetic field only,Neither electric nor magnetic field
A magnet will cause the greatest deflection of,β-rays,y-rays,α-rays,neutrons
The ratio of charge of a proton and an α-particle is,1:2,2:1,1:4,1:1
"\(^{92}U^{238}\) emits an a-particle, the product has mass number and atomic number","234,90","236,92","238,90","236,90"
Loss of a ẞ-particle is equivalent to,Both (a) and (b),Increase of one proton,Decrease of one neutron,None of the above
Tritium undergoes radioactive decay giving,β-Particle,α-Particle,Neutrons,None of these
,positron decay,α-decay,β-decay,electron capture
The number of α-and ẞ-particles emitted in nuclear reaction \(^{90}Th^{228}\) → \(^{83}Bi^{212}\) are respectively,"4 , 1","3,7","8, 1","4,7"
Isobars are formed when emission of..... takes place,1ẞ emission,1 α and 1 ẞ-particle,2α and 1ẞ-particles,1 α emission
Radioactive disintegration differs from a chemical change in being,A nuclear process,An exothermic reaction,A spontaneous reaction,A unimolecular first order reaction
Which element is the end product of natural radioactive series?,Pb,Sn,C,Bi
Radioactivity decay is a reaction of,First order,Second order,Third order,Zero order
"The half-life of \(^{92}U^{238}\) is 4.5 x 10⁹ years. After how many years, the amount of \(^{92}U^{238}\) will be reduced to half of its present amount?",4.5 x 10⁹ years,9.0 x 10⁹ years,13.5 x 10⁹ years,4.5 x \(10^{4.5}\) years
75% of a first order reaction was completed in 32 minutes. When was 50% of the reaction completed?,16 minutes,24 minutes,8 minutes,4 minutes
The half-life period of a radioactive element is 30 min. One-sixteenth of the original quantity of the element will remain unchanged after,Two hours,One hour,Sixteen hours,Four hours
The half-life period of a radioactive material is 15 minutes. What percent of that radioactive material will remain after 45 minutes?,12.5%,10%,15%,17.5%
"A radioisotope has a half-life of 20 hours, after 60 hours the fraction of this isotope left is",1/8,1/4,1/3,1/2
"If 2.0 g of a radioactive isotope has a half-life of 20 hr., the half-life of 0.5 g of the same substance is",20 hr,80 hr,5 hr,10 hr
"The half-life period of a radioactive element is 140 days. After 560 days, one gram of the element will reduce to",1/16 g,1/2 g,1/4 g,1/8 g
"What is the value of decay constant of a compound having half-life time, t(1/2) = 2.95 days?",2.7 x \(10^{-6} sec^{-1}\),2.7 x \(10^{-5} sec^{-1}\),2.7 x \(10^{6} sec^{-1}\),3 x \(10^{5} sec^{-1}\)
A radioactive element has a half-life of 20 mins. How much time should elapse before the element is reduced to 1/8th of the original mass?,60 min,40 min,80 min,160 min
"After 2 hours, the radioactive substance becomes 1/16th of original amount. The t(1/2) in minutes is",30 min,60 min,75 min,120 min
The age of most ancient geological formation is estimated by,Uranium-lead method,Potassium-argon method,Carbon-14 dating method,Radium-silicon method
Atoms of the same atomic number but different atomic weights are known as,isotopes,isobars,isotones,isomers
The relative abundance of two isotopes of atomic weight 85 and 87 is 75% and 25% respectively. The average atomic weight of element is,85.5,75.5,87.5,86.0
Ordinary oxygen contains,"A mixture of O-16, 0-17 and O-18 isotopes.",Only O-16 isotope,Only O-17 isotope,A mixture of O-16 and 0-18 isotopes
Two nuclei which are not identical but have the same number of nucleons represent,Isobars,Isotones,Isotopes,None of these
Atoms with the same mass number but having different nuclear charges are called,Isobars,Isotopes,Isotones,Isochores
\(^{40}Ca^{20}\) and \(^{40}K^{19}\) are,Isobars,Isomers,Isotopes,Isoelectronic
Elements having same number of nucleons and different number of protons are,isobars,Isotones,positrons,isotopes
\(Ca^{2+}\) is isoelectronic with,Ar,\(Mg^{2+}\),\(Kr^{-}\),\(Na^{+}\)
A possible material for use in nuclear reactors as a fuel is,Pu,Th,Zr,Be
In nuclear reactor the control rods are made of,cadmium rod,graphite rod,Au,none of these
Hydrogen bomb is based on the principle of,Nuclear fusion,Nuclear fission,Artificial radioactivity,Natural radioactivity
"If an isotope of hydrogen has two neutrons in its atom, its atomic number and mass number will respectively be",1 and 3,2 and 1,3 and 1,1 and 1
The radiation which has highest penetrating power is,y-rays,α-rays,β-rays,cathode rays
Which of the following is used as moderator in nuclear reactors?,D₂O,H₂O,Alum,Any of them
Which of the following is a man made element,Np,C-14,U,Ra
β-Particle is emitted in radioactivity,during conversion of neutron to proton,during conversion of proton to neutron,from outermost orbit,β-particle is not emitted
The phenomenon of radioactivity arises from the,decay of unstable nuclei,binary fission,nuclear fission,stable nuclei
The first artificial disintegration of an atomic nucleus was achieved by,Rutherford,Geiger,Wilson,Soddy
Unstable substances exhibit higher radioactivity due to,low p/n ratio,High p/n ratio,p/n =1,none of these
The binding energy of \(^{8}O^{16}\) is 127 MeV. Its binding energy per nucleon is,7.94 MeV,0.794 MeV,1.5875 MeV,15.875 MeV
Na²³ is a more stable isotope of Na. Find out the process by which \(^{11}Na^{24}\) can undergo radioactive decay,\(β^{-}\)-emission,α-emission,\(β^{+}\)-emission,K electron capture
Which one of the following radioisotopes is used in the treatment of blood cancer?,Co⁶⁰,P³²,I¹³¹,Na²⁴
Half-life of a radioactive substance which disintegrates by 75% in 60 minutes will be,30 min,20 min,45 min,120 min
A sample of wood decayed to 1/16 of its original value. What is the number of T(1/2)?,4,3,8,16
