question,answer,wrong1,wrong2,wrong3
The unique characteristics of annelids is:,Nephridia,Coelom,Hermaphrodite,Alimentary canal is complete
The most important character of annelids is:,Metamerism,Elongated body,Clitellum,Coelom
Which of the folloing is not an annelidian character?,Eneterocoel,Triploblastic body,Metamerism,Bilateral
Which of the following is not an annelidian character?,Pseudocoelom,Metamerism,Nephridia,Clitellum
Excretory organ of an annelid is:,Nephridia,Green gland,Flame cell,Organ of Bojanus
In Annelids if a larva is present it is called:,Trochophore,Naupilus,Glochidium,Tornaria
In evolution...evolved first time in annelids:,Truecoelom,Cephalization,Bilateral symmetry,Triplobalstic nature
Annelids have a central nerve cord that is:,Ventral,Dorsal,Hollow,Impermeable to K
"What is common between earthworm, leech and centipede?",These have a ventral nerve cord,These are hermaphrodite,These have no legs,These have malphigian tubules
Which of thefollowing belongs to phylum Annelids?,Nereis,Octopus,Crockoach,Crab
Cuticle of annelids?,Non-chitinous and albuminoid,Chitinous,Chitinous and albuminoid,Non-chitinous
A suctorial mouth is present in:,Leech,Tapeworm,Earthworm,Ascaris
Clitellum of Leech is:,Temporary,Permanent,Absent,All
Parapodia acts as locomotory organ in:,Polychaeta,Oligochaeta,Hirudinea,Archiannelida
Metamorphosis does not occur in:,Oligocaheta,Polychaeta,Cnidaria,All
A character common to earthworm and leech is:,Clitellum,Botryoidal tissue,Sucker,Closed circulation
"What is common between leech, centipede and earthworm?",Ventral nerve cord,Hermaphroditism,Absence of legs,Malphigian tubules
A definite number of body segments is found in:,Leech,Earthworm,Tapeworm,Slug
Leech is:,Both b and c,Carnivorous,Sanguivorous,Ectoparasite
The number of segments in Leech is:,33,26,44,120
Leech secretes which of the following anticoagulant?,Hirudin,Heparin,Serotonin,Histamine
Medical leech has generic name:,Hirudinaria medicinalis,Pontobdella,Hirudo,Hirudo medicinalis
"In leech, hirudin is secreted by:",Salivary glands,Crop,Pharynx,Haemocoel
The botryoidal tissue of leech is a/an:,Connective tissue,Mesodermal tissue,Epithelial tissue,Mesenchymatic tissue
"In Polychaeta, the setae are:",Numerus,Singly arranged,Arranged in bundles,Fused
A member of polychaeta is:,Nereis,Earthworm,Hirudinaria,None
Anus leech is:,Dorsal,Ventral,Ventro-lateral,Lateral
Leech is:,Parasite,Vector,Free-living,All
Which of the following belongs to annelida?,Sea mouse,Sea mice,Sea anemone,Sea horse
Aphrodite is commonly known as:,Sea mouse,Sea mice,Lungworm,Ragworm
Concentric tube within a tube body plan first exists in:,Earthworm,Frog,Scorpion,Unio
Trochophore larva is found in:,Both a and c,Annelida,Arthropoda,Mollusca
Schizocoel is the body cavity of:,Annelids,Mollusca,Echinoderms,Platyhelminthes
The animal without any respiratory organ is:,Earthworm,Cockroach,Snake,Frog
Nephrostomes are absent in:,Both a and c,Integumentary nephridia,Septal nephridia,Pharyngeal nephridia
"In Annelids, formation of larva is usually absent but when present the larva is called:",Trochophore,Tadpole,Planula,Ephyra
The basis of classification of Phylum Annelida is:,Locomotory organs,Shape of body,Sense organs,Clitellum position
"In Polychaeta, setae are:",Numerous,Singly arranged,Arranged in bundles,Fused
All worms are:,Triploblastic,Parasites,Marine,Free-living
How many eyes are present in Clamp worm?,Two pairs,One pair,Five pairs,Four pairs
Nereis is:,All,Gregarious,Nocturnal,Carnivorous
Suckers of leech are located in:,Anterior and posterior end of the body,Anterior end of the body,Posterior end of the body,All over the body
Which one assists in Locomotion?,Posterior sucker in Hirudinaria,Cnidoblasts in Obelia,Trichocysts in Paramecium,Clitellum in Metaphire
A bio-luminescent annelid is:,Polynoe,Nereis,Aphrodite,Leech
"Among annelids, the greater power of regeneration is observed in:",Chaetopterus,Polynoe,Hirudinaria,Lumbricus
Clitellum is absent in:,All,Nereis,Aphrodite,Chaetopterus
Leech with setae is:,Acanthobdellida,Hirudinaria,Pontobdella,Brachellon
An annelid in which internal fertilization occurs is:,Hirudinaria,Neanthes,Eunice,Polygordius
Trochophore larva is found in:,All,Chiton,Nereis,Aphrodite
Name the animal having both setae and nephridia:,Sea mouse,Sea urchin,Sea anemone,Sea pen
Hirudinaria shows locomotion by:,Both a and b,Looping,Swimming,Creeping
A temporary clitellum occurs during the breeding season in:,Hirudinaria,Pheretima,Heteroneries,Aphrodite
A trait common in Leech and Mosquito is:,Anticoagulants,Metameric segmentation,Botryoidal tissue,Trochophore larva
What is true of Hirudinaria?,It has a cephalic sucker,Mouth is triradiate,Segments are superficially subdivided,All
