question,answer,wrong1,wrong2,wrong3
Which of the following is most volatile?,C6H6,C6H5Cl,C6H5NO2,C6H5NH2
Which of the following compounds has 2 lone pairs of electron and 2 bond pairs ?,H2O,NH3,CO2,BF3
Which does not obey octet rule?,CO,H2SO4,N2O4,NH3
Which does not obey octet rule?,BF3,PCl3,NH3,NaCl
Which does not obey octet rule?,H2O,CO2,O2,CO
Which does not obey octet rule?,PF5,NH3,CCl4,H2O
"An element forms XCI3, X2O5, XO2, but can't form XCl5. The element may be",N,O,P,C
"Which of the following elements shows sp, sp² and sp³ hybridization?",Carbon,Silicon,Phosphorus,Boron
Which of the following is incorrect?,Covalent bond is weaker than hydrogen bond,σ bond is stronger than π bond,Carbon-carbon double bond is stronger than single bond,Double bond is shorter than single bond
Which of the following is non-planar?,PCl3,AlC3,BF3,Ethene
The valency of C in CO is 2. The valency of C in CO2 is 4. The valency of C in acetylene is,4,2,1,3
"When s and p orbitals hybridise, then",2 orbitals are formed,4 orbitals perpendicular and tetrahedral are formed,3 orbitals are formed,Only one orbital is formed
"The electronic configuration of an element is 2, 8, 1. Which of the following statement is true?",It forms basic oxides,It is diatomic,It is non-metal,It is a transitional metal
The no. of σ and π bonds in 'C' atoms of CaC2 is,"1σ , 2π","2σ , 2π","3σ , 2π","4σ , 2π"
Which of the following is a pseudo halide?,\(CN^{-}\),\(PO4^{3-}\),HF,CuCl3
The shape of XeF2 molecule is,Linear,Tri-angular planar,Pyramidal,Square planar
Which of the following hybridization is seen in CO2 molecule ?,sp,sp²,sp³,sp²d
Which of the following is not true about CCI4?,It is polar in nature,It possess tetrahedral structure,It has no non-bonded electrons on carbon,It is an organic compound
The hybridization of H₂O is,sp³,sp²,sp,dsp²
Diamond has,Covalent bond,Ionic bond,Co-ordinate bond,Covalent and co-ordinate bond
Shape of Ammonia is,Pyramidal,Tetrahedral,Coplanar,Trigonal
Chemical bond implies,Attraction and repulsion balanced at a particular distance,Attraction,Repulsion,Attraction and repulsion
Chemical bond formation takes place when,Forces of attraction are greater than the forces of repulsion,Forces of attraction and forces of repulsion are equal,Forces of repulsion are greater than forces of attraction,Energy is absorbed
The formation of a chemical bond is accompanied by,Decrease in energy,Increase in energy,Neither decrease nor increase in energy,None
Stability of ionic compounds is due to,Lattice energy,Electronegativity,Sublimation energy,Electron affinity
Fused ionic compounds,Conduct electricity,Are insulators,Are used as semi-conductors,Do not conduct electricity
Most favourable conditions for electrovalency are,"Low charge on ions, large cation and small anion","High charge on ions, small cation and large anion","High charge on ions, large cation and small anion","Low charge on ions, small cation and large anion"
Sodium chloride is an ionic compound while hydrogen chloride is mainly covalent because,hydrogen is non-metal,sodium is less reactive,hydrogen chloride is a gas,electronegativity difference in the case of hydrogen and chlorine is less than 2.1
Covalent compounds have low m.p. because,Covalent molecules are held by weak van der Waals' forces of attraction,Covalent molecules have definite shape,Covalent bond is weaker than ionic bond,Covalent bond is less exothermic
Covalent compounds are soluble in,Non-polar solvents,Polar solvents,Concentrated acids,All solvents
Which of the following is least ionic?,AgCl,KCI,BaCl₂,CoCl2
In a double bond connecting two atoms there is a sharing of,4 electrons,2 electrons,1 electron,All electrons
The compound which contains both ionic and covalent bonds is,KCN,CH4,H₂,KCI
Co-ordinate covalent compounds are formed by,Donation of electrons,Transfer of electrons,Equal sharing of electrons,None of above
"The types of bonds present in CuSO, 5H₂O are only","Electrovalent, covalent and coordinate covalent",Electrovalent and covalent,Electrovalent and coordinate covalent,Covalent and coordinate covalent
The type of bonds present in ammonium chloride are,"Ionic, covalent and coordinate",Only ionic,Only covalent,Only covalent and coordinate
Which of the following contains a coordinate covalent bond?,\(N2H5^{+}\),BaCl2,HCI,H₂O
Which of the following does not contain coordinate bond?,\(CO3^{2-}\),\(BH4^{-}\),\(NH2^{-}\),\(H3O^{-}\)
Hybridisation involves,Mixing of atomic orbitals,Addition of an electron pair,Removal of an electron pair,Separation of orbitals
The mode of hybridisation of carbon in CO2 is,sp,sp²,sp³,None of these
Carbon atoms in diamond are bonded each other in a configuration,Tetrahedral,Planar,Linear,Octahedral
Structure of ammonia is,Pyramidal,Tetrahedral,Trigonal,Trigonal bipyramidal
Hybridisation in SO₂ is,sp²,sp,sp³,sp³d
In which of the following the central atom does not use sp³ hybrid orbitals in its bonding?,\(BeF3^{-}\),\(OH3^{+}\),\(NH2^{-}\),NF3
The type of hybrid orbitals used by the chlorine atom in \(CIO₂^{-}\) is,sp³,sp²,sp,None of these
XeF2 involves hybridisation,sp³d,sp³,sp³d²,None of these
"In [Cu(NH3)4] SO4, copper has following hybridisation",dsp²,sp³,sp²,sp³d²
The structure of \(ICl2^{-}\) is,Trigonal bipyramidal,square planar,Trigonal,Octahedral
The pair of species having identical shapes for molecules of both species is,"XeO2 , CO2","BF3 , PCl3","PF5 , IF5","CF4 , SF4"
The octet rule is not valid for the molecule,H₂O,CO₂,O2,CCl4
"According to Fajan's rule, covalent bond is favoured by",Small cation and large anion,Large cation and small anion,Large cation and large anion,Small cation and small anion
Bond angle is minimum for,H₂Te,H₂O,H₂S,H₂Se
The correct sequence of decrease in the bond angle of the following hydrides is,NH3>PH3>AsH3>SbH3,NH3>AsH3>PH3>SbH3,SbH3>AsH3>PH3>NH3,PH3>NH3>AsH3>SbH3
Strongest bond is,C≡C,C-C,C=C,all are equally strong
Longest bond is,C-C,C=C,C≡C,all are equal
The C-H bond distance is the longest in,C2H4Br2,C2H2,C2H4,C6H6
Which one of the following bonds will be the most polar?,C-F,N-CI,O-F,N-N
Excessive solubility of alcohol in water is due to,hydrogen bond with water,covalent bond,ionic bond,none of the above
Which one is electron deficient compound?,BCl3,ICI,NH3,PCl3
Molten sodium chloride conducts electricity due to the presence of,Free ions,Free electrons,Free molecules,Atoms of sodium and chlorine
The molecule having one unpaired electron is,NO,CO,\(CN^{-}\),O₂
The shape of gaseous SnCl2 is,angular,linear,tetrahedral,T-shaped
The hybridisation of Ag in the linear complex [Ag(NH3)2\(]^{+}\) is,sp,dsp²,sp²,sp³
