question,answer,wrong1,wrong2,wrong3
Genes are modified cut for phenotypic change,Genetic engineering,Genetic improvement,Gene pool,Genetic drift
Jelly like medium in tissue culture is contributed by,Agar,Suberin,Wax,Gel
Hybridisation followed by polydoidy is,Allopolyploidy,Aneuploidy,Autopolyploidy,None
Biofertiliser is,Anabaena azolla,Crotoloria juncea,Sesbania aculenta,Vigna sinensis
Which of the following is a vegetable gold,Saffron,Grape,Mango,Tomato
Which of the following is secreted by yeast for fermentation,Dehydrogenase,Enolase,Zyamase,Invertase
Secretary product of soil fungus 'green moulds' is called,Penicillin,Tranquillizers,Sulphonamides,Antiseptics
The most commonly used green manure in our country is,Sesbania,Trifolium,Oryza sativa,Pisum sativum
Which is the second generation vaccine produced by genetic engineering,Hepatitis vaccine,Synthetic vaccine,Influenza vaccine,MMR vaccine
The device which nullifies the effect of gravity,Clinostat,Potometer,Hydrostat,Auxanometer
Alcoholic fermentation takes place in presence of,Zymase,Maltase,Invertase,Amylase
The biofertilizers are,Anabaena and azolla,Fertilizers produced by biotechnology,Cow dung mannure and foreyard waste,Quick growing crops ploughed under soil
Polymerase chain reaction(PCR) is used for,DNA amplification,Amino acid synthesis,Protein synthesis,DNA synthesis
Which of the following is used in industrial preparation of ethanol,Saccharomyces,Nostoc,Marchantia,Azotobacter
Bio fertilisers in crop is improved by supplementing,Phosphate fertiliser,Nitrogen fertiliser,Urea,calcium fertiliser
Cyanobacteria are particularly useful as bio fertilizer in the field of,Rice,Wheat,Maize,Sugarcane
Xerophytes is characterised by,Well developed vascular bundle and sunken stomata,Well developed vascular bundle and no stomata,Partially developed vascular bundle and less stomata,Well developed vascular bundle and more stomata
Curding of milk is brought about by,Lactobacillus,Mycobacterium,Staphylococcus,Escherichia coli
Biofertilisers include,Symbiotic nitrogen fixing microbes,Microbes that degrade pollutants,Microbes to manage weeds,Microbes that remove inorganic fertilizers from soil
Which of the following enzyme is also called 'molecular scissors',Restriction endonuclease,DNAse,DNA polymerase,Protease
Cross between plants of two different genera is,Intergeneric hybridization,Intrageneric hybridization,Intravarietal hybridization,Intervarietal hybridization
Undistilled beverage obtained from grain mass fermentation is,Beer,Wine,Rum,Curd
Which of the following can be used as biofertilizer?,Rhizobium,E.coli,Agaricus,Jatropha
Chemical structure prepared from the proteins (antigen) of other animals which confer immunity to a particular virus are,Vaccines,Vitamins,Antibiotics,Molecular markers
Almost all pharmaceutical products produced by DNA technology are,Antibiotics,Protiens,Hormones,Alcohol
Which of the following organelles is associated with the genetic engineering?,Plasmids,Plastids,Mitochondria,Golgi bodies
