question,answer,wrong1,wrong2,wrong3
Pin worm is called as,Anterobius vermicularis,Schistosoma haematobium,Wuchereria bancrofti,Ancylostoma duodenale
Pineal setae in male Ascaris are found in,Cloaca,Rectum,Anus,Mouth
One of the following characteristics is not correct for nematoda,Hermaphroditism,Elongated cylindrical body,Fixed number of cells in the body,Pseudocoelomate
Female Ascaris differs from the male in,Body length,Having pineal setae,Curvature of tail,None of these
Which of the following groups have one or more animals which are not pseudocoelomate,"Ascaris, taenia","Enterobius, wuchereria","Ancylostoma, dracunculus","Ascaris, ancylostoma"
Ascaris completes its life cycle in,Only in man,Man and sheep,Man and mosquito,Man and cow
In Ascaris 3rd moulting  takes place in,Lung,Intestine,Liver,Egg
Wuchereria bancrofti is carried by,Culex mosquito,Tse-tse fly,Male Anopheles,Female Anopheles
Which is not a typical character of phylum nematoda,All are parasite in animals,Syncytial epidermis,Non-living cuticle,Pseudocoel
Which of the following sense organs present in Ascaris are chemoreceptors and are located in ventrolateral lips,Amphids,Pineal setae,Pineal spicules,Copulatory bursa
The infective stage of Ascaris is,Embryonated egg,Sporozoite,Cysticercus larva,Rhabditoid larva
Ascaris performs,Both (a) and (b),Aerobic respiration,Anaerobic respiration,None of these
Coenocytic epidermis is present in,Ascaris,Cockroach,Earthworm,Housefly
What type of ectoderm is found in Ascaris,Syncytial,Pseudoplasmic,Segmented,Tubular
The adult Wuchereria bancrofti lives in,Human lymph glands,Human subdermal spaces,Muscles of culex,Salivary glands of culex
One of the following is not a nematode parasite,Schistosoma,Trichinella,Ascaris,Dracunculus
Which is the monogenetic in following,Ascaris,Tapeworm,Fasciola,Hookworm
All worms are,Triploblastic,Segmented,Endo-parasites,Free-living
Ascaris has ____________________ cells in the excretory system,Renette,Green gland,Flame,Nephron
Syncytial epidermis is found in_______.,Ascaris,Metaphire,Housefly,Periplaneta
______________ is known as a coelom derived from blastocoel,Pseudocoel,Enterocoel,Haemocoel,Schizocoel
This is the basis on which female Ascaris can be identified.,Straight posterior end,Two spicules found at the posterior end,Presence of postanal and preanal papillae,Common cloacal aperture
"In Ascaris, the period of incubation outside the human body is",15-30 days,More than 30 days,8-14 days,4-8 days
"In the life cycle of Ascaris, the infective stage is",Second larva,Third lava,Cyst,Fertilized egg
The body cavity of Ascaris is pseudocoel as,bound extremely by muscle layer and internally by intestines,it is filled with pseudocoelomic fluid,has very little parenchyma,contains large cells termed pseudocoelocytes
Ascaris lumbricoides is found living in the intestine of,Homo sapiens,Pig,Monkey,Goat and sheep
The process of morphological differentiating male and female sexes is known as,sexual dimorphism,sexual dimorphism,variation,none of the above
This has no alternate host,Ascaris lumbricoides,Plasmodium vivax,Tapeworm,Fasiola hepatica
Which of the following is metazoan parasite transmitted through contaminated food or water,Ascaris,Entamoeba,Guinea worm,Worm
Sexual dimorphism is found in,Ascaris,Amoeba,Pheretima,All of these
Ascaris lumbricoides infection occurs through,Contaminated water and food,Sole of uncovered feet,Improperly cooked measly pork,From air through inhalation
An intermediate host is absent in case of parasite,Ascaris,Liver fluke,Tapeworm,Plasmodium
Ascaris protects itself against digestive enzymes of the host by,Antienzymes and cuticle,Mucus,Antienzymes,Cuticle
Which is true of Ascaris,Unisexual,Host,Aquatic,Bisexual
Alcopar is drug useful for,Ascariasis,Taeniasis,Amoebiasis,Schistosomiasis
Microfilariae are carried by,Culex mosquito,Sandfly,Anopheles mosquito,Housefly
The first and last moults of Ascaris occur in,Intestine,Heart,Kidney,Liver
Which one is used in treatment of ascariasis,None of the above,Chenopodium oil,Paludrin,Terramycin
A thick layer of cuticle on the surface of Ascaris indicates,Parasitism,Reproduction,Growth,Evolution
"In humans, elephantiasis is caused by",Wuchereria bancrofti,Ascaris lumbricoides,Dracunculus medinensis,Ancylostoma duodenale
The study of worms causing parasitic infestation in human is,Helminthology,Ichthyology,Malacology,Herpetology
Which is secondary/intermediate host of Hookworm,None of the above,Bed Bug,Sandfly,Mosquito
Which larval stage of Ascaris is infective,First and second,First and fourth,Second and third,Third and fourth
Which is not true of Ascaris infection,Infection is cured even without medication,More common in childern,Does not produce tonsilitis,Number can be 500-5000
