question,answer,wrong1,wrong2,wrong3
Which one of the following is not an ore of sulphur ?,malachite,Galene,Iron pyrite,Zinc blende
Which of the following is not an ore of copper?,Limmite,Cuprite,Chalcocite,Malachite
Cinnabar is the ore of,Mercury,Iron,Zinc,Sodium
Acid flux is,SiO2,CaCO3,CaO,MgO
Dolomite is the form of magnesium,Carbonate,Sulphate,Oxide,Carbide
The mixture of powedered charcoal and sand is separated by,Washing,Hand picking,Sleving,Electromagnetic separation
Purification of aluminum by electrolytic process is known as,Hoope's process,Serpeck's process,Hall's process,Bayer's process
Chile salt petre is an ore of,Sodium,Iodine,Bromine,Magnesium
Riffle barrel is the alloy of,Cu +Zn +Sn,Cu +Pb +Sn,Cu +Zn+Pb,Sn +Zn +Pb
Which is more conducting?,Ag,Cu,Au,Al
Heating of pyrites to remove sulphur is,Roasting,Bessemerization,Calcination,None
Raney Ni is alloy of,Al +Ni,Cu +Ni,Zn +Ni,Rb +Ni
In extraction of Cu the reaction takes place in Bessemer converter is,Cu2O + Cu2S → ↑Cu + SO2,CuFeS2 + O2 → Cu2S + FeS + SO2,CuS + O2 → Cu2O + SO2,FeS + O2 → FeO + SO2
Auto reduction is used to extract,Cu & Hg,Cu & Ag,Cu & Au,Hg & Ag
Metals in German silver are,Cu +Zn +Ni,Cu +Sn,Cu +Zn,Cu+Al
Which of the following Alloy's doesn't contain Cu & Zn ?,Type metal,Gun metal,German metal,Brass
Magnallium is the alloy of,Mg +Al,Mg +Al +Cu,Mg +Al+Cr,Mg +Cu + Ni
Halls process is used in purification of,Bauxite,Calamine,Haematite,Chalcopyrite
Electrolytic reduction method is used in the extraction of,Highly electropositive elements,Highly electronegative element,Inert metals,Transitional metals
"Wrought iron, pig iron & steel differ in properties due to",Carbon content,Malleability,Conductivity,Softness
"In Aluminothermic process for manufacture of Aluminum, Aluminum acts as",Reducing agent,Oxidising agent,Both,Complexing agent
A common metal used for the extraction of metal from their oxide by reduction is,Al,Fe,Cr,Co
Which of the following is called as fool's gold,Cu Fe S2,FeS,Hg2S,Ag2S
Thomas slag is,Ca3(PO4)2,CaCO3,VC SiO,Mg3(PO4)2
Removing ferric layer of metal by acid,Pickling,Annealing,Hardening,Galvanization
Solder is alloy of,Cu +Zn +Sn,Zn +Ni+Co,Pb +Sn,Sn +Zn
Which is purest form of iron?,Wrought iron,Cast Iron,Pig iron,Steel
Smelting is done for,Reduction,Oxidation,Removal of water,Removal of volatile impurities
Which salt is not commonly found in minerals?,Nitrate,Phosphate,Chloride,Sulphate
Leaching is not used for the extraction of,Mg,Al,Ag,Au
Manganin is,Mn+Cu+Ni,Cu +Ni+Cr,Co+Zn+Ni,Ni+Cr+Zn
The method for purification of bauxulte are containing Iron is done by,Bayer's process,Hoope's process,Serpeck's process,Electrolytic process
Blister copper is,Impure copper,Ore,Type of compound,Pure upper
Which one is the ore of iron ?,Haematite,Cyanite,Argentile,Malachite
Arsenic is a,Metalloid,Non-metal,Metal,None
Most metals have,Low melting and low boiling point,High electronegativity,High ionization energies,High melting and boiling point
Calamine is ore of,Zn,Hg,Fe,Pb
Which of the following elements is component of wood's metal?,Titanium,Bismuth,Lead,Cadmium
Smelting is carried out in,Blank furnace,Muffle furnace,Open hearth furnace,Electric furnace
