question,answer,wrong1,wrong2,wrong3
Which of the following pigment is yellow in colour?,Xanthophyll,Chlorophyll 'a',Chlorophyll 'b',Carotene
Enzymes necessary for oxidative phosphorylation occur in:,Mitochondria,Chloroplast,Ribosomes,ER
Important requirement of phosphorylation is:,Transfer of electrons,Release of electrons,Release of protons,Activation of oxygen
Which of the following best represents the components that are necessary for photosynthesis to take place?,"Chloroplasts, chlorophyll, visible light, water and carbon dioxide.","Mitochondria, accessory pigments, visible light, water and carbon dioxide.","Chloroplasts, accessory pigments, visible light, water and carbon dioxide.","Mitochondria, chlorophyll, visible light, water and oxygen."
The specific characteristic of C4−plants is:,Kranz anatomy,Bulliform cells,Isobilateral leaf,Parallel veins configuration
The process making major difference between C3 and C4 plants is,photorespiration,respiration,Calvin cycle,glycolysis
Light-independent reactions in photosynthesis takes place at,stromal matrix,thylakoid lumen,photosystem II,photosystem I
Light-dependent reactions in photosynthesis takes place at,Grana,photosystem II,photosystem I,stromal matrix
Kranz anatomy is one of the characteristics of the leaves of,sugarcane,potato,wheat,mustard
The light reaction of photosynthesis does not produce which of the following?,Sugar,"ATP, NADPH2",O2,High-energy electrons
Photo respiration is associated with,Peroxisome,Lysosomes,Centriole,Mesosom
Inhibition of photosynthesis by increase in the concentration of O2 is,Warburg effect,Emersion enhancement effect,Blackmans effect,Richmond lang effect
The process of photolysis of water takes place in,Light reactions,Electron transport system,Dark reaction,Photo phosphorylation
The process of photophosphorylation was discovered by,Arnon,Priestly,Warburg,Calvin
Oxygen liberated during photosynthesis comes from,Chlorophyll,CO2,H2O,Phosphoglyceric acid
Which of the following plants has dimorphic chloroplasts,Sugarcane,Potato,Ranyan,Tomato
Controlled photosynthesis experiment in plant is carried by,Keeping the plant in dark room,Keeping the plant in shade,Starch test,None
Energy for ATP formation in PSII comes directly from,Energy from H+ gradient,Combination of glucose,Formation of ADP,Lactic acid formation
Volume of CO2 absorbed in photosynthesis is almost,Equal to O2 liberated,Double of O2 liberated,Half of O2 liberated,Negligible to O2 liberated
Electron acceptor during photosynthesis is,Succinate,Acetyl COA,Water,CO2
Photosynthesis is maximum during,Intermittent light,Continuous weak light,Continuous strong light,Darkness
Primary acceptor of CO2 in photosynthesis is,"Ribulose 1,5-biphosphate",Glucose,Ribulose phosphate,Phosphoglyceric acid
Carbon fixation in C4 plants is catalysed by,PEP carboxylase,RuBP carboxylase,Carbonic anhydrase,Carboxydismutase
First stable compound in C3 cycle is,PGA,PGAL,Glucose,Starch
"In cyclic phosphorylation, main product is",ATP,NADP,NADPH2 AND ATP,"NADP, ATP and O2"
What proportion of CO2 is absorbed in photosynthesis,Equal to O2 liberated,Half of O2 liberated,Double of O2 liberated,Triple of O2 liberated
"Among the following, C4 plant is",Maize,Papaya,Tobacco,Pea
Which of the following is the first stable product of the Calvin cycle,Phosphoglyceric acid,Ribulose diphosphate,Phosphoglyceraldehyde,Dihydroxyacetone phosphate
Light energy is converted into chemical energy in,Photosynthesis,Respiration,Both,None
Chemoautotrophs obtain energy for photosynthesis by oxidation of,H2S,S,N2,CO2
Mohl's half leaf experiment can prove,CO2 is required for photosynthesis,Water is required for photosynthesis,"CO2, H2O and O2 are required for photosynthesis",O2 is required for photosynthesis
What is the total % of sunlight utilized by the green plant in the net plant productivity during photosynthesis,0.1%,10%,1%,0.5%
What are the different products that are formed during the cyclic photophosphorylation of the light reaction in green plants,ATP,"ATP, NADPH and O2",NADPH2 AND O2,ATP AND NADPH2
"To demonstrate there is no starch formation in leaves of green plant kept in dark for 1 or 2 days, the leaves are tested by",Decolonizing with alcohol and dip in iodine solution,Directly dipping in iodine solution,Decolonizing with xylem and dip iodine solution,Acetone and iodine solution
Which one of the following leads to wastage of energy,Photo respiration,Krebs reaction,Photosynthesis,Glycolysis
"During photosynthesis, to trace out the path of carbon fixation,the isotope used is",C14,P15,N14,O18
Thylakoids are associated with,Photosynthesis,Transpiration,Guttation,Respiration
"In photosynthesis, O2 is liberated due to",Photolysis of water,Hydrolysis of carbohydrates,Syngenesious anthers,Fruit cypsela
Photosynthetic plants are,Autotrophs,Sporophytes,Heterotrophs,Parasites
The first stable product in carbon assimilation is,PGA,Glucose,Oxygen,Pyruvic acid
Which is true?,Both are equal,Rate of photosynthesis is higher than respiration,Rate of respiration is higher than photosynthesis,Equal in some plants
Which of the following is essential for formation of ATP inside mitochondria,O2,NADP,FAD,ADP
Beside water and light most necessary compound for synthesis of food in plant is,CO2,Auxin,O2,N2
In light dependent reaction which of the following event takes place,ADP is phosphorylated,Assimilatory power increases,NADP is phosphorylated,FAD is phosphorylated
Maximum photosynthesis occurs in,Red light,Green light,Blue light,Violet light
Effect of oxygen in photosynthesis is called,Warburg effect,Red drop effect,Emerson enhancement effect,Pasteur effect
Kelvin cycle in C4 plants occur in,Bundle sheath of chloroplast,Stroma of chloroplast,Mesophyll chloroplast,All
Which element is found in chlorophyll,Mg,Fe,Cd,Cr
The element present in chlorophyll molecule is,Mg2+,Fe2+,Cu2+,CO2+
The core element of chlorophyll is,Mg,Ca,Mn,Na
Calvin cycle is synonymous with,C3 cycle,C4 cycle,CAM pathway,Glycolate Cycle
CO2 fixation during C4 pathway occurs in the chloroplast of,Mesophyll cell,Guard cell,Bundle sheath cell,Spongy parenchyma
The primary acceptor during CO2 fixation in C3 plant is,"Ribolos 1,5 diphosphate",Phosphoenol pyruvate (PEP),Phosphoglyceric acid,Ribulose monophosphate
The chemical formula for chlorophyll A is,C55H72O5N4Mg,C55H70O6N4Mg,C40H56,C40H56O2
The first acceptor of co2 in C4 pathway is,PEP,PAA,RuP,RuBP
"In chlorophyll B, aldehyde group is attached to the carbon atom number 3 of",2nd pyrrole ring,1st pyrrole ring,3rd pyrrole ring,4th pyrrole ring
The following is an example of competitive inhibition of enzyme,Inhibition of succinic dehydrogenase by malonic acid,Inhibition of cytochrome oxide by cyanide,Inhibition of hexokinesis by glucose-6-phosphate,Inhibition of carbonic anhydrates by carbon dioxide
Photosynthesis is,Conversion of co2 and H2O to carbohydrate and O2,Absorption of visible light by chlorophyll and transferring the energy to CO2 and H2O,A photosensitization reaction,Absorption of co2 and water vapour in the air by plant with the help of chlorophyll
Which is wrong,Light is necessarily absorbed by plant for biological change,Food is manufactured in presence of light,Light is absorbed by chlorophyll molecule,Flow of protons in electron transport chain is passive 62 c
Chloroplast are green due to the presence of,Chlorophyll,Phycocinine,Phychobilins,Chloropsin
In photorespiration CO2 loss takes place in,Mitochondria,Chloroplast,Peroxisome,Nucleus
"In C4 cycle, in the mesophyll cell, CO2 is picked up by",PEP,RUBP,Rubisco,Malic acid
"In C4 plants, the Calvin cycle is carried out in",Bundle sheath cell,Mesophyll cell,Stomata,Epidermal cell
Which is correct about C4 plants,It can perform photosynthesis in low CO2 concentration,Only PS1 is involved in photosynthesis,All the chloroplast are same in C4 plants,All
Which of the following element does not play main role in green plant,Mo,Fe,Mn,Mg
"In some grasses C4 pathway occurs, it is",Additive,Accumulative,Cumulative,Alternative
A plant looks green and healthy due to,N,Mg,Fe,Mg and Fe
Which process occurs in chloroplast,Photophosphorylation,Oxidative phosphorylation,Respiratory chain,All
Herbicide kills grasses by,Blocking psII,Closing stomata and inhibiting gaseous exchange,Inhibiting respiration,Inhibiting absorption of water
"In photosynthesis, the structure that absorbs on light is",Chlorophyll,ATP,RUBP,NADH2
Number of ATP formed in fermentation of one mole of glucose,2,4,36,38
Photosynthesis is fastest in,Sunlight,Blue light,Red light,Infrared
In photosynthesis light reaction is different than dark reaction as,NADP and ADP are utilised in light reaction while CO2 and water in dark reaction,Light reactions are associated with stroma and dark reaction with membrane,ADP and NADPH2 are utilized for fixation of carbohydrate in light reaction,CO2 fixation normally takes place in light reaction while not in dark reaction
How many ATP and NADPH2 are needed in C3 cycle for synthesis of 1 glucose molecule,18&12,3&6,12&18,30&12
Maximum photosynthesis takes place in,Red light followed by Green,Green light,Red light,Green light followed by red
Electron carrier ferrodoxine is associated with,PS I,PSII,Dark reaction,Both a and b
The first acceptlr of CO2 in C4 pathway is,PEP carboxylase,RUBP carboxylate,RuBP oxygenase,RuBP carboxylase
In thylakoids of grana what occurs,Photolysis,Calvin cycle,C3 cycle,C4 cycle
Oxygen as a waste product occurs in which process,Photosynthesis,Anaerobic respiration,Aerobic respiration,Fermentation
Non cyclic photophosphorylation releases,"ATP, NADPH2 and oxygen",ATP and NADPH2,ATP only,NADPH2 only
The first enzyme used in dark reaction is,Carboxylase,Transketolase,Aldolase,Kinase
"During non cyclic photophosphorylation, electrons lost by PSII is compensated by",H2O,O2,H+,OH-
