question,answer,wrong1,wrong2,wrong3
The refractive index is,Inversely proportional to square of wavelength,Directly proportional to wavelength,Inversely proportional to wavelength,Directly proportional to fourth power of wavelength
"When light passes from air medium to a glass medium, which remains constant",Frequency,Wavelength,Velocity,None
"To a bird flying in sky a fish in water appears to be at 30 cm from surface. If refractive index of water with respect to air is 4/3, then the real distance of bird from the water surface is",40 cm,30 cm,22.5 cm,60 cm
Optical fibre is based on phenomenon,Total internal reflection,Interference,Diffraction,Polarization
A diver in water at a depth 1 m sees the whole outside world in a horizontal circle of radius.... when the refractive index is µ,1/√(µ^2 -1),1/(µ -1),µ/√(µ^2-1),1/µ
Which of the following is not correct from TIR to occur?,Both a and b,The light should pass from denser to rarer medium,The angle of incidence must be greater than critical angle,The light should pass from rarer medium to denser medium
A mark at the bottom of the tak=nk 1m deep appears to be raised by 0.1m. The value of refractive index of liquid tank is:,10/9,10,4/3,1/10
A microscope is focuse on a mark. Then a glass slab of refractive index 1.5 and thickness 6cm is placed on the mark. To get the mark again in focus the microscope should be moved:,2cm upward,2 cm downward,4 cm upward,9 cm upward
An air bubble in a glass slab of refractive index 3/2 appears 6cm when viewed from one side and 4c mwhen viewed from opposite side.Then thickness of the glass slab is:,15cm,12cm,13cm,14cm
A beam of monochromatic blue light of wavelength 420 nm in air travels in water of refractive index 1.33. Its wavelength in nm in water will be,315nm,560nm,400nm,280nm
A glass slab has thickness 6 mm and µ = 1.5. Calculate the time in nanosecond for an instant of light to pass through it.,0.03,0.02,0.05,0.04
"When a ray of light is reflected from one medium into another medium, the wavelength changes from 6000Å to 4000Å. The critical angle for a ray from second medium to first medium will be:",sin^-1(2/3),cos^-1(2/3),tan^-1(3/2),sin^-1(2/√13)
"Light from vacuum enters to a medium of µ = 1.5. If it crosses it within a nonosecond, the thickness of the medium is",20 cm,10 cm,40 cm,70 cm
If the refractive index of water is 4/3 and that of given slab of glass immersed in it is 5/3. What is the critical angle for a ray of light tending to go from glass to water?,sin^-1(4/5),sin^-1(3/4),sin^-1(3/5),none
A pond of water is 5m deep. A flame is held 2m above the surface of water. A fish is at depth 4m from water surface. Refractive index of water is 4/3. The apparent height of the flame from the eyes offish is:,20/3m,8/3m,6m,5.5m
Looming occurs due to:,Mirage,Interference,Diffraction effect,Photoelectric
