question,answer,wrong1,wrong2,wrong3
Which bond is present in N2 molecule?,London force,Hydrogen bond,Ionic bond,Ion- dipole force
What is hybridization of C in ethane?,Sp³,Sp²,Sp,Sp³d
Which statement is correct?,Orthonitrophenol has intramolecular hydrogen bonding while p- nitrophenol has intermolecular hydrogen bonding,Orthonitrophenol has intermolecular hydrogen bonding while paranitrophenol has intramolecular hydrogen bonding,Ortho has both inter and intramolecular hydrogen bonding,Para has both inter and intramolecular hydrogen bonding
Water has highest boiling point due to,H- bonding,Covalent bonding,Ionic bond,Vander waal bond
In which of the following c=O bond is strongest,(Mn(CO)6)+,Fe(CO)5,Cr(CO)6,V(CO)6
Bond angle is maximum in,Sp,Sp²,Sp³,Dsp³
Minimum melting point is of:,LiCl,CSCl,Nacl,RbCl
The boiling point follow order of,CH3CH3 < CH3NH2 < CH3OH < HCOOH,HCOOH < CH3NH2 < CH3OH < CH3CH3,CH3NH2 < CH3OH < CH3COOH < CH3CH3,CH3CH3 < HCOOH < CH3OH < CH3NH2
Dipole moment is maximum in,CH3Cl,CH2Cl2,CHCl3,CCl4
Strongest inter molecular H- bonding is present in,Methanol,Methyl amine,Phenol,Formaldehyde
Which of the following has the incomplete octet rule?,CO,N2O4,H2SO4,NH3
Dipole moment of H2O is,1.84D,1.48D,1.42D,4.2D
Which of the following compounds is ionic?,KI,Diamond,CH4,H2
Which of the pairs contain dipole induced dipole interactions?,HCl and He,SiF4 and He,Cl2 and CCl4,H2O and C2H5OH
An ideal gas can't be liquefied because its,Intermolecular forces are negligible,Intermolecular space is very high,Critical temperature is very low,Molecules are relatively smaller
Compound formed by Sp3 hydridization will have structure,Tetrahedral,Trigonal,Pyramidal,Planar
The hydridization in (Fe(CN)6)⁴ is,Sp3d²,Sp,Sp³,Sp²
The formation of a chemical bond is accompanied by,Decrease in energy,Increase in energy,Either increase or decrease in energy,No energy change takes place
"When two pieces of ice cubes are pressed together, it forms a single cube. It is due to",Hydrogen bond interaction,Vander waal's force,Electrostatic force,Dipole- dipole interaction
Which is true about electrovalent compounds?,They have high melting point and boiling point,They don't dissolve in polar solvent,They dont conduct electricity,There is covalent bond between the ions
Which of the following aromatic compounds is capable of hydrogen bonding?,Phenol,Toluene,Chlorobenzene,Nitrobenzene
The molecule having one unpaired electron is,NO,CO,CN-,O2
When 1s and 1p orbitals hydridized to form,Two hybrid orbital at 180,Two hybrid orbital mutually perpendicular,Three hybrid orbitals arranged tetrahedrally,Three hybrid orbitals arranged 120•
Nature of bond formed when two elements react depends upon,Electronegativity,Ionization potential,Electron affinity,Oxidation potential
When two atoms of hydrogen combine to form a molecule of hydrogen gas. The energy of the molecule is,Lower than that of the separate atoms,Higher than that of the separate atoms,Equal to that of the separate atoms,Sometimes lower and sometimes higher
Which of the following has highest boiling point;,HCOOH,CH3NH2,CH3OH,CH3CH3
Which of the following hybridization is present in propene?,Sp² - sp³,Sp³,Sp²,Sp-Sp²
Which of the following compounds do not follow octet rule?,CO,H2SO4,N2O4,NH3
Acetylene contains,3σ and 2π,4σ and 1π,2σ and 4π,σ bonds only
Which one is least soluble in water?,Benzene,Phenol,Benzoic acids,None
The valency of C in CO is 2. The valency of C in Co2 is 4. The valency of C in acetylene is:,4,2,1,3
AlCl3 anhydrous is,A covalent compound,An electrovalent,A co ordinate covalent,A co- ordinate compound
When s and p orbitals hybridize then,2 orbitals are formed,4 orbitals perpendicular and tetrahedral are formed,3 orbitals are formed,Only one orbital is formed
Ethanol and methanol dissolves in water because of,Hydrogen bonding,Vander wall's bond,Covalent bonding,Electro- valent
(cu( NH3)4) SO4 has,"Covalent, electrovalent and co- ordinate bonds",Co- ordinate bond only,Electrovalent bond only,Both covalent and co- ordinate bonds
H2O is liquid while H2S is gas because,Of the hydrogen bonding in water molecules,The molecular weight of H2S is greater than that of H2O,Of the electrostatic attraction in H2S molecules,H-O-H bond angle is greater than H-S-H bond angle
Which of the following is insoluble in NH4OH?,AgI,AgF,AgCl,AgBr
Both of following have same bond angle,"Ethylene, benzene","Ch4, benzene","Phenol, ethyl alcohol","Methane, butane"
Which is linear molecule?,CO2,NO2,SO2,ClO2
The bonds in N2O5 are,Covalent and co- ordinate covalent,Only covalent,Covalent and ionic,Only ionic
Boron and fluorine forms,Co-ordinate covalent bond,Covalent bond,Ionic bond,Both ionic and covalent bond
Bonds present in Cuso4. 5H2O are,"Electrovalent, coordinate covalent and covalent",Electrovalent and covalent,Electrovalent and coordinate covalent,Co ordinate covalent and covalent
For which of the following molecules would the VSEPR theory predict a pyramidal structure,NH3,BeF2,CH4,BF3
Which of the following is not valid for vander waal force?,Induced- dipole interaction,Ion- dipole interaction,Dipole- dipole interaction,Instantaneous induced- dipole interaction
The bond angle is least in,Water,Methane,Ethane,Ammonia
"In methane , the hybridization of carbon atom is",Sp3,Sp2,dsp²,Sp
The similarity in between 2p and 3p orbital is in having same,Shape,Size,Energy,Principle quantum no.
The bond angle in water (H2O) is 106.5• whereas in hydrogen sulphide (H2S) is 92.5• because,Electronegativity of sulphur is less than that of oxygen,Size of oxygen smaller than that of sulphur,Intermolecular hydrogen bond,Presence of d- orbital
In NH4Cl which type of bond is present,All,Electrovalent,Covalent,Co-ordinate
H2O is liquid while H2S is gas because,Of the hydrogen bonding in water molecule,The molecular weight of H2S is greater than that of H2O,Of the electrostatic attraction in H2S molecules,H-O-H bond angle is greater than H-S-H bond angle
The hybridization of methane is,Sp³,Sp²,Sp,dsp²
Which of the following has 0 dipole moment,CCl4,CHCl3,CHCl2,CH3Cl
The co- ordinate covalent bond is present is,SO3,NH3,BF3,None
Maximum number of hydrogen bonding in H2O,4,2,1,5
Which of the following has linear structure?,NO2+,NO2-,SO2,ICl7
Fraction of p-character in sp³ hybrid orbital is,3/4,1/4,3/8,5/8
"An organic compound HC C-CH2=CH2, the carbon 1, 3 ,4 are respectively hybridised as","Sp² , sp³ and sp","Sp³ , sp² and sp","Sp, sp² and sp³","Sp³ , sp and sp²"
What is the shape of XeF4,Planer,Tetrahedral,Pyramidal,Octahedral
Dipole moment is maximum in,CH3Cl,CH2Cl2,CHCl3,CHCl4
A solid crystal melts over 100•c but doesn't conduct even in molten state. This is,Covalent crystal,Ionic crystal,Metallic crystal,Molecular crystal
Which bond is present in N2O5?,Co- ordinate and covalent bond,Co- Ordinate only,Covalent,Ionic bond
Which has linear geometry?,CO2,SO2,NH3,H2SO4
Which of the following isnot isostructural with SiCl4?,SCl4,SO4--,PO4³,NH4+
Which of the following has highest bond angle,CO2,H2O,CH4,NH3
The hybridization of carbon in carbene radical is,Sp²,Sp,Sp³,dsp
Which of the following has no hydrogen bond?,HCl,Phenol,Aniline,HNO3
H atoms in methane are arranged,Tetrahedrally,Octahedrally,Pentahedrally,Planarly
Which of the weakest bond,Hydrogen bond,Metallic bond,Ionic bond,Covalent bond
During hydrogen bond formation maximum energy is required for,F-H-F,O-H-N,O-H-O,N-H-N
Which of the following has planar geometry,XeF4,XeOF2,XeO4,XeO3
The solid NaCl is a bad conducter of electricity because,In solid Nacl there is no mobility of ions,In solid Nacl there are no ions,Solid Nacl is covalent,In solid Nacl there are no electrons
The type of hybrid orbital used by the chlorine atom is ClO2- is,Sp³,Sp²,Sp,None
Which one is most ionic?,Mn2O7,P2O5,MnO2,P2O3
The hybridization of carbon in CO2 is,Sp,Sp²,Sp³,Sp2d
Which of the following compounds is capable of hydrogen bonding?,C2H5OH,C6H5CH3,C6H5NO2,C6H5Cl
Which one of the following has sp hybridized in its structure?,CCl2=CCl2,CH2=CCl- CH = CH2,CH2=C=CH2,CH2=CH-CH=CH2
Covalent molecules are usually held in crystal structure by,Electrostatic attraction,Dipole-Dipole attraction,Hydrogen bonds,Vander waal's interaction
The number of molecular orbitals obtained by mixing two atomic orbitals form each of the two atoms of a diatomic molecule,2,4,6,8
Which order of bond angle is correct,H2O < NH3 < CH4 < CO2,H2O <NH3 < CO2 < CH4,NH3 >H2O > CO2 > CH4,H2O < NH3 < CO2 < CH4
In covalency,None of these takes place,The transference of electrons takes place,Sharing of electrons takes place,The electrons are shared by only one atom
Which of the following compound is non polar?,CCl4,HCl,CH2Cl2,CHCl3
Which of the following is most volatile,C6H6,C6H5Cl,C6H5NO2,C6H5NH2
Which of the following is most volatile,C6H6,C6H5Cl,C6H5NO2,C6H5NH2
Which of the following is most volatile,C6H6,C6H5Cl,C6H5NO2,C6H5NH2
Which of the following is most volatile,C6H6,C6H5Cl,C6H5NO2,C6H5NH2
Which of the following is most volatile,C6H6,C6H5Cl,C6H5NO2,C6H5NH2
Structure of CO2 molecule is,Linear,Tetrahedral,Pyramidal,Angular
Which of the following has lowest boiling point?,Methoxy methane,Ethanol,Acetic acid,Ethanal
Which dont obey octet rule?,BF3,PCl3,NH3,NaCl
Which of the following is nonplaner,PCl3,AlCl3,BF3,Ethene
Which of the following is the weakest bond?,Vanderwaal bond,Metallic bond,Covalent bond,Ionic bond
Which of the following is incorrect ?,Covalent bond is weaker than hydrogen bond,σ bond is stronger than π bond,Carbon- carbon double bond is stronger than single bond,Double bond is shorter than single bond
Which of the following is correct,H2O is polar solvent,Nitration in benzene is nucleophilic rxn,Hno3 acts as reducing agent,CH3OCH3 and CH3CH2OH are metamers
The carbon carbon hybridization in benzene is of the type,Sp²,Sp³,Sp and sp²,Sp
Which type of bond is found in NH4Cl?,All,Electrovalent,Covalent,Co- ordinate
NaCl is ionic but HCl is covalent because,Electronegativity difference between Na and Cl is greater than 2.4,Hydrogen is a non- metal,Hydrogen is a metal,Hydrogen has small size
The substances which conduct electricity in fused state but not in solid state are called?,Ionic solids,Covalent solids,Molecular solids,Metallic solid
The shape of NH3 is,Pyramidal,Trigonal,Linear,Tetrahedral
Water has high boiling point because of;,H bonding,Hight dipole moment,High specific heat,Closed lattice structure
Cl2 is gas Br2 is liquid and I2 because of;,Intermolecular force,Density,Enthalpy,Vapor pressure
Co - ordinate covalent bond is absent in,Carbon dioxide,Ammonium chloride,Sulphuric acid,Sulphur dioxide
Which of the following do not have hydrogen bonding?,CH4,NH3,H2O,HF
Which of the following has non linear structure?,SO2,BeCl2,CO2,All
What type of bond are formed in N2O3?,Covalent,Co-ordinate,Ionic,All
Which combination of atoms can form polar covalent bond?,H−Br,H−H,N−N,Na−Cl
"In which of the following ionic, covalent and co ordinate bonds are present?",Sodium cyanide,Ammonia,Carbon dioxide,Potassium bromide
"Which of the following is/are polar?

I) CH2Cl2.   II) CHCl3.    III) CCl4",I and II are correct,"I,II and III are correct",II and III are correct,I is the only correct response
The bond length of O−O in ozone is,1.27,1.37,1.47,1.52
The angle between NH in NH3 is,107•,109.28•,101•,97•
"Among the following species, co ordinate bond is present in",NH4+,CH4,NH2-,OH-
The molecule with highest % ionic character,HF,HCl,HBr,HI
No. Of bonding pair of electrons in H2O,2,3,4,5
Which pair of elements has bond of the same type between their atoms in solid state,Sulphur and chlorine,Aluminum amd phosphorus,Chlorine and argon,Magnesium and silicon
Which kind of bonding can be found in sample of H2O,Both polar covalent and hydrogen bond,Non polar covalent only,Hydrogen bond only,Ionic and non polar hydrogen bond
Although first ionization potential of dry sen is high it forms polar bond due to,Presence of unpaired electrons,High Electronegativity,Low Electropositivity,Occurrence in atmosphere
