question,answer,wrong1,wrong2,wrong3
,Statement I is true but Statement IIis false,Both Statement I and Statement II are false,Statement I is false but Statement II is true,Both statement I and statement II are true
"In a Young's double slit experiment, a student observes 8 fringes in a certain segment of screen when a monochromatic light of 600nm wavelength is used. If the wavelength of light is changed to 400nm, then the number of fringes he would observe in the same-region of the screen is:",12,6,8,9
In order to increase fige width:,The wavelength of the light should increase,The wavelength of light should decrease,Both of the above,None of the above
If th amplitude is in the ratio of 2:3 then intensity will be in the ratio of (given that frequency issame),4:9,2:3,9:4,3:2
The polarizing angle between reflected and refracted rays is,90,0,45,180
The width of the third fringe in young's double slit interference experiment is 0.1 mm. The width of the fifth fringe will be:,0.17 mm,0.06 mm,0.5 mm,0.1 mm
Wha thappens to the fringe pattern when the young's double slit experiment is performed in water instead of air?,Shrinks,Disappears,Unchanged,Enlarged
"Two coherent monochromatic light beams of intensities in the ratio 1:4 are superposed, the ratio o maximum to minimum possible intensities in the resulting beam is",9:1,5:1,5:3,9:3
"In young's double slit experiment, the separation of slit is 1.9 mm and fringe spacing is 0.31 mm at distance 1 m from the slit. The wavelength of light used is",5890 Å,6129 Å,3100 Å,1631 Å
If maximum intensity is 16 times the minimum intensity then the ratio of their amplitudes will be:,5/3,3/2,5/2,25/9
Two waves are defined to be coherent if,They have the same amplitude and frequency,They are emitted by identical source close together,They have a constant phase difference between them.,they have the same wavelength and speed
Two waves are defined to be coherent if,They have a constant phase difference between them,They are emitted by identical sources close together,They have the same amplitude and frequency,They have the same wavelength and speed
In young's double slit expriment fringe width is 2mm. Separation between 9th bright fringe and 2nd dark fringe from the center of the fringe system is:,15 mm,5 mm,10 mm,20 mm
"In young's double slit experiment, 12 fringes are obtained in a certain fragment of the screen when light of wavelength 600 nm is used. If the wavelength of light is changed to 400 nm, number of the screen will be:",18,12,24,30
The fact that light can be polarized establised the light,Is a transverse wave,Travels in the form of particles,Is an electromagnetic wave,Is an longitudinalwave
Unusual coloration seen in oil drops is due to,Interference,Reflection,Refraction,Polarization
Fringe width between two consecutive fringes is 11780 Å and the slit separation is 0.1 mm. If the distance between screen and slit is 0.2 mm then wavelength of light used is:,5890 Å,58900 Å,589 Å,8950 Å
A radar sends a signal of frequency 78 x 10^9/s towards aeroplane moving with certain velocity a frequency difference of 2.7 x 10^3/s is reflected from aeroplane. Find the velocity of aeroplane.,1.87 x 10^2 km/hr,2.87 x 10^2 km/hr,0.87 x 10^2 km/hr,3.74 x 10^3 km/hr
Two coherent sources of different intensities send waves which interfere. The ratio of maximum intensity t othe minimum intensity is 25. The intensities of the source are in the ratio.,9:4,25:1,5:1,625:1
"In a double slit diffraction, central bright fringe is obtained if path difference is multiple of:",λ,λ/2,λ/4,3λ/2
"In the young's double slit experiment, if the widths of the slits are in the ratio 4:9, the ratio of the intensity at maxima to the intensity at minima will be",25:1,169:25,81:16,9:4
"In young's double slits experiment, when red light is replaced by violet then.",Consecutive fringe will become narrower,The central macima will be dark,Fringe will become brighter,Fringe will disappear
"Young's experiment is performed inside water, the fringe width will:",decrease,remains same,increase,none
"Two waves are rpresented as:

y1 = 20 sin π θ and y2 = 40 sin 100 π θ. The ratio I2/I1 is given by:",4:1,1:4,3:1,none of the above
"A beam of light is passed through two parallelly placed tourmaline plates. Now when one of the plate is rotated, brightness is changed due to:",polarisation,dispersion,diffraction,interference
Soap bubble shines in different colours due to:,interference,diffraction,polarisation,refraction
