question,answer,wrong1,wrong2,wrong3
"Carbide of metal on hydrolysis form hydrocarbon, also give test with tollens reagent is",Ethyne,Methane,Ethane,Ethene
Which of the following increases anti knocking properties,Aromatic chain olefins,Cyclic chain olefins,Branch chain olefins,Straight chain olefins
Tolulene on free chlorination in light followed by heating with aqueous NaOH gives,Benzoic acid,O-cresol,P-cresol,Phenol
Propyne and propene is distinguished by,AgNO3 in NH3,Bromine water,Alkaline KMnO4,Zinc dust
Which of the following reducing agent reduces carboxylic acid directly to alkane,HI+ red phosphorus,LiAlH4,NaBH4,Na + C2H5OH
Al4C3 reacts with water to give,CH4,C2H4,C2H2,H2
Sodium salt of succinic acid on electrolysis gives,Alkene,Alkane,Alkyl halide,Carboxylic acid
Most volatile alkane among the following is,Neopentane,n- hexane,Isopentane,n-butane
Which of the following is unsaturated in nature,C4H8,C6H14,C2H2OH,CH4
Anti knocking agent is,Tetra ethyl lead,Ethyl alcohol,Lead acetate,Sodium acetate
"A mixture of methane,ethylene and acetylene is passed through ammoniacal Cu2Cl2 solution in a tube then the mixture of gases coming out of the tube is",Methane and ethylene,Methane and acetylene,ethylene and acetylene,acetylene
n- propyl bromide on reduction with alc. KOH gives,Propene,Propane,Ethene,Propyne
"When a mixture of methane, ethane and acetylene is passed through ammonical cuprous chloride solution which of the following comes out through the solution",Methane and ethylene,Acetylene,Methane,Methane and acetylene
Which has the highest knocking property,Straight chain olefins,Aromatic hydrocarbon,Branch chain olefins,Heterocyclic compounds
A gas decolorized alkaline KMnO4 solution what does not give precipitation with ammonical AgNO3 solution. The gas is,Ethylene,Acetylene,Methane,Ethane
Which one of the olefins gives 2 molecules of formaldehyde on ozonolysis,CH=CH2,CH3-CH=CH-CH3,CH=CH-CH3,CH3-CH2=CH-CH2
Which one of the following contains positive acidic hydrogen,Ethyene,Ethene,Benzene,Ethane
Which of the following undergoes elimination and substitution reaction but not addition reaction,Alkane,Alkene,Alkyne,Benzene
"In which of the following finely divided, Nickel is used as catalyst",Hydrogenation of oil,Haber's process of manufacture of NH3,Ostwald process of manufacture of HNO3,Contact process of H2SO4
"If one mole of methane is converted into products, then which one of the following statement is true",One mole of carbon dioxide is formed,One mole of Oxygen is consumed,One mole of water is formed,One mole of Oxygen is left behind
Liquid hydrocarbon can be converted into gaseous Hydrocarbon is by,Cracking,Oxidation,Disproportionation,Knocking
Mixture of ethyne and ethene can be separated by,Ammonical AgNO3,Bromine water,KCN,Alk. KMnO4
Which of the following contains isopropyl group,2 methyl butane,"2,2 dimethyl propane","2,2,2 trimethyl pentane",None
"In greenhouse effect, methane causes",Absorption of heat,Reflection of heat,Destroy greenhouse,None
In benzeneʹ electron is attached to,2 carbon,3 Carbons,4 carbons,6 carbons
Which of the following reacts with alcoholic KOH to give alkene,Alkyl halide,Alkane,Alcohol,Acid
An unsaturated compound is made saturated by,Hydrogenation,Dehydrogenation,Elimination,Hydrolyses
TEL is used as,Petroleum additive,Bleaching agent,Oxidising agent,All
Which of the following reaction doesn't involve metal or metallic salt,Transesterification,Wurtz salt,Kolbe electrolysis,Frankland reaction
Bayer's reagent is,Alkaline KMNO4,Acidified KMnO4,Alkaline K2Cr2O7,Acidified K2Cr2O7
Which is used in the anti-Markonikoff's reaction,Peroxide,Super oxide,Suboxide,Normal oxide
According to the Markownikov's rule addition of HBR to propylene will give the product,CH3CHBr-CH3,CH3CH2-CH2BR,CH3CHBrCH2Br + H2,There is no reaction
Tollens reagent give white ppt. With,1-butyne,2-butyne,1-butene,2-butene
Methane is formed from the hydrolysis of,Aluminium carbide,Calcium carbide,Methanol,Ethanol
"On reaction with Baeyer's reagent, ethylene and acetylene forms",Ethylene glycol and oxalic acid,Formic acid and the acetic acid,Oxalic acid and ethylene glycol,Acetic acid and formic acid
Ethylene and acetylene can be separated by,Ammonical AgNO3,Alk. KMnO4,Fehling's solution,Tollens reagent
Cracking of hydrocarbon is the process in which,Higher boiling hydrocarbon are changed into lower boiling hydrocarbon by the application of heat,Lower boiling hydrocarbonate change into higher boiling hydrocarbon,Production of petroleum from crude oil,Separation of smaller hydrocarbons from their mixture
Benzene reacts with H2 in sunlight to form cyclohexane. This is an example of,Addition reaction,Reduction reaction,Substitution reaction,Oxidation reaction
Alkynes are generally less reactive than alkenes towards,Electrophilic reagent,Nucleophilic reagent,Bayer's reagent,Lucas reagent
Alkyne and alkenes are distinguished by,Amm. AgNO3,KMnO4 alkaline,Fehling's Solution,Tollens reagent
Which of the following reacts with water to form methane,Aluminium carbide,Silicon carbide,Calcium carbide,Beryllium carbide
The catalyst used in hydrogenation of oil is,Nickel,Molybdenum,Iron,Platinum
Which of the following is most reactive,C2H2,C2H6,C2H4,None
The gas obtained by adding water on aluminium carbide is,Methane,Ethyne,Ethane,Ethane
Propylene when treated with 1% potassium permanganate the pink colour is discharge due to the formation of,Propylene glycol,Propanol,Propanal,Propanone
"On addition of water to CAC2, the gas evolved is",Ethyne,Methane,Ethane,Ethene
An organic compound on heating with CuO produces CO2 but no water. The compound maybe,Carbon tetrachloride,Methane,Chloroethane,Chloroform
Ethene on reaction with Baeyer's reagent produce,Ethylene glycol,Formic acid,Epoxy ethane,Formaldehyde
