question,answer,wrong1,wrong2,wrong3
A Carnot engine has an efficiency of 50% when its source is at a temperature 327 C. The temperature of the sink is,27 C,15 C,100 C,200 C
A Carnot engine has an efficiency of 50% when its source is at a temperature 327 C. The temperature of the sink is,27 C,15 C,100 C,200 C
"An ideal gas undergoes four different processes from the same initial state as shown in the figure below. Those processes are adiabatic, isothermal, isobaric and isochoric. The curve which represents the adiabatic process among 1,2,3 and 4 is",2,1,3,4
One mole of an ideal gas with γ = 1.4 is adiabatically compressed so that its temperature raise from 27 C to 35 C. The change in internal energy of the gas is,166 J,-166 J,-168 J,168 J
A Carnot engine taes in 3000kcal of heat from a reservoir at 627 C and gives it t oa sink at27 C. The work done by the engine is,8.4 x 10^6 J,4.2 x 10^6 J,16.8 x 10^6 J,0
"The efficiency of a carnot engine is 20%. In reducing the temperature of sink by 45 C, efficiency becomes 33.3%. The initial temperature of the sink was",337 K,270 K,310 K,540 K
The heat energy absorbed by a system in going through a cyclic process shown in figure is:,100 π J,200 π J,300 π J,400 π J
Wen refrigerator works between 0 degree Celsius and room temperature of 27 degree Celsius then coefficient of performance of refrigerator is,10,9,17,12
"An idealheat engine working between temperatures T1 and T2 has efficiency ŋ. If both the temperature are raised by 100K each, the new efficiency of the engine will be",less than ŋ,ŋ,more than ŋ,depends upon the nature of working substance
A gas is initially at 27 C. It is compressed adiabatically from 27 litres to 8 litres. The rise in temperature is,675 C,402 C,375 C,none
An inflated tyre of a bicycle bursts. Which of the following relation between pressure P and temperature T holds good if y is the ratio of the specific heats of air?,(P)^1-y T^y,(P)^y-1 T^y-1,(P)y-1 T^y,(P)^1-y T^y-1
An inventor claims to have made an engine which consumes 1g of fule per second (of calorific value 2 K cal/gm) and delivers 10 KW of power. mark the correct statement.,This is impossible,This is possible,The possibility of invention is determined by desigm o engine.,The possibility of incention is determined by nature of fuel used.
