question,answer,wrong1,wrong2,wrong3
Which of the following gases posses maximum K.E. at a given temperature?,All have equal KE,Hydrogen,Nitrogen,Oxygen
A jar has a mixture of hydrogen and oxygen gases in the ratio 1:5. The ratio of the mean kinetic eergies of hydrogen and oxygen molecules is,1:1,1:16,1:4,1:5
The rms speed of hydrogen molecules at 300K is 1930m/s. Then the rms speed of oxygen molecule at 900k will be,836m/s,643m/s,1930√3 m/s,1903/√3 m/s
Ratio of the rms velocity og H2 molecule to the He atom at the same temperature is,√2:1,2:1,1:√2,1:2
"If the molecular mass of the gases are M1 and M2 respectively, then the mean square velocity of the gases are proportional to:",M2/M1,M1/M2,√M1/M2,√M2/M1
Average kinetic energy (E) per unit volume of a gas is related to its pressure (P) as,P = 2/3 E,P = 3/2 E,P =1/3 E,P = 5/3 E
"A cylinder contains 150cc of ideal gas at 27 C and 650 mm pressure. At cnstant pressure, the volume of gas at 0 C is",136.5cc,130cc,140cc,150cc
"For a gas, deviation from ideal behaviour is maximum at",-20 C and 50 atm,0 C and 1 atm,-10 C and 20 atm,100 C and 2 atm
Straight line graph in Boyle's law obtained between pressure and,Reciprocal of Volume,Volume,Temperature,Reciprocal of temperature
At what temperature RMS velocity of oxygen molecule is equal is to that of sulphur dioxide at 27 C.,150 K,150 C,27 C,27 K
If gas has f - degree of freedom then the ratio of Cp/Cv,1+2/f,(1+f)/2,1+f/2,(1+2)/f
"A gas has a pressure P, volume V and temperature 500K. The pressure is doubled at constant volume and then the volume is reduced to one quarter at constant pressure. The final temperature of the gas in K is",250,125,500,1000
Boyle's law is applicable in,isothermal condition,isochoric condition,isobaric condition,isotonic process
Oxygen and hydrogen gas are at the same temperature and pressure. The oxygen molecule has 16 times the mass of hydrogen molecule. The ratoi of rms speed,1/4,2,4,16
Which of the following gases possess maximum KE at a given temperature?,All have equal KE,Hydrogen,Nitrogen,Oxygen
"Critical temp, for Vander Waal's equation is",8a/27Rb,27a/8Rb,a/27b^2,27b/8Rb
"On the bsic of Kinetic theory of gases, the mean KE of 1 mole per degree of freedom is",1/2RT,3/2RT,1/2KT,3/2KT
Ratio of the rms velocity of H2 molecule to the He atom at the same temperature is,√2:1,2:1,1:√2,1:2
"Two vessels having equal volume contain molecular hydrogen at 1 atm and helium at 2 atm. respectively. If both samples are at the same temperature, the mean velocity of hydrogen molecules is",twice that of helium,equal to that of helium,half that of helium,√2 times that of helium
A jar has a mixture of hydrogen and oxygen gases in the ratio 1:5. The ratio of the mean kinetic energies of hydrogen ad oxygen molecule is,1:1,1:16,1:4,1:5
The rms speed of hydrogen molecules at 300K is 1930m/s. Then the rms speed of oxygenmolecules at 900K will be,836m/s,643m/s,1930√3 m/s,1903/√3 m/s
"The molar specific heat of oxygen at constant pressure Cp  7.03 cal/mole C and R = 8.31 J/mole C. The amount of heat, taked by 5 moles of oxygen when heat at constant volume form 10 C to 20 C will be approximately",250,25,50,500
The temperature of a gas is 0 C. To what temperature it must be raised in order that the root mean square speed of the gas is doubled?,819 C,100 C,373 C,1092 C
