question,answer,wrong1,wrong2,wrong3
Typhoid in human being is caused by,Salmonella,Retrovirus,Shigella,Vibrio
"In most of the chronic carriers, the organisms of typhoid fever persist in",Biliary tract,Respiratory tract,Urinary tract,Genital tract
Poor nutrition associated with chronic alcoholism that may lead to Wernicke's encephalopathy is due to deficiency of,Thiamin,Riboflavin,Folic acid,Cyanocobalamin
Oncology is study of,Neoplasm,Cytoplasm,Nucleoplasm,Mollusca
Mycobacterium tuberculosis is also known as,Koch's bacillus,Hanen's disease,Koch-weeks bacillus,Bancroftian disease
Fatty liver syndrome is due to,Alcohol,Antibiotics,Smoking,Cannabis
HIV invades,Helper T-cells,T-cells,Suppressor cells,Killer cells
Cancer arising from connective tissues are called,Sarcoma,Carcinoma,Lymphoma,Gilioma
Hookworm infestation causes the deficiency of,Iron,Vit.B12,Vit.A,Folic acid
Hodgkins disease is related to,Carcinoma of lymphoid,Epithelial tissue,Pituitary gland,Nervous tissue
Which of the following cause oral cancer during consumption of cigrate ?,Polycyclic aromatic compound,Nicotine,Tar,"2,4,5-trinitrophenol"
Alpha -interfeorn and lamivudine are used in the treatment of,Hepatitis,Malaria,AIDS,Diarrhea
Vibrio cholera causes,Cholera,TB,Tetanus,Typhoid
The biological hazard of water is,Diarrhea,TB,Rabies,Asthma
The study of cause of disease is,Etiology,Pathology,Ethnology,Zymology
Which is most dangerous occupational disease?,Silicosis,Artherosis,Byossinosis,None
Anaemia is caused due to deficiency of the metal,Fe,Zn,Mn,Mg
Disease arthritis deals with,Joints,Tendons,Cartilage,Ligaments
Salmonellosis is caused due to,Bacteria,Fungi,Virus,Helminthes
Which of the following disease is not transmitted by housefly?,yellow fever,Typhoid,Cholera,Dysentry
Salmonella typhii mainly affects,ileum,Large intestine,Liver,Duodenum
BCG vaccination is done against,TB,Typhoid,AIDS,Measles
Asciariasis is caused by,Roundworm,Tapeworm,Whipworm,Pinworm
Mycobacterium causes,TB,Typhoid,Malaria,Meningitis
AIDS is caused by,Virus,Fungus,Helminth,Bacterium
TB is caused by,Mycobacterium,Salmonella,Fungus,Virus
Angina pectoris is a disease of,Heart,Eye,Kidney,Lungs
"In human, the most common site of the occurrence of cancer is",Lung,Stomach,Colon/rectum,Mouth
Excess cholestreol may give rise to,Gallstone,Arthritis,Tumor,Anemia
Alcoholism leads to,Cirrhosis,Emphysema,Muscular dystrophy,Cancer
In AIDS virus attacks,Helper T cells,T cells,B cells,Lymphocytes
The disease which can't be prevented by vaccination:,Asthma,Cervical cancer,Hepatitis,Measles
"In AIDS, HIV virusinfect the cell of human body, then viruses detect by the presence of",Glycocalyx of cell membrane,Low density lipid in the cell,Apoprotein of pits,B-lymphocytes
