question,answer,wrong1,wrong2,wrong3
A thin stream of water from a tap is attracted by placing a rod near it. The rod is,Charged with static electricity,The south pole of the magnet,The north pole of the magnet,Any non-magnetic substance
"When a woolen sweater over a nylon shirt is removed, sparking is observed due to",Static electricity,Curret electricity,Both,None
From a sphere 10^14 electrons are removed then chargeon the sphere is,16 mC,-16 mC,32 mC,-32 mC
The ratio of the force between twwo small sphere charged to constant potentials in air and in medium of dielectric constant K,1:K,K:!,1:K^2,K^2:1
There are two charges +3 micro coulomb and +8 micro coulomb. The ratio of forces acting in them will be,1:1,3:1,1:8,1:11
"In the circuit, power dissipated per unit volume is proportional to",Square of electric field,Current,Resistance,Electric field
"n small drops of same size are charged to V volts. If they coalesce to form a single large drop, then its potential will be",n^2/3 V,V/n,nV,V/n^n
"Two charges +4 coulomb and -10 coulomb are placed at A and B, 7cmn apart. Thedistance from A where te potential experienced is zero is",2 cm,5 cm,4 cm,3 cm
The ecletric field inside a charged non-conducting sphere is related to distance from the center 'r' as,Eα r,Eα r^-2,Eα r^-1,Eα r^2
A chargedparticle is moved from one point to aother in equipotential surface. Then work is,Zero,1/4¶εr,q^2/4¶εr,q^2/r
NC^-1 has the same unit as,Volt/meter,Volt-meter,Farad-m,Farad/m
A surface encloses an electric dipole. The flux through the surface is,Zero,Positive,Negative,Infinite
The electric field at a distance 3R/2 from the center of a charged conduction she;; of radius R is E. The electric field at a distance R/2 from the center of the sphere is,Zero,E,E/2,E/3
"In bringing an electron towards another electron, the electroststic potential energy of the system",Increases,Become zero,Decreases,Remains same
An electric dipole of dipole moment p is aligned parallel to a uniform electric field E. The energy required to rotate the dipole by 90 is,pE,p^2E,infinity,pE^2
Eight drops of water of equal radius and charge are fused to make one big drop. What is the capacitance of the big drop with respect to the small?,2 times as great,8 times as great,4 times as great,Exactly equal
"An electric dipole is placed at an angle of 30 with an electric field of intensity 2 x 10^5 N/C. It experiences a torque to 4 Nm. Calculate the magnitude of charge on the dipole, if the dipole length is 2 cm",2 mC,6 mC,4 mC,8 mC
A glass slab of uniform thickness is introduced between the plates of a parallel plate capacitor. The capacity of the capacitor,Increases,Decreases,Remain same,Becomes infinite
"Four capacitors of capacitance 3mF,3mF,3mF and 2mF are arranged in the form of a rectangle the nthe equivalent capacitance across 2mF capacitor is",3 mF,1 mF,2 mF,4 mF
A 4mF condenser is charged to 400V and then its plates are joined through a resistance of 1 ohm. The heat produced in the resistance is,0.32J,128J,0.64J,0.16J
"A bullet of mass 2 g is having a charge of 2 mC. Through what potential difference must is be accelerated, starting from rest, to acquire a speed of 10 m/s?",50 kV,5 kV,55 kV,555 kV
"Three capacitors of 2mF,3mF and 6mF are joined in series and the combination is charged by means of 24 volt battery. The potential difference between the plate of the 6mF capacitor is",4 volts,6 volts,8 volts,10 volts
Two capacitor 1mF and 2mF are charged to 300V and 150V respectively and connected by a wire. The potential of the conncted system is,200 V,166 V,185 V,133 V
The capacitance of capacitor is indepndent of,uality of plates,Size of plates,Distance between the plates,Medium between the plates
The angle between the electric lines of force and the equipotential surface is:,90,0,45,180
A capacitor is connected to a cell of emf E and some internal resistance. The p.d. across the,Cell is E,Cell is > E,Capacitor is < E,Capacitor is > E
Five capacitors are connected as shown in the figure. The equivalent capacitance between the point A and B is,2 mF,1 mF,3 mF,4 mF
The equivaent capacitance of the system shown in the following circuit is,2 mF,3 mF,6 mF,9 mF
Two condenser of capacity 0.3mF and 0.6mF respectively are connected in series. The combination is connected across a potential of 6 volt. The ratio of energies stored by condensers will be,2,1/2,1/4,4
Two hollow conducting spheres of radii R1 and R2 (R1>>R2) have equal charges. The potential would be:,more on smaller sphere,more on bigger sphere,equal on both the spheres,dependent on the material property of the sphere
The equivalent capacitacne of thecpmbination shown in the figure is,2C,3C,C/2,3C/2
