question,answer,wrong1,wrong2,wrong3
1. VELOCITY OF LIGHT IS MAXIMUM IN ............MEDIUM,D. EQUAL IN ALL MEDIUM,A. AIR,B. WATER,C. GLASS
2. HOW FAR FROM A PLANO MIRROR  MUST AT 6-ft- TALL MAN  STAND TO SEEN HIS WHOLE BODY?,B. 3 FEET,A. 2 FEET,C. 6 FEET,D. 12 FEET
3. POLARIZED LIGHT VIBRATE IN.............PLANE,A. 2,B.  3,C.  4,D. 1
4. PRISMATIC POWER OF LENS DEPENDS ON,C. BOTH A AND B,A. POWER OF LENS,B. DISTANCE FROM OPTICAL AXIS OF LENS,D. NONE
5. THE COLOUR WE SEEN ON THE SKY DUE TO...........OF LIGHT,C. SCATTERING,A. REFRACTION,B. REFLECTION,D. POLARIZATION
6. BASIC COLOUR USED IN DUCHORMA TEST IS..........,D. BOTH A AND C,A. RED,B. BLUE,C. GREEN
7. VISUAL ACUITY IS MEASURED AT DISTANCE OF............,A. 6 M,B. 4M,C. 8 m,D. 1m
"8. ACCORDING TO WHO, VISUAL ACUITY LESS THAN.......... IS TERMED AS LEGAL BLINDNESS.",B. 3/60,A. 2/60,C. 4/60,D. 3/6
9. WHICH ONE POSSES BETTER VISION OF GIVEN VISUALACUITY?,D. 6/12,A. 6/60,B. 6/36,C. 6/18
"10. IS DIFFERENCE IN IMAGE, SIZE AND SHAPE BETWEEN EYE.",C. ANISEIKONIA,A. ANISOMETROPIA,B. AMMOTEPRIA,D. ANISOCORIA
11. TOTAL NUMBER OF CARDINAL POINT ARE..........,D. 6,A. 3,B. 4,C. 5
12. DIFFERENCE IN VISUAL ACUITY OF TWO EYE IS KNOWN AS,C. ANISOOXYOPIA,A. AMMETROPIA,B. ANESEIKONIA,D. ANISOMETROPIA
13. ........... IS NOT COMPONENT OF COLOR,A. GLARE,B. HUE,C. SATURATION,D. BRIGHTNESS
14. BLUE FLOWERS APPEARS BLUE BECAUSE IT .............BLUE LIGHT,C. REFLECT,A. ABSORB,B. REFRACT,D. SCATTER
