question,answer,wrong1,wrong2,wrong3
"A body is moving with uniform velocity In circular path then, centripetal acceleration is:",directed towards radius,zero,along tangent,along the axis perpendicular to plane
"A four wheeler is moving in a banked track of radius 24 m with velocity 10, m/s. What is the minimum angle of banking so that it won't overturn?",23°.,24°,25°,20°
A stone of mass 'm' is tied to a string of length 'l' and rotated in a circle at constant speed 'v'. If the string is released the stone flies,Tangentially outward,Radially inward,Radially outward,With an acceleration \(mv^2/l\)
"A road of 50 m radius is banked at correct angle for a given speed. If the speed is to be doubled, keeping the same banking angle, the radius of the road should be changed to",200m,25 m,100 m,150 m
"""In a death well"", a motorcyclist performs his race on circular path of radius (r) then minimum velocity at lowest  point is",\(\sqrt{5rg}\),\(\sqrt{rg}\),\(\sqrt{7rg}\),\(\sqrt{3rg}\)
A body of mass m is moving in a vertical circle with constant speed of V. The tension on the mass at the bottom of the circle is,\(mg+mrω^2\),\(mg-mrω^2\),\(mg*mrω^2\),\(mg/mrω^2\)
A can filled with water is revolved in a vertical circle of radius 4 m so that water does not spill down. The maximum period of revolution will be,4 sec,2 sec,3 sec,5 sec
A particle of mass m is moving along a circular path of radius R with frequency n and period T It's centripetal acceleration can be expressed as:,\(4π^2Rn^2\),\(4π^2R^2n\),\(4π^2rT\),\(4π^2R^2T^2\)
The radius of circular path is 1m. A particle makes 10 revolutions in 6 sec. The linear velocity of the particle is:,10,0.5,2,4
"A cyclist turns around a curve at 20 km/hr. If he turns at the double of this speed, the tendency to overturn is",Quadrupled,Double,halved,Unchanged.
The cyclist moving with velocity 10 m/s in radius 2om than angle of inclination of cycle,26.5º,35.5º,60º,40º
If a ball is attached to a string and whirled in a vertical circle then the velocity at the lowest point is,\(\sqrt{5rg}\),\(\sqrt{rg}\),\(\sqrt{2rg}\),\(\sqrt{rg/2}\)
A particle moves in a circle of a radius 25 cm at 2 rev/sec. The acceleration of the particle in \(m/s^2\) is,\(4π^2\),π,\(2π^2\),\(8π^2\)
"A body is describing circular motion with constant speed v along circular path of radius r. Then its tangential acceleration will be,",zero,\(\frac{v^2}{2πr}\),\(\frac{v^2}{πr}\),\(\frac{v^2}{r}\)
A vehicle moving along convex bridge of radius of curvature 100 m is speeding at 3 m/s2. What is its acceleration when . its velocity is 20 m/s?,\(5 m/s^2\),\(4 m/s^2\),\(3 m/s^2\),\(2 m/s^2\)
A particle of mass m is moving in a circular path of constant radius r such that its centripetal acceleration ac is varying with time as ac =\(k^2rt^4\) where k is a constant. The power delivered to the particle by the force acting on it is:,\(2mk^2r^2t^3\),0,\(mk^2r^2t^2\),\(1/3*mk^2r^2t^2\)
The speed of revolution of a particle going around a circle is doubled and its angular speed is halved. What happens to the centripetal acceleration,Unchanged,Doubled,Halved,Becomes four times
A 600g object is tied to a string 1m lo Cop' and it is rotated in a horizontal circle radius 0.8m. Thus the tension produce on the string is,g,g/2,3g/2,5g/2
A particle is moving in a circle of radius r with a uniform speed. Its angular acceleration is,Zero,v/r directed toward center,\(v^2/r\) directed toward center,\(v^2/r\) directed along the axis
"A cyclist turns around a curve at 2 km/hr. If he turns at the double of the speed, the tendency to overturn is",quadrupled,doubled,halved,unchanged
"A stone tied to one end of string, 5m long is whirled in horizontal circle constant speed 5m/s. What is avera acceleration of the stone in. h revolution?",\(10/π  m/s^2\),5π \(m/s^2\),\(5/π * m/s^2\),zero
"A stone tied to one end of light string ....cm long, is whirled in horizontal circle with constant K.E. of 20J. Then, tension in the string will be",80N,40N,20N,10N
Uniform circular motion is motion with,Variable acceleration,Constant velocity,Constant acceleration,Variable speed
A man swings a bucket of water in a vertical circle of diameter 2m. The minimum speed with which he must swing the bucket so that the water does not spill is,3.13 m/s,1.56m/s,9.8 m/s,4.4 m/s
"A stone tied to one end of a string is whirled in horizontal circle so that length increases gradually. If T1 and T2 are the tensions in the string when its length be l and 2l then,",T1=8T2,T1=2T2,T1=4T2,T1=T2/2
The speed of revolution of a particle going around a circle is doubled and its angular speed is halved. What happens to the centripetal acceleration?,Remains unchanged,Becomes four times,Doubled,Halved
"For a particle in circular motion, the centripetal acceleration is",may be more or less than its  tangential acceleration,less than its tangential acceleration,equal to its tangential acceleration,more than its tangential acceleration
What should be the angular velocity of earth so that a body on its equator is weightless,\(\frac{1}{800}rad/s\),\(\frac{1}{8000}rad/s\),\(\frac{1}{8}rad/s\),\(\frac{1}{80}rad/s\)
The angular speed of a car increases from 600 rpm to 1200 rpm in 10 sec. What is the angular acceleration of the car?,\(2π rad/s^2\),\(600 rad/s^2\),\(60 rad/s^2\),\(60π rad/s^2\)
"A block released at the top of a smooth hemispherical bowl of radius R slips tangentially with radius vector makes angle θ with vertical, when its velocity is v. Then angle θ is,",\(θ= cos ^{-1}(\frac{v^2}{gR})\),\(θ= tan ^{-1}(\frac{v^2}{gR})\),\(θ= sin ^{-1}(\frac{v^2}{gR})\),\(θ= cot ^{-1}(\frac{v^2}{gR})\)
"A block released at the top of a smooth hemispherical bowl of radius R slips tangentially after falling a
height h. Then,",h=R/3,h= 2R/3,h=3R/4,h=R/2
A block released at the top of a smooth hemispherical bowl of radius R slips tangentially after falling a vertical height h where radius makes angle with vertical. Then is,\(cos^{-1}\frac 23\),\(cos^{-1}\frac 13\),\(cos^{-1}\frac 34\),\(cos^{-1}\frac 12\)
What minimum  horizontal speed imparted to the block at the top of smooth hemisphere of radius R so that it slips instantly?,"\(\sqrt{
gR}\)",\(\sqrt{2gR}\),\(\sqrt{5gR}\),zerp
