question,answer,wrong1,wrong2,wrong3
1. THE BRANCH OF DRAVYA GUNA WHICH GIVE BASIC CONCEPT OF DRAVYA GUNA IS CALLED,B. PADHARTHA VIGYAN,A. DRAVYA GUNA,C. DRAVYA VIGYA,D. PHARMACY
"2. RESERPINE, AN EXTRACT OF ROUWALFIA SERPENTINE PRODUCTS",B. SUCIDAL TENDENCY,A. CARDIAC DEPRESSION,C. RENAL FAILURE,D. ALL OF THEM
3. INITIAL SUPPORTIVE MEASURE FOR POISONING IS,D. ALL,A. AIRWAY,B. BREATHING,C. CIRCULATION
4. BOTINICAL NAME OF SARPAGANDHA IS,C. RAUWOLFIA SERPENTINA,A. WITHANIA SOMNIFERA,B. SARACA INDICA,D. MALVACEAE
5. TULSI BELONGS TO FAMILY,C. LABIATAE,A. GRAMINAE,B. SOLANACAE,D. MALVACEAE
6. VIPAKAA OF AMALA IS,D. MADHUR,A. KATU,B. TIKTA,C. KASAYA
"7. KATU TIKTA, KASAYA RASA INCREASE",A. VATA,B. PITTA,C. KAPHA,D. VATA PITTA
9. the part USED OF ALOE VERA IS,D. ALL,A. LEAF,B. STEM PULP,C. LEAF PULP
10. TERMINILIA BELLIRICIA IS THE BOTANICAL NAME OF,B. BARRO,A. HARRO,C. AMALA,D. KUTAJ
11. THE PART USE OF JETHI MEDHU IS,C. ROOT,A. STEM,B. BARK,D. LEAF
12. BAKUCHI IS USED IN,C. LEUCODERMA,A. HEART DISEASE,B. LUNGS DISEASE,D. UTI
13. WHICH OF THE FOLLOWING IS USED IN GASTRITIS,C. AMALAKI,A. HARITAKI,B. BIBHITAKI,D. ARJUNA
14. SPECIFIC USE OF GAS,C. CVS,A. GIT,B. UTI,D. REPRODUCTIVE SYSTEM
