question,answer,wrong1,wrong2,wrong3
Genetic drift is due to:,Sudden change in frequency of alleles in smaller population,Hihh number of alleles in gene pool,Gradual change in frequency of alleles in smaller population,Transfer of alleles from one to another
Plants growing in salty soil is called:,Halophyte,Lithophyte,Psammophyte,Oxylophyte
In which ecosystem biomass of tertiary consumer is larger than secondary and primary consumers and producers?,Pond ecosystem,Grassland ecosystem,Forest ecosystem,Desert ecosystem
Xerophytes lack:,Aerenchyma,Well developed root,Well developed conducting system,Spiny leaf
The plants tolerating narrow range of temperature are categorized as:,Stenothermal,Euryhaline,Megathermal,Microthermal
The plants growing in salty region are:,Halophytes,Sciophytes,Psammophytes,Xerophytes
Osmotrophy is related to:,Saprophytic,Holophytic,Parasitic,Holozoic
Absorption by general body surface cuticle is present and arenchyma is present in:,Hydrophytes,Xerophytes,Mesophytes,Halophytes
Gaseuous exchange in sub-merged plant by:,General body surface,Hydathode,Stomata,Lenticel
Which of the plant helps in nitrogen fixation:,Beans,Rice,Maize,Wheat
Sea-anemone and hermit crab exhibits which type of association :,Commensalism,Symbiosis,Mutualism,Proto-cooperation
Xerophytes with succulent habitat:,Agave,Cycas,Pinus,Mango
The type of relation in which one organisms kill and feeds upon other is:,Commensalism,Predation,Protocooperation,Parasitism
Some species differ by geographical distribution is called:,Allopatric,Sympiatric,Both,None
The plants which can only tolerate narrow range of temperature is:,Stenothermic,Mesothermic,Helikothermic,Eurythermic
Replacement of one community by other community in due course time is called:,Succession,Pyramid,Community replacement,Productivity
Flow of energy in ecosystem is:,Unidirectional,Bidirectional,Multidirectional,Polydirectional
High annual productivity is:,Tropical rain forest,Tropical deciduous,Temperate forest,Temperate deciuous
Ecological niche is:,Role of organism with respect to habitat,Interrelationships in a community,Interrelationships with other organisms,Kind of habitat
Which causes acid rain and affects respiratory tissue?,SO2,Nitric acid,Lead nitrate,CO2
The enlargement of DDT in various trophic level is called:,Biomagnification,Pollution,Eutrophication,BOD
Which of the following reacts with water to form acid rain causes respiratory diseases?,SO2,Lead nitrate,HNO3,CO2
A food chain always starts with:,Photosynthesis,Decay,Respiration,Transpiration
Which of the following is mutually beneficial for the survival of both the partners except:,Parasitism,Symbiosis,Commensalism,Proto cooperation
First process in food chain in ecosystem is:,Photosynthesis,Decay,Respiration,Consumer
Plant Aloe vera stores water during rainy season and use it during drought season. This process in plants is called:,Drought avoiding,Drought evading,Drought escaping,Drought resistance
