question,answer,wrong1,wrong2,wrong3
What is the angle of incident of prism of angle 60 and which has refractive index √2 for which it gives minimum deviation?,45,60,90,30
The princliple of which of the following is based on deviation without dispersion?,Achromatic doublet,Chromatic doublet,Spectrometer,Direct vision spectroscope
An equilateral prism having angle 60 has refractive index √2. What at is the angle of incident for minimum angle of deviation?,45,75,0,60
The angle of deviation produced by a small angle prism of angle A and refractive index µ is equal to :,A(µ -1),µ(A-1),A(µ+1),µ(A+1)
"In a right-angled glass prism, light is normally incident through smaller face. Then deviation is",90,45,30,60
A prism of refracting angle 60 produces a minimum deviation of 30. Then the angle of incidence is,45,30,60,90
The angle of prism is A and the minimum deviation is (180 = 2A). Then the refractive index of the material of the prism is:,cot(A/2),sin(A/2),cosA/2,tan (A/2)
An equilateral prism has refractive index √2. The angle of incidence wich gives minimum deviation is,45,60,90,30
A blue object on a white background when seen through a blue filter will,become invisible,appear blue on white background,appear black on a blue background,appear blue on a red background
"In an equilateral prism, if angle of incidence equals to angle of emergenc and the angle of incidence is 3/4th of angle at prism. Then find the angle of deviation produced",30,60,90,120
