question,answer,wrong1,wrong2,wrong3
What is the unit of solubility product for AB type salt?,(Mol/lit)2,Mol/lit,Lit/mole,Unitless
Which indicator is used in titration of strong base and weak acid?,phenolphthalein,methyl orange,starch,methyl red
Solubility of AgCl in water (Ksp = 1.69 x 10-10),1.3 x 10-5,1.3 x 10-10,1.6 x 10-10,1.6 x 10-5
"In a solution, 10-10 M hydronium ion (H3O+) is present, then POH will be:",4,3,10,7
Expression for Ksp for Ca3(PO4)2 is:,[Ca++]3[PO4-]2,[2Ca**][PO4 ],[3Ca+*][2PO43],[Ca++][PO4]
If 0.023 gm of Na is dissolved in 100cm3 of water then resulting pH of solution is,12,14,8,10
When ammonium chloride is added to a solution of ammonium hydroxide,The concentration of OH- decreases,The concentration of NH4+ and OH- increases,The concentration of OH- increases,The concentration of NH4OH increases
"Which one of the following will show common
ionic effect?",HCl + H2S,HCI + HNO3,HCl + NaCl,HCl + H2SO4
pH is 2 then find,10-2 mole/l,102 mole/l,1mole//,10 mole//
"When NH4Cl is added to NH4OH, its pH:",Decreases,Increases,Remains unchanged,Zero
"25 mole of hydrogen reacts with 18 mole of iodine, at equilibrium 30.8 mole of HI is formed then the degree of ionization of HI is",9%,18%,24.5%,35%
The solubility of A3B2 is x. Then the solubility product will be,108x5,27x3,218x5,525x5
"The solubility product of a sparingly soluble salt AB2, is 1.08 x10-13 at 25°C",3 x10-5 M,3 × 10-4 M,3×10-6 M,3 x10-7 M
The number of ions produced from a molecule of Potassium Ferricyanide in aqueous solution are,4,2,3,5
pH of 0.001 M HCl is,3,1,2,0
How many grams of water is required to make saturated solution of 100 grams of KNO3 at 100 °C if solubility at 100° C is 20 ?,500,100,200,300
".If a solution of pH = 0, 100 ml of pure water is added, then the mixture will be:",Acidic,Alkaline,Amphoteric,Neutral
. Which of the following will not change the addition of drops of acid or alkali ?,solution containing mixture of CH3COOH & CH3COONa,CH3COOH solution,mixture of 0.1 M HCl & 0.1 M HNO3,solution containing 1 M KOH & 1 M NaOH
The degree of dissociation of an electrolyte,Decreases with dilution,Decreases with dilution,May increase or decrease with dilution,Is not affected by dilution
.The pH of 10-12 M HCl is,7.0,12.0,2.0,-12
1.75 g of Potassium nitrate solution contains 50 g of KNO3 then solubility of solution is,40,55,50,45
The degree of ionization of an electrolyte depends upon,Concentration of electrolyte if the electrolyte is weak,Nature of electrolyte,Temperature,All of the above
The solubility the sparingly soluble salt CaF2 is 2.03 x 104 mole L1. The solubility product is,3.45 × 10-11,4.12 × 10-8,4.04 × 10-4,8.20 x 108
The pKa value for acetic acid is 4.30 its dissociation constant is,5.01 × 10-5,1.99 × 104,6.33 x 10-3,4.30 × 10-4
The pH of 1×10-10 M HCl is approximately,7.0,10.0,4.0,0.0
The pH of 0.015 N NaOH is,1.82,8.23,12.18,10.57
"The pH of the solution 5 ml if M/5 HCl + 10 ml of 37.Why is precipitate of AgCl obtained when a drop of
N/10 NaOH is:",7,5,3,8
The sum of pH and pOH at 25°C,14,7,0,-7
The pH of 100 ml of 0.0125 M solution of NaOH is,12.1,89,13.3,1.9
The solution is 1% ionized having concentration 1 M. Find the dissociation constant,1*10^-4,1*10^-2,1*10^-3,1*10^-6
The solubility product of a sparingly soluble salt d. 1×10-6 AzB is 4.0 x 10-12 at 298K. Its molar solubility will be,1.0×10-4,4.0 × 10-3,4.0×10-6,1 x10-3
Ionization constant of acetic acid is 1.82 x10-5. The degree of ionization for 0.1 M acetic acid is,1.35%,0.135%,1.82%,18.2%
pH of 0.01 M NaOH is,12.0,2.0,10.0,9.0
The pH of 0.10% solution of NaOH is,12.4,1.6,10.4,8.6
Precipitation occurs when ionic product i,Greater than solubility product,Less than solubility product,Equal to solubility product,Any of them
What is the pH of a solution having H+ concentration 0.004 gm per lit.,2.4,2.7,3.7,3.4
Which expression represents the solubility product (Ksp) of lead (II) chloride?,[Pb2+] [Cl-]2,[Pb2+] + [2C1-]2,[Pb2+] [2Cl-)2,([Pb2]+[Cl]2)/ PbCl2
The pH value of a solution of NaOH is 10. Assuming complete dissociation the value of the concentration of OH ion is,10-4,104,10-2,none of the above
"Why is precipitate of AgCl obtained when a drop of AgNO, is added in aqueous NaCl solution?",Ionic product of AgCl> Solubility product,Solubility product> ionic product of AgCl,Solubility product = ionic of AgCl,Solubility product / ionic product of AgCl
Ionic product of water is,10^-14,10^7 moles/litre,10^-14 gm/litre,10^-14 gm/litre
.The PH of 0.02M NaOH is,12.3,1.7,10.3,13.3
pH of 0.01 M NaOH is,12,13,10,3
