question,answer,wrong1,wrong2,wrong3
The particular test carried out for the conformity of irregular growth of cell or malignant cancer is known as:,Biopsy,Autopsy,Chemotherapy,Radiography
"A metastatic cancerous tissue is termed as sarcoma, if it is disorder of:",Fibroblasts,Epithelial cells,Circulatory system,Immune system
Cancer affecting lymph nodes and spleen,Lymphoma,Lukaemia,Sarcoma,Carcinoma
Carcinoma means,Malignant tumor of skin,Malignant tumor of colon,Benign tumor of colon,Benign tumor of skin
Most common cancer among females worldwide is the cancer of :,Breast,Cervix,Lung,Oral cavity
Tobacco is associated with cancer of:,Oropharynx,Lung,Urinary bladder,Liver
P53 gene is,Tumor suppressor gene,Tumor provoking gene,Tumor causing gene,None
Genes involved in cancer are called,Oncogenes,Neogenes,Tumor genes,Cancer genes
Sarcoma is cancer of :,All of the above,Bone,Muscular tissue,Adipose tissue
Which is carcinogenic to skin?,Arsenic,Coal,Nitrogen,Asbestos
Cancer of blood is called:,Leukemia,Sarcoma,Hybridoma,Lymphoma
PAP Smear Test is used in detection of:,Cervical cancer,Lung cancer,Breast cancer,Prostate cancer
Most common site of colon cancer is:,Ascending colon,Descending colon,Rectum,Caecum
Most common site of intestinal cancer is:,Duodenum,Jejunum,Ileum,Both b and c
The most common site of carcinoma in Nepalese males is:,Lung,Liver,Rectum,Oral cavity
The most common site of carcinoma in Nepalese females is,CErvic,Breast,Lung,Oral cavity
There is no spreading of oncogenes in the malignancy of:,Spleen,Liver,Mouth,Lungs
Spreading of cancerous cells is known as:,Metastasis,Metagenesis,Metagrowth,Mutagenesis
Which of the following is oncogenic?,Papilloma virus,Paramyxo virus,Rhabdo virus,Rhino virus
Adenoma is th cancer of,Gland,Bone,Cartilage,Lymph
One of the following is anti-cancerous?,Vincristin,Penicillin,Aspirin,Flagyl
Which of the following is more susceptoble to breast cancer?,Nulliparous women,Multiparous women,Below 30 years,Males
The cancer of epithelial cells is called,Carcinoma,Leukemia,LIpoma,Sarcoma
Cancer that affects and arise in the mesodermal tissue are called,Sarcomas,Carcinomas,Melanomas,Lymphomas
Alcoholism should be treated as,A social problem,A medical problem,A psychological problem,None of the above
Alcohol absorption in our body is through,Stomach,Intestine,Oesophagus,Pancreas
Alcohol absorption in our body is through,Stomach,Intestine,Oesophagus,Pancreas
Chronic alcohol use may harm the following part of our body,Peritoneum,Pleura,Pericardium,None of these
Prolonged use of alcohol in excess leads to,Liver disease,Eye disease,Lung disease,Kidney disease
A man will die if he drink more than......ml of pure methanol,50,250,100,500
Which of the following is not alcohol associated problems?,Miner's nystagmus,Korsakoff Psychosis,Wernicke encephalopathy,Cirrhosis of liver
1 gm of alcohol produces ....calories of energy on oxidation,7000,2000,1000,5000
Which part of the brain losses control when person drinks alcohol?,Cerebellum,Cerebrum,Pons,Medulla oblongata
"In liver, alcohol is converted into toxic",Acetaldehyde,Vitamins,Minerals,Iron
"In chronic alcoholic, axon inflammation takes place called",Neuritis,Laryngitis,Axitis,Dendrites
Drinking and driving do not go together because,All of the above,Imparis ability to judge distances,Reduced capability to coordinate limb muscles,Make vision blurred
Chronic alcohol use may harm the following part of our body,All,Peritoneum,Brain,Liver
Nicotine acts as stimulant because it mimics the effect of,Acetylcholine,Testosterone,Dopamine,Thyroxine
World No Tobacco Day is celebrated on,31st May,3rd July,5th Jun,5th July
Benzopyrene present in tobacco smoke is,All,Carcinogenic,Ciliotoxic,Irritant
The critical gene called P53 is mutated by,Tobacco smoke,Alcohol,Both a and b,None
Which of the following is most carcinogenic?,Tars,CO,Nicotine,None of these
The commonest problem of smoking is,Chronic bronchitis,Asthma,Lung cancer,Pneumonia
Addiction of smoking is due to,Nicotine,Benzopyrene,CO,Tars
The world's highest number of female smokers are in,Nepal,USA,France,India
