question,answer,wrong1,wrong2,wrong3
\(K_4[Fe(CN)_6] \) is a,Complex compound,Double salt,Normal salt,None
How many ions are produced when the compound \([CO(NH_3)_5Cl]Cl_2\)is in aqueous state?,3,1,2,4
"According to Lewis, the ligands are",Basic in nature,Acidic in nature,Neither acidic nor basic,Some are acidic and others are basic
IUPAC name of \(K_3[Fe(CN)_6]\)is,Potassium hexacyanoforrate (III),Potassium ferrocyanide,Potassium ferricyanide,Potassium hexacyanoferrate (II)
Which one of the following is expected to be a paramagnetic complex?,\([Ni(H_2O)_6]^{+2}\),\(Ni[(CO)_4]\),\(Zn[(NH_3)_4]^{+2}\),\([Co(NH_3)_6]^{+2}\)
The compound which does not show paramagnetism is,\([Ag(NH_3)_2]Cl\),​​\([Cu(NH_3)_4]Cl_2\),NO,\(NO_2\)
"The shape of\([Cu(NH_3)_4]^{2+}\) is square planar, \(Cu^{2+}\) in this complex is",\(dsp^2 hybridised \),\(sp^3  hybridised\),\(Sp^3d  \) hybridised,\(Sp^3d^2 \) hybridised
Which complex has square planar structure?,\([Ni(CN)_4]^{2-}\),\(Ni(Co)_4\),\([NiCl_4]^{2-}\),\([Cu(NH_3)_4]^{2+}\)
Which one of the following has tetrahedral geometry?,\([Ni(CN)_4]^{2-}\),\([Co(NH_3)_6]^{3+}\),\(Fe(CO)_3\),\([Ni(Cl)_4]^{2-}\)
The number of geometrical isomers for\([Pt(NH_3)_2Cl_2]\)is,2,3,4,1
Hypo is used in photography because it is,strong complexing agent,a strong oxidising agent.,strong reducing agent,none
AgCl dissolves in \(NH_4(OH)\)due to the formation of,\([Ag(NH_3)_2]Cl\),\([Ag(NH_4)_2]Cl\),\([Ag(NH_4)_3]Cl\),\([Ag(NH_3)_2OH]\)
Correct formula of potassium ferrocyanide is,\(k_4[(FeCN)_6]\),\(K_2[Fe(CN)_6]H_2O\),\(K_3[Fe(CN)_6]\),None
"The formula for iron (III) hexacyanoferrate (II), commonly known as prussian blue is",\(Fe_4[Fe(CN)_6]_3\),\(Fe_3[Fe(CN)_6]_2\),\(Fe_2[Fe(CN)_6]_3\),\(Fe_3[Fe(CN)_6]_4\)
Trunbull's blue is,ferrous ferrocyanide,ferricyanide,ferrous cyanide,ferriferrocyanide
Tollen's reagent is,\([Ag(NH_3)_2]^+\),\(Ag_2O\),\([Cu(OH)_4]^{2+}\),\(Cu_2O\)
Prussian blue is formed when,ferric sulphate reacts with\(K_4[Fe(CN)_6]\),ferrous sulphate reacts with\(FeCl_3\),ferrous ammonium sulphate reacts with \(FeCl_3\),ammonium sulphate reacts with \(FeCl_3\)
"In the compound lithium tetrahydroaluminate, the ligand is",\(H^-\),\(\)\(H^+\),H,None
In which of the following complexes oxidation state of metal is zero?,\([Cr(CO)_6]\),\([Pt(NH_3)_2Cl_2]\),\([Cr(NH_3)_3Cl_3]\),\([Cr(en)_2Cl_2]\)
Which of the following compounds turns black on addition of \(NH_4OH\)?,\(Hg_2Cl_2\),\(PbCl_2\),\(HgCl_2\),AgCl
"Copper sulphate solution, when added to excess of ammonium hydroxide, forms a complex compound due to",\([Cu(NH_3)_4]^{2+}\),\([Cu(NH_3)_6]^{2+}\),\([Cu(NH_3)_2]^{2+}\),\(Cu^{2+}\)
The unpaired electron in \([Ni(CO)_4]\),0,1,2,3
The most stable complex among the following is,\(K_2[Ni(EDTA)]\),\(K_3[Al(C_2O_4)_3]\),\([Pt(en)_2]Cl_2\),\([Ag(NH_3)_2]Cl\)
In\([Cr(C_2O_4)_3]^{3-}\)the isomerism shown is,Optical,Ligand,Geometrical,Ionization
The reagent commonly used to determine hardness of water titrimetrically is,Disodium salt of EDTA,Oxalic acid,Sodium citrate,Sodium thiosulphate
The complex used as an anti-cancer agent is,Cis-\([PtCl_2(NH_3)_2]\),Mer\([Co(NH_3)_3Cl_3]\),Cis-\(K_2[PtCl_2Br_2]\),\(Na_2CoCl_4\)
The ligand called π-acid is,CO,\(NH_3\),\(C_2O_4^{2-}\),Ethylenediamine
The ligands is anticancer drug cis-platin are,"\(NH_3,Cl\)","\(NH_3,H_2O\)","\(Cl_2,H_2O\)","No,Cl"
Which of the following is an organometallic compound?,Methyl lithium,Lithium methoxide,Lithium acetate,Lithium dimethylamide
