question,answer,wrong1,wrong2,wrong3
"Mutual inductance of two coils is 5mH. The current changes from 3A to 2A in 0.01sec, then the emf produced is",0.5V,1V,5V,50V
Eddy current is produced in,non uniform magnetic field,heated magnetic field,uniform magnetic field,change in electric field
"An iron is placed horizontally , what will be the acceleration of falling magnet",less than g,greater than g,equal to g,less or greater than g
The core of transformer is made up to:,soft iron,steel,nickel,invar
"Two coils are at fixed locations. When coil 1 has no current in coil 2 increases at the 15.0A/s, the emf in coil 1 is 25mV, when coil 2 has no current and coil 1 has a current of 3.6 A, the flux linkage in coil 2 is?",6.00mWb,16 mWb,10 mWb,4.00 mWb
"In a dynamo, voltage is 6V current 0.5A . What is the power generated?",3,12,1.5,5
"A uniform metal disc of radius R lies in XY- plane and rotates with uniform angular velocity ω about the Z-axis. If a constant field is parallel to the Z-axis, the total induced EMF between the center and the rim of the disc is equal to:",1/2 ωBR²,ωBR,1/2 ωBR,1/2 ωB²R
A transformer is designed to work from 220 volts AC mains to gice a supply at 11 volts AC to run a device. The primary coil has 480 turns . The number of turns in the secondary coil should be,24,480,240,9600
A straight conducting rod of length 0.4 m is moving perpendicular to magnetic flux density of 0.9W/m² with a speed of 7m/s. The emf developed in the rod is :,2.52V,25.4 V,5.62 V,1.36V
Which of the following has zero average value in electromagnetic field?,magnetic force,magnetic field,electric force,electric field
A coil of metal wire is kept stationary in a non uniform magnetic field,An emf and current both are induced in the coil,An emf but not the current is induced in the coil,Current but not emf is induced in the coil,Neither emf nor current is induced in the coil
"When a motor car starts, the brightness of bulb is decreased then after some time its brightness increases due to :",increases in back emf,reduced in back emf,armature current is maximum,none
Lenz's law is a consequence of the law of conservation of,energy,charge,momentum,mass
Two parallel conductors carrying current in same direction,attract each other,repel each other,neither repeal nor attract,can attract or repeal each other
An electron enters a field of 1 Tesla with a velocity of 1000m/s parallel the field. The force experienced by it is,0,1.6*10^-16,9.31*10^-28,1.6N
A freely falling magnet passes length wise through a horizontal circular coil of conductor.The correct expression relating the accleration of the falling magnet a and the accleration due to gravity(g) is,a<g,a>g,a=g,can't be said from the given data
Laminated cores are used in a transformer in order to:,reduce eddy current,increase electric flux,use the transformer as a rectifier,use the transformer in A.C
"If the flux associated with a coil varies at the rate of 1 Weber per minute, the induced emf is",1/60V,1V,Zero,60 V
Transformer is a device to,Transform AC voltage,convert mechanical energy to electrical energy,convert AC to DC,convert DC to AC
"A rectangular loop carrying a current ""i"" is situated near a long straight wire such that the wire is in the plane of the loop and in the plane of the loop, if steady current 'I' is established in the wire than the loop will",move away from the wire,rotate about an axis parallel to the wire,move toward the wire,remain stationary
If a wire resistance 10Ω is moving in a non uniform magnetic field in such a way that decrease in KE is 10. What is current induced in wire?,0.25A,0,4A,8A
"A rectangular loop carrying a current 'i' is situated near a long straight wire such that the wire is in the plane of the loop and in the plane of the loop, if steady current 'I' is established in the wire than the loop will",move away from the wire,rotate about an axis parallel to the wire,move towards the wire,remains stationary
The magnetic resonance imaging (MRI) is based on the phenomenon of:,nuclear magnetic resonance,electron spin resonance,electron paramagnetic resonance,diamagnetism of human tissue
"When an electron moves in the influence of magnetic field with velocity 'v' in a circle of radius 'r', given that magnetic field = B and mass of electron is m. Then r is equal to",mv/Be,me/Bv,mB/ev,mv²/Be²
A circular loop of radius 0.1m and carrying a current of 10A is placed parallel to a magnetic field of 0.1T. The torque acting on the loop is Nm is:,0.01¶,0.1¶,0.0001¶,0.001¶
The magnetic field at a point at a large distance r at the axis of a current carrying circular coil of small radius is proportional to,1/r³,r²,r³,1/r²
A circular coil is moving parallel to magnetic field then value of emf is,zero,depends upon value of magnetic field,depends upon the area of coil,depends upon vel.
The phenomenon of acquiring temporary electrification under the influence of a charged body is called,electrical induction,magnetic induction,capacitance,electrolysis
The energy per unit volume is given by,1/2ε0E²,E²/ε0,ε0E²,2ε0E²
A cylindrical bar magnet is kept along the axis of a circular coil. The magnet is rotated about its axis such that north poles faces the coil. The induced current in the coil,is zero,is clockwise ffrom magnet side,may be clockwise or anti clockwise,is anticlockwise form magnet side
"A helicopter rises vertically with a speed of 10m/s. If helicopter has length of 10m and horizontal component of earth's magnetic field is 1.5*10^-3 Wb/m², the e.m.f induced between tip of nose and tail of helicopter is",5V,0.15V,125V,130V
"A magnetic flux 5*10^-4 is passing through a coil of 1000 turns. If the emf induced through coil is 5volt, the time interval will be",0.1sec,1 sec,0.01sec,0.001sec
"A coil of cross sectional are 10²cm² is placed in the magnetic field, which changes to 4*10^-2 Wb/cm² within 5 sec. What will be current across 5Ω resistance?",0.16A,0.016A,1.6A,16.0A
A coil having 500 square loops each of side 10cm is placed normal to a magnetic field which increases at the rate of 1Wb/m². The induced emf is,5.0V,0.1V,0.5V,1.0V
"A coil of area 100cm² having 50 turns is perpendicular to a magnetic field of intensity 0.02weber/m².The resistance of the coil is 2 ohm. If it is removed in 1 sec from the magnetic field, the induced charge produced is",0.005C,5C,0.5C,0.05C
The current passing through a choke coil of 5H is decreasing at the rate of 2As^-1 The emf developed across the coil is,+10V,-10V,2.5V,-2.5V
"A coil of mean area 500cm² and having 1000 turns is held perpendicular to a uniform field of 0.4 gauss. The coil is turned through 180° in1/10 second, the induced emf is",0.04V,4V,0.4V,4*10³V
"A circular coil and a bar magnet placed nearby are made to move in the same direction.lf the coil covers a distance of 1m in 0.5 sec and the magnet a distance of 2m in 1 sec , the induced emf produced in the coil is",zero,0.5V,1V,2V
Two solenoids of same cross-sectional area having their lengths and number of turns in ratio of 1:2 The ratio of self inductance of two solenoids is,1:2,1:1,2:1,1:4
