question,answer,wrong1,wrong2,wrong3
Which of the folllowing animal is a mollusa?,Cuttle fish,Silver fish,Flying fish,Star fish
Which of the following is a cephalopod?,Cuttle fish,Starfish,Silver fish,Crsy fish
"In molluscs, blastopore gives rise to",Mouth,Anus,Both,None
A cephalopod without a shell is,Octopus,Pila,Sepia,Unio
Torsion is the characteristics in pila belonging to class,Gastropoda,Scaphopoda,Scuphopoda,Amphineura
The phylum name 'Mollusca' means,Soft bodied animals,Shelld animals,Aquatic animals,Mantle bearers
Doris is commonly known as,Sea lemon,Sea pen,Sea mussel,Sea arrow
Which one of the following classes has the maximum economic importance?,Pelecypoda,Myriapoda,Gastropoda,Cephalopoda
Many molluscans have a water-testing organ present in the mantle cavity. This is called,Osphradium,Statocyst,Tetaculocyst,Amphid
A devilfish has,Eight arms,Two arms,Four arms,No arms
Ink gland is found in:,Cuttle fish,Octopus,Oyster,Hydra
Which of the follwoing belongs to mollusca?,Cuttle fish,Gold fish,Silver fish,Starfish
Pila belongs to,Mollusca,Arthropoda,Coelenterata,Porifera
Of the following which one is not a deuterostome?,Pila,Asterias,Scoliodon,Balanoglossus
Which of the following is absent in Mollusca,Pedicellaria,Heart,Ctenidia,mantle
