question,answer,wrong1,wrong2,wrong3
Vascular cryptogam and botanical snakes of plant kingdom are:,Pteridoohytes,Gymnosperms,Angiosperms,Bryophytes
Sex organs in pteridophytes are embedded in:,Gametophytic tissue on ventral side,Gametophytic tissue on dorsal side,Sporophytic tissue in ventral side,Sporophytic tissue of sporophyll
One character common to all pteridophytes is:,Absence of ovules,Heterospory,Leptosporangiate sporangia,Protostellic stele
"The stem and petiole are covered with numerous scale like structures, which are called:",Ramenta,Hairs,Trichome,Paraphysis
Which of the following is 'Age of Pteridophytes'?,Palaeozoic,Mesozoic,Proterozoic,Coenozoic
Leaves of ferns are usually:,Macrophyllus,Microphyllus,Sporophylls,Megasporophylls
Secondary growth in Pteridophytes is:,Absent except isoetes,Absent,Absent except selaginella,Present everywhere
Structure that produces gametes in prothallus are:,Antehridia and archegonia,Ascogonium and anthers,Anthers and archegonia,None
Sporangia bearing leaf is called:,Sporophyll,Ramentum,Indusium,Sorus
Which of the following does not have a certain pith?,Protostele,Solenostele,Siphonostele,Dictyostele
Sex organs in Pteridophytes are:,Multicellular and jacketed,Unicellular and jacketed,Multicellular and non-jacketed,Unicellular and non-jacketed
Pteridophytes in which sporangium develops from a single initial cell of sporophyll is called:,Leptosporangiate,Eusporangiate,Unisporangiate,Heterosporangiate
Sori are covered with a Multicellular structure called:,Indusium,Protonema,Ramenta,Rhizoid
The prothallus of dryopteris is:,Monoecious and autocious,Diocious,Monoecious and dioecious,None
"In Pteridophytes, reduction division occurs when:",Spores are formed,Prothallus is formed,Sex organs are formed,Gametes are formed
Horse tail is:,Equisetum,Lycopodium,Isoetes,Adiantum
In fern the antherozoids are:,Spirally coiled and multiflagellated,Biflagellated,Uniflagellated,Non-flagellated
Tree fern (tallest Pteridophytes) is:,Cyathaea,Marsillea,Dryopteris,None
A number of short stalked sporangia attached to placenta and covered by indusium is called:,Sorus,Microsporangium,Megasporangium,Cone
Heterospory is the production of:,Large and small pores,Sexual and asexual spores,Haploid and diploid spores,Haploid and tetraploid spores
The capsule of fern sporangium bursts at a place called:,Stomium,Annulus,Placenta,Ramenta
The neck of fern archegonium is:,Short ans curved,Long and straight,Long and curved,Short and straight
Prothallus of fern produces:,Gametes,Spores,Both a and b,None
The annulus of sporangium of fern assist in the dispersal of spores by:,Losing water from its cell,Collapsing in the strong wind,Absorbing moisture from air,​​​​Losing the air of its cells
"Which of the following is called ""resurrection plant""?",Selaginella,Lycopodium,Pellia,Equisetum
The annulus of sporangium of fern assist in the dispersal of spores by:,Losing water from its cell,Collapsing in the strong wind,Absorbing moisture from air,Losing the air of its cells
Stele of Rhynia is:,Meristele,Haplostele,Dictyostele,Solanostele
Azolla belongs to:,Water fern,Bryophytes,Algae,Fungus
The most primitive type of stele found in species of Lycopodium is:,Protostele,Eustele,Actatostele,Siphonostele
Which of the following is called 'walking fern'?,Adiantum,Ophioglossum,Pteris,Pteridium
The rhizophore of selaginella has:,Monarch stele,Diarch stele,Priarch stele,Tetrach stele
Formation of fern plant directly from prothallus is called:,Apogamy,Parthenocarpy,Apospory,Parthenogenesis
Heterospory and ligulate leaves are features of:,Selaginella,Ferns,All bryophytes,All Pteridophytes
Which of the following is a fossil?,Rhynia,P. silotum,Selaginella,Pteris
The number of megaspores in selaginella rupestris is:,Two,One,Three,Four
Fern prothallus is:,Homothallic,Heteromorphic,Heterotropic,Heterothallic
Number of spores in sporangium of fern are:,64,32,16,128
Which of the following structure lies between the microsporophyll and megasporophyll of selaginella:,Ligule,Rhizophore,Ramenta,Gemina
In the archegonium of Dryopteris:,One neck canao cell with two nuclei,One neck canal cell with single nucleus,Three neck canal cell,Four neck canal cell
The antherozoids of selaginella are:,Oval and biflagellated,Elongated and biflagellated,Elongated and multiflagellated,Oval and multiflagellated
Pteridophytes differ from bryophytes in having:,Independent gametophyte and sporophyte,Sprorophyte dependent in gametophyte,Gametophyte dependent on sporophyte,Absence of sporophyte
The fern rhizome is:,Stem,Root,Rhizoid,Rhizophore
Circinate vernation in ferns refer to:,Leaves are called like a spring when young,Presence of adventitious roots on rhizome,Attachment of sori on leaf surface,System of leaf gaps in the stem
"In ferns, the xylem is:",Mesarch,Exarch,Endarch,Polyarch
Venation in ferns is:,Open furcated,Parallel,Reticulate,Dichotomous
"In ferns, sporangia are borne on the:",Abaxial surface of leaf,Adaxial surface of leaf,Margins of leaf,Only on the tip of leaf
The nature of sorus and indusium in pteris is:,Marginal and true,Superficial and false,Marginal and false,Superficial and true
Pteridophytes differ from bryophytes in:,Independent gametophyte and sporophyte,Absence of sporophyte,Sporophyte dependent on gametophyte,Gametophyte dependent on sporophyte
Azolla is used as biofertilizer because it:,Has cyanobacteria,Has Rhizobium,Is fast growing and can form humus,Has mycorrhiza
The 13- celled male gametophyte in Selaginella is:,12-cells of antheridium + 1-prothallial cell,10-cells of antheridium + 3-prothallial cell,9-cells of antheridium + 4-prothallial cell,10-cells of antheridium + 2-prothallial cell
Protoxylem in selaginella stem is:,Mesarch,Endarch,Exarch,Monarch
Which of the following has a dominant sporophytic generation?,Dryopteris,Funaria,Spirogyra,Liverworts
Heterospory and seed habit are often discussed in relation to a structure called:,Ligule,Petiole,Spathe,Bract
The group of plants  having vascular tissue is called:,Tracheophyta,Bryophyta,Pteridophyta,Angiosperms
The botanical name of sanjeevani is:,None,Selaginella uricularia,Selaginella botardia,Selaginella crotalearia
The kidney shaped covering of sorus in Dryopteris is called:,Indusium,Placenta,Ramentum,Sporophyll
