question,answer,wrong1,wrong2,wrong3
"For the reaction \(N_2 + O_2\) ⇔ 2NO , the equilibrium constant \(K_{p}\) changes with the change in",Temperature,Total pressure,Amount of NO,Amount of \(N_2\) and \(O_2\)
"In the given reaction, which one favours the formation of product? 

\(2SO_{2} +O _2 \) ⇔ \(2SO_3\) , ΔH = -ve",Increase in pressure,Decrease in pressure,Increase in concentration of \(SO_3\),Increase in temperature
"The synthesis of ammonia from Nitrogen and hydrogen proceeds with a decrease in volume , this reaction will be favoured by",Increase in pressure,Decrease in pressure,Unaffected by pressure,Addition of ammonia
"According to Le-Chatelier's principle, which of the following shifts the reaction of Haber's process for formation of \(NH_3\) to right side?",Pressure is increased,Concentration of \(H_2\) is decreased,Temperature is increased,Pressure is decreased
Which of the following expression represents the solubility product \((K _{sp })\) of lead (II) chloride?,\([ P b^{ 2+} ][Cl^ - ]^ 2\),\([Pb^{ 2+} ]+[ 2C l^ - ]^ 2\),\([Pb^ {2- }][ 2C l^ - ]^ 2\),\([Pb^ {2+} ] [Cl^-] ^ 2/ PbCl _2\)
"At equilibrium, equilibrium constant of a reaction is not affected by",Catalyst,Temperature,Concentration of reactant,Concentration of product
"A + 2B → 2C + D . 1.1 mole of A combines with 2.2 moles of B at equilibrium condition and 0.2 moles of C is produced, then the value of equilibrium constant will be",0.001,0.002,0.003,0.004
"Le-Chateleier's principle was applicable to the following reaction, when temperature increases, reaction shifts to the right, then the reaction will be 

\(CH_{4} + O_{2} →CO_{2} + 2H_{2}\)",Endothermic,Exothermic,Adiabatic,Isothermal
Ethyl alcohol and acetic acid are mixed in equimolar proportion; equilibrium is attained when \(2 / 3 ^ {rd}\) of the acid and alcohol are consumed. The equilibrium constant of the reaction will be,4.0,0.04,0.4,40
"For the reaction \(PCl_3 (g) + Cl_2 (g) ⇔ PCI_5 (g),\) the value of \(K_c\) at 250 ⁰C is 26. Then the value of \(K_p\) at this temperature is",0.61,0.57,0.83,0.46
"'a' moles of \(N_2O_4\) confined in a volume 'V' undergoes dissociation. If 'x' moles of it dissociates at equilibrium, then the dissociation constant 'K' will be given by",\((4x ^ 2)/(a - x) V\),\((x ^ 2)/(a - 2x) ^ 2\),\((a - 2x) ^ 2/(x ^ 2)\),\((ax) ^ 2 V/(2x ^ 2)\)
"The equilibrium constant for the reaction, \(2NH _3 ⇔N_{2} + 3H_{2} .\) is 6 × \(10^4\) . The equilibrium constant for the reaction \(N _2 +3H_ 2 ⇔2NH_{3}\) will be",1.67 × \(10^{-5}\),1.12 × \(10^3\),1.67 × \(10^5\),1.51 × \(10^{-3}\)
"Equilibrium of the reaction:

\(2S0_2 + 0₂ ⇔2SO_3 \) + 45.2 Kcal

will shift to left at:",High temperature and low pressure,Low temperature and low pressure,Low temperature and high pressure,High temperature and high pressure
The value of equilibrium constant for a reaction is 1 means the reaction,Is one that yields 50% of products,Proceeds to almost completion,Is not very favorable to yield product,Does not occur
Which of the following aqueous solution will have pH less than 7.0 at 298 K?,\(FeCl_3\),\(KNO_3\),NaOH,NaCN
Theory of 'active mass' indicates that the rate of chemical reaction is directly proportional to the,conc. of reactants,equilibrium constant,properties of reactants,volume of apparatus
"In the reaction: A + B →AB, if the concentrations of A and B are doubled, the rate of reaction will",increase 4 times,increase 2 times,decrease to one-half,decrease to one-quarter
The reaction \(CaCO_3 ⇔CaO+CO_2(g)\) goes to completion in lime kiln because,\(CO_2\) escapes continuously,of the high temperature,CaO is more stable than \(CaCO_3\),CaO is not dissociated
A chemical reaction is at equilibrium when,The rate of forward and backward reactions are equal,Reactants are completely transformed into products,Formation of products is minimised,Equal amounts of reactants and products are present
"For a reversible reaction, if concentration of the reactants is doubled, the equilibrium constant will be",the same,one-fourth,halved,doubled
"In the case of gaseous homogeneous reaction, the active mass of the reactant is obtained by the expression",P/RT,PV/RT,RT/P,(n / V) RT
The number of gram molecules of a substance present in unit volume is termed as,active mass,activity,normal solution,molal solution
The active mass of 10 g of \(CaCO_3\) is,1,0.1,10,100
"If in the reaction \(N_2O_4 ⇔2NO_2\) , α is the part of \(N_2O_4\) which dissociates, then the number of molecules at equilibrium will be",(1 + α ),3,1,\((1- α)^2\)
Which of the following favours the reverse reaction in chemical equilibrium ?,Increasing the concentration of one or more of the products,Increasing the concentration of the reactant,Removal of at least one of the products at regular interval,Increasing the pressure
In which of the following reactions \(K_p > K_c\) ?,\(2SO_3(g)⇔2SO_2(g)+O_2(g)\),\(N_2(g) + 3H_2(g)⇔2NH_3(g)\),\(H_2(g) + I_2(g)⇔2HI(g)\),\(PCl_3(g)+Cl_2(g)⇔PCl_5(g)\)
"\(H_2+I_2⇔3HI\) 

In the above equilibrium system if the concentration of the reactants at 25°C is increased, the value of \(K_c\) will",remain the same,increase,decrease,depend on the nature of the reactants
"Consider the two gaseous equilibria involving \(SO_2\) and the corresponding equilibrium constants at 298 K

\(SO_2(g)+1/2O_2(g)⇔SO_3(g)\); \(K_1\) 

\(2SO_3(g)⇔2SO_2(g)+O_2(g)\); \(K_2\) 

The values of the equilibrium constants are related by",\(K_2=1/{K_1}^2\),\(K_2=K_1\),\(K_2={K_1}^2\),\(K_2=1/K_1\)
"The equilibrium constant for the reaction \(N_2+3H_2⇔2NH_3\) is K, then the equilibrium constant for the equilibrium \(NH_3⇔1/2N_2+3/2H_2\) is",1/√K,1/K,\(1/K^2\),√K
"In which of the following cases, does the reaction go farthest to completion?",\(K=10^2\),\(K=10^{-2}\),K = 10,K = 1
"When pressure is applied to the equillibrium system Ice  ⇌water,which of the following phenomenon will happen?",More water will be formed,More ice will be formed,Water will evaporate,Equillibrium will not be formed
Equilibrium constant for the reaction \(H_2+I_2⇔2HI\) is correctly given by the expression,,,,
For the reaction : \(Cu(s)+2Ag^+(aq)⇔Cu^{2+}(aq)+2Ag(s)\) the equilibrium constant \(K_c\) is given by,,,,
In the gas phase reaction: \(C_2H_4+H_2⇔C_2H_6\) the equilibrium constant can be expressed in units of,Lit \(mol^{-1}\),\(L^{-1}mol^{-1}\),\(mol^2lit^{-2}\),mol \(lit^{-1}\)
"In a chemical equilibrium \(A+B⇔C+D\) when one mole each of the two reactants are mixed, 0.6 mole each of the products are formed. The equilibrium constant calculated is",2.25,1,0.36,4/9
"One mole of \(SO_3\) was placed in a litre reaction vessel at a certain temperature. The following equilibrium was established 

\(2SO_3⇔2SO_2+O_2\) . At equilibrium, 0.6 moles of \(SO_2\) were formed. The equilibrium constant of the reaction will be",0.675,0.36,0.45,0.54
For the reaction: \(C(s)+CO_2(g)⇔ 2CO(g)\) the partial pressure of \(CO_2\) and CO are 2.0 and 4.0 atm respectively at equilibrium. The \(K_p\) for the reaction is,8.0,0.5,4.0,32.0
"K for the synthesis of HI is 50, K for dissociation of HI is",0.02,50,5,0.2
At a certain temperature \(2HI⇔H_2+I_2\) only 50% HI is dissociated at equilibrium. The equilibrium constant is,0.25,1.0,3.0,0.5
"In which one of the following gaseous equilibria, \(K_p\) is less than \(K_c\) ?",\(2SO_2+O_2⇔2SO_3\),\(N_2O_4⇔2NO_2\),\(2HI⇔H_2+I_2\),\(N_2+O_2⇔2NO\)
For which of the following reactions; \(K_p=K_c\),\(H_ 2 (g)+Cl _2 (g) ⇔2HCl(g)\),\(2NOCl(g)  ⇔2NO(g) + Cl_{2}(g)\),\(N _2 (g)+3H _2 (g) ⇔2NH_{3}(g)\),\(N_ 2 O _4 (g)  ⇔2NO_{2}(g)\)
The active mass of 64 gm of HI in a two litre flask would be,0.25,2,1,5
Which of the following is correct for the reaction \(N_2(g)+3H_2(g)⇔2NH_3(g)\),\(K_p<K_c\),\(K_p>K_c\),\(K_p=K_c\),Pressure is required to prdict the correlation
Which of the following is not affected by change of pressure ?,\(N_2+O_2⇔2NO\),\(N_2+3H_2⇔2NH_3\),\(PCl_5⇔PCl_3+Cl_2\),\(2SO+O_2⇔2SO_3\)
"For a system in equilibrium; ΔG=0 , under conditions of constant",temperature and pressure,temperature and volume,energy and volume,pressure and volume
"In the gaseous equilibrium ; \(A+2B⇔C\) + heat , the forward reaction is favoured by","High pressure, low temperature","Low pressure, high temperature","Low pressure, low temperature","High pressure, high temperature"
"According to Le Chatelier principle, an increase in the temperature of the following reaction will

\(N_2+O_2⇔2NO\) – 43200 cal",increase the yield of NO,decrease the yield of NO,not effect on the yield of NO,not help the reaction to proceed
"In the formation of nitric acid, \(N_2\) and \(O_2\)are made to combine 

\(N_2+O_2⇔2NO\) – Heat 

Which of the following conditions will favour the formation of NO?",High temperature,Low temperature,Freezing point,All are favourable
"For the gaseous reaction, \(A+B⇔2C+D+Q\) , most favoured conditions are",low temperature and low pressure,high temperature and low pressure,low temperature and high pressure,high temperature and high pressure
The oxidation of \(SO_2\) by \(O_2\) to \(SO_3\) is an exothermic reaction. The yield of \(SO_3\) will be maximum if,Temperature is reduced and pressure is increased,Temperature is increased and pressure is kept constant,Both temperature and pressure are increased,Both temperature and pressure are decreased
"For the manufacture of ammonia by the reaction: \(N_2+3H_2⇔2NH_3\) + 23Kcal , the favourable conditions are","Low temperature, high pressure and catalyst","Low temperature, low pressure and catalyst","High temperature, low pressure and catalyst","High temperature, high pressure and catalyst"
When pressure is applied to the equilibrium system \(Ice⇔Water\) ; which of the following phenomenon will happen?,More water will be formed,More ice will be formed,Water will evaporate,Equilibrium will not be formed
"The reaction \(A⇔2B\) is taking place in .a container of 2 litres. If the degree of dissociation is 0.4 , the equilibrium constant is",0.53,1.06,1.00,2
4.5 moles each of hydrogen and iodine are heated in a sealed 10 litre vessel. At equilibrium 3 moles of HI were found. The equilibrium constant for \(H_2(g)+I_2(g)⇔2HI(g)\) is,1,0.33,5,10
"If \(N _2 +3H_ 2  ⇔2NH_{3} - K ,\) and \(2N _2 +6H _2⇔ 4NH_{3} - K' \) , then K' will be",K²,√K,1/√K,1/K²
"\(S + 3/2 *O_{2} →SO_{3} + 2x\) cal 

\(SO_{2} + 1/2 O_{2} →SO_{3} + y \) cal 

Find out the heat of formation of \(SO_2\).",(2x-y),(2x+y),(x + y),(2x/y)
"In the reaction, \(A+2B⇔2C\) , if 2.0 mole of A, 3.0 mole of B and 2.0 mole of C are placed in a 2.0 litre flask and the equilibrium concentration of C is 0.5 mole/litre. The equilibrium constant\((K_c)\) for the reaction is",0.05,0.147,0.026,0.073
"240 g of urea are present in 10 litre solution, the active mass of urea will be",0.4,0.2,0.06,0.08
"\(K_p/K_c\) for the reaction

\(CO(g) + 1 /2 O _2 (g)  ⇔CO_ 2 (g)\)",1/√(RT),1,RT,\(RT^{1/2}\)
"If α is the fraction of HI dissociated at equilibrium in the reaction, \(2HI(g)→H_2(g)+I_2(g)\) , starting with 2 moles of HI, the total number of moles of reactants and products at equilibrium are",2,1 + α,2 + 2α,2 - α
A glass bulb is filled with \(NO_2\) gas and immersed in an ice bath at 0°C which becomes colourless after some time. This colourless gas will be,\(N_2O_4\),\(NO_2\),\(N_2O\),\(N_2O_5\)
"A mole of \(N_2O_4 \) contained in a volume 'V' undergoes dissociation. If 'x' moles of it dissociates at equilibrium, then equilibrium constant K will be",4x²/(a-x)V,x²/(a-2x)V,(a-2x)²/x²,(a-2x)²V/2x²
"The equilibrium constant for the reaction: 

\(2NH_3⇔N_2+3H_2\) is 6 × 10⁴ 

Then, the equilibrium constant for the reaction \(N_2+3H_2⇔2NH_3\) is",1.67 × \(10^{-5}\),1.12 × 10³,1.67 × 10⁵,1.5 × \(10^{-5}\)
"For the following equilibrium,

\(N_2O_4(g)⇔2NO_2(g)\) 

\(K_p\)is found to be equal to \(K_c\) . This is attained when",T = 12.18K,T = 1K,T = 27.3K,T = 273K
For the reaction: \(N_2O_4(g)⇔2NO_2(g)\)the degree of dissociation at equilibrium is 0.2 at 1 atmospheric pressure. The equilibrium constant \(K_p\) will be,1/6,1/2,1/4,1/8
