question,answer,wrong1,wrong2,wrong3
If a plant kept in air free of CO₂?,Stomata will open,Stomata will close,Stomata open close alternatively,Stomata will not be affected
The rate of transpiration during storm is ?,Nil,Very,High,Lowed
cells in the root having power of divison ?,Meristematic cells,Mucilage cells,Hypocotyl cells,Aerophoric cells
Rate of transpiration is affected by humidity in ?,Both,Land plants only,Water plants only,None
The pores specalized for guttation is called ?,Hydrathodes,Lenticles,Stomata,Guard cells
When a cell is fully turgid its ?,DPD=O,SP=TP,OP=O,DPD=OP
Imbibition demnostrates the process of ?,Adsorption,Absorption,Osmosis,Replusion
An ameoba survivws in a hypotomic solution that destorys a human RBC. It is due to ?,Both (a) and (b) are correct,Membrane permeability of Amoeba is 100 times less permeable to H2O than the membrane of RBC,Amoeba has water expelling contractile vacoules,Both are wrong
The process of imbibition can be noticed when ?,Rubber is dipped either,Rubber is dipped in saturated solution,Rubber is dipped in water,Rubber is dipped in dilute solution
Guttation is the manifestation of ?,Root pressure,Atmospheric pressure,Vapour pressure,Increased transpiration
Ascent of sap in plants is due to ?,Transpiration,Osmosis,Diffusion,Guttation
The cells become turgid when placed in ?,Hypotonic solution,Hypertonic solution,Isotomic solution,In air
"For plasmolysis, cell is placed in ?",Hyperthermic,Isotonic,Hypothermic,Hypotonic
Plasmolysis is caused when cell is placed in ?,Hypertonic,Hyperthermic,Hypotonic,None
Device is used to nullify the effect of gravity is called ?,None of the above,Photometer,Auxanometer,Progesses fast
Maximum amount of solute present in the phloem sap is ?,Sucrose,Potassium ions,Starch,Glucose
"In roots, tissue which helps in absorption of water of water and minerals ?",Epidermal layer,Parenchyma,Collenchyma,Sclerenchyma
Root tip is more distant than any other apical part of plant due to ?,Pressure of water vacuoles,Triploid nuclei,Thick cell wall,Small size
The lowest water potential in the xylem are in the ?,Leaves,Root hairs,Vascular cylinder of root,Tracheid's of stem
Chlorophyll contains which metal ion ?,Mg^++,Al^3+,Mn^++,Fe
A micronutrient absorbed by flagella is ?,Zinc,Phosphorous,Aluminum,Boron
K^+ exchange theory is connected with ?,Opening and closing of stomata,Photosynthesis,Transpiration,Guttation
Imbibition theory for ascent of sap was given by ?,Sachs,J.C.Base,Dixon and Jolly,Strasburg
Plants absorb water by ?,Root hair,Root cap,Zone of maturation,Zone of elongation
Opening of stomata is because of ?,Turgidity of the guard cell,Starch formation in guard cells,Presence of Co2 in atmosphere,Presence of O2 in atmosphere
Which of the following facilitates opening of stomatal aperture ?,Radial orientation of cellulose micro fibrils in cell wall of guard cells.,Decrease in turgidity of guard cell.,Longitidunal orientation of cellulose micro fibrils in cell wall of guard cells.,Conraction of outer wall of guard cells.
