question,answer,wrong1,wrong2,wrong3
Isomers of propionic acid are,HCOOC2H5 and CH3COOCH3,HCOOC2H5 and C3H7COOH,CH3COOCH3 and C3H7OH,C3H7OH and CH3COCH3
Ethoxyethane and methoxypropane are,metamers,geometrical isomers,optical isomers,functional isomers
An isomer of ethanol is,Dimethyl ether,Methanol,Diethyl ether,Ethylene glycol
Dimethyl ether and ethyl alcohol are,Functional isomers,Chain isomers,Position isomers,Metamers
2-Pentene and 1-pentene are ......... isomers,position,chain,functional,geometrical
Number of isomeric forms of C7H9N having benzene ring will be,5,7,6,4
Which of the following will show metamerism ?,CH3COC3H7,CH3-S-C2H5,CH3OCH3,CH3OC2H5
How many structural formula are possible for C5H11Cl,8,6,10,12
The number of isomers for the aromatic compounds of the formula C7H8O is,5,2,3,4
How many isomers of C5H11OH will be primary alcohols ?,4,2,3,5
The number of ether metamers represented by the formula C4H10O is,3,4,2,1
The number of possible alcoholic isomers for C4H10O are,4,2,3,5
The total number of structural isomers for the compounds of the formula C4H10O are,7,6,3,4
How many geminal dihalides with different formula are possible for C3H6CI2 ?,Two,Only one,Three,Four
The enolic form of acetone contains,"9σ-bonds, 1π-bond and 2 lone pairs","8σ-bonds, 2π-bonds and 2 lone pairs","10σ-bonds, 1π-bond and 1 lone pair","9σ-bonds, 2π-bonds and 1 lone pair"
In what respect propene and 2-butene are similar?,They are homologoues of each other,They are position isomers of each other,They have different chemical properties,None of the statement is correct
The compounds (CH3)3N & CH3CH2CH2NH2 represent,Functional isomerism,Chain isomersim,Position ismoerism,All of the above
Which of the fallowing compound will show tautomerism ?,RCH2CHO,R3CNO2,(CH3)3CNO,(CH3)2NH
"In the keto-enol tautomerism of dicarbonyl compounds, the enol form is preferred in contrast to the keto form, this is due to",resonance stabilisation of the enol form,presence of carbonyl group on each side of the -CH2,presence of methylene group,rapid chemical exchange
Glucose and fructose are,functional isomers,chain isomers,position isomers,optical isomers
Number of Isomeric primary amines of molecular formula C4H11N is,4,1,2,3
The type of isomerism observed in urea molecule is,tautomerism,chain,position,geometrical
The least number of carbon atoms in alkane forming isomers is,2,1,3,4
