question,answer,wrong1,wrong2,wrong3
Green house effect is due to the presence of:,Co2 layer in the atmosphere,Ozone layer in the atmosphere,Infra red light reaching the earth,Moisture layer in the atmosphere
Which of the following is best indicator of SO2 pollution?,Lichens,Pinus,Ferns,Algae
Carbon monoxide is a major pollutant of:,Air,Water,Noise,Soil
Minamata disease was caused by:,Mercury,Lead,Cyanide,Cadmium
BOD stands for:,Biochemical oxygen demand,Chemical oxygen demand,Growing algae in large tanks,Biotic community
"In a polluted lake, the index of pollution is:",Daphnia,Frog,Artemia,None
DDT is an:,Non-biodegradable pollutant,Antibiotic,Biodegradable pollutant,None
Spraying of DDT on crops produces pollution of:,"Air, soil and water only",Air only,Air and soil only,Air and water only
The main causative factor of desertification is:,Overgrazing,Human development activities,Agriculture,Tourism
Green house effect is concerned with:,Global warming,Ozone depletion,Cultivation in kitchen garden,Increased growth of algae
Which of the following pollutant forms a toxic and stable substance in blood by combining with haemoglobin?,CO,CO2,CH4,O2
Ultraviolet radiation from sunlight causes the reaction that produces:,Ozone,CO,SO2,Fluoride
Removal of the soil by the action of wind and water is known as:,Erosion,Fossilization,Calcification,Salination
Eutrophication results in the reduction of:,Dissolved oxygen,Dissolved hydrogen,Mineral salts,None
Grazing is an example of:,Negative pollution,Gully erosion,Positive pollution,Sheet erosion
Herbicide DMCU kills weeds by:,Inhibiting CO2 uptake,Inhibiting respiration,Inhibiting cell division,Inhibiting NO3 uptake
Vulnerable species:,May become endangered,Is in danger of extinction,Is rare to be found,Is an endangered species
Ozone layer is disturbed by:,Supersonic jets,Large number of automobiles,Large number of factories,None
Major aerosol pollutant present in the jet plane emission is:,Fluorocarbon,Sulphur dioxide,Carbon tetrachloride,Carbon monoxide
Musk deer is prime habitat of:,Rara N.P,Sagarmatha N.P,Langtang N.P,Dhorpatan N.P
Red panda is found in:,Langtang N.P,Sagarmatha N.P,Rara N.P,Dhorpatan N.P
One horned rhinoceros and gharial are characteristic of:,Royal Chitwan N.P.,Royal Bardiya N.P.,Both,None
Acid rain contains:,"So2, No2",NO3,O3,CO
Which of the following is not a general pollutant of atmosphere?,CO2,SO2,SO3,Hydrocarbons
The smallest national park of Nepal is:,Rara National Park,Khaptad National Park,Langtang National Park,Royal Chitwan National Park
Air pollution is caused by:,All,Automobile exhausts,Radioactive substance,Smoke
According to 1973 act how many species of birds are endangered?,9,27,3,10
Pollution may be defined as:,Presence of undesirable or toxic materials in the environment,Removal of top soil,Conservation of energy,All
Snow leopard is:,Endangered,Rare,Extinct,Vulnerable
Major air pollutant is:,CO,CO2,N2,Sulphur
Endangered species according to 1973 act of government of Nepal is:,Swamp deer,Red deer,Spotted deer,Hog deer
Which of the following serves as a source of carbon to plants?,Atmospheric CO2,CO2 of carbonate rocks,Fossil fuel,All
Rhododendron forest is found in:,Sub alpine zone,Tropical zone,Sub tropical zone,Temperate zone
Oak is mainly found in:,Temperate zone,Tropical zone,Sub tropical zone,Alpine zone
Shores robusta is found in:,Tropical zone,Subtropical zone,Temperate zone,Alpine zone
Zone of atmosphere that lies near the ground is:,Troposphere,Stratosphere,Homosphere,All
Wild life is destroyed most by:,Destruction of natural habitats,Lack of proper care,Mass scale hunting,Natural calamity
In which of the following biomes maximum number of plants and animals are found ?,Tropical rain forest,Deserts,Tundra,Temperate forest
The threatened species refers to:,All,Endangered,Vulnerable,Rare
Largest terrestrial biome is:,Taiga,Tundra,Savannah,Desert
The population of the following is at risk:,Rare,Endangered,Vulnerable,Extinct
The treeless biomes include:,All,Grassland,Tundra,Deserts
Most priority should be given to the following category of species:,Endangered,Rare,Vulnerable,Extinct
A tropical grassland with scattered trees or shrubs:,Savannah,Taiga,Tundra,None
Red data book provides data on:,Endangered plants and animals,Red eyed birds,Red flowered plants,Red colored fishes
"The biome which is characterized by broad leafed vegetation, for resistant resinous plants and drought evading plants is known as:",Chaparral,Savannah,Steppes,Deciduous forest
Sal forest is:,Deciduous forest,Temperate forest,Evergreen forest,All
What determines the limit of biome?,Altitude and latitude,Types of soil and presence of barrier,Temperate and rainfall,All
Alpine plant shows:,Xerophytism,Mesophytism,Halophytism,Commensalism
A biome is:,Sum of ecosystems in a geographical area,Sum of all ecosystem on the earth,Biotic component in a population,Biotic component in a ecosystem
Tropical rain forest has more:,Angiosperms,Gymnosperm,Both,None
Halophytes are peculiar in having:,Vivipary,Saline soil,Velamen tissue,Pneumatophores
"Avicennia, Rhizohora and Atriplex are:",Halophytes,Xerophytes,Hydrophytes,Mesophytes
Eichhornia is:,Hydrohyte,Xerophyte,Mesophyte,Parasite
A plant living for a few days is:,Ephemeral,Annual,Biennial,Perennial
Mechanical tissue is undeveloped in:,Hydrophytes,Xerophyte,Halophytes,Mesophytes
Desert plant tolerate water stressbby forming:,Leaf like stem modification,Deep roots,No stomata,Stipular spines
Organisms found at the bottom of the seas are:,Lenthos,Planktons,Nektons,Phytons
The more abundant animals in a desert grassland are:,Fossorial,Arboreal,Diurnal,Aquatic
Ecosystem represented by a pond is said to be:,Lentic,Lotic,Xeric,Benthic
Ephemerals are:,Drought escaping,Drought resisting,Drought enduring,All
The tiny free swimming animals on the surface of water constitute:,Zooplankton,Phytoplankton,Symbionts,Benthos
