question,answer,wrong1,wrong2,wrong3
Which one of the following is most abundant in the earth Crust?,Al,B,In,Ga
Melting point is highest for,B,Al,Ga,In
Which of the following is the smallest cation?,\(Al^{3+}\),\(Na^+\),\(Ca^{2+}\),\(Mg^{2+}\)
Which of the following minerals does not contain Al?,Fluorspar,Cryolite,Mica,Feldspar
The chief ore of aluminium is,Bauxite,Alunite,Cryolite,Felspar
The chemical composition of cryolite mineral is,\(Na_3AlF_6\),\(Al_2O_3\),\(Al_2O_3.12H_2O\),\(KAlSi_3O_8\)
Corundum is an ore of,Zn,Cu,Al,Mg
Aluminium is extracted by the electrolysis of,Alumina,Bauxite,Alumina mixed with molten cryolite,Molten cryolite
A layer of coke is spread over bauxite during extraction of aluminium. This acts as,Insulation and does not allow heat to escape,Flux,Slag to remove impurities,Reducing agent
Aluminium is obtained by,Electrolysing \(Al_2O_3\) dissolved in \(Na_3AlF_6\),Reducing \(Al_2O_3\) with coke,"Reducing \(Al_2O_3\), with chromium",Heating alumina and cryolite
"In the electrolysis of alumina, cryolite is added to",Increase the electrical conductivity,Increase the melting point of alumina,Minimise the anodic effect,Remove impurities from alumina
Electrolytic reduction of alumina to aluminium by Hall-Heroult process is carried out,In the presence of cryolite which forms a melt with lower melting temerature,In the presence of NaCI,In the presence of fluorite,In the presence of cryolite which forms a melt with high melting temperature.
The function of fluorspar in the electrolytic reduction of alumina dissolved in fused cryolite \((Na_2AlF_6)\),To lower the temperature of the melt and to make the fused mixture very conducting.,As a catalyst,To decrease the rate of oxidation of carbon at the anode,None of the above
Which metal is extracted only by electrolytic reduction ?,Al,Ag,Cu,Fe
Aluminium metal is refined by,Hoop's process,Serpeck's process,Baeyer's process,Hall's process
Aluminium becomes passive in,All,Conc.\(HNO_3\),\(H_2CrO_4\),\(HClO_4\)
Which metal is protected by a layer of its own oxide ?,Aluminium,Silver,Gold,Iron
Aluminium is more reactive than iron. But aluminium is less easily corroded than iron because,Oxygen forms a protective oxide layer,Aluminium is a noble metal,Iron undergoes reaction easily with water,Iron forms mono and divalent ions
Which of the following process does not involve a catalyst?,Thermite process,Haber's process,Ostwald preess,Contact process
Thermite is a mixture of,1 part of powdered Al and 3 parts of \(Fe_2O_3\),3 pars of powdered Al and 1 part of\(Fe_2O_3\),1 part of powdered Al and 1 part of \(Fe_2O_3\),2 parts of powdered Al and 1 part of \(Fe_2O_3\)
In thermite process which of the following is used as a reducing agent?,Al,Fe,Mg,C
In thermite welding process we use,Al powder,Fe powder,Ca powder,Al+Fe mixture
Which of the following bases will react with alkalies?,\(Al_2O_3\),\(CU_2O\),CuO,MgO
Aluminium oxide is not reduced by chemical reactions since,Aluminium oxide is highly stable,Aluminium oxide is reactive,Reducing agents contaminate,The process pollutes the environment
Substance soluble in NaOH is,\(Al(OH)_3\),\(Ba(OH)_2\),\(Cu(OH)_2\),\(Fe(OH)_2\)
Anhydrous \(AlCl_3\)fumes in moist air because of,Hydrolysis,Dehydration,Hydration,Oxidation
Aluminium (III) chloride forms a dimer because,Higher coordination number can be achieved by aluminium,Aluminium has high ionization energy,It cannot form a trimer,Aluminium belongs to third group
Which of the following does not form alum?,\(Li^+\),\(Na^+\),\(K^+\),\(NH_4^+\)
Aqueous solution of potash alum is,Acidic,Alkaline,Neutral,Not defined
Potash alum is water soluble and ionises in aqueous solution to give,Three types of ions,Only one type of ions,Two types of ions,Four types of ions
The important source of boron is,Colemanite,Calamine,Carnalite,Cryolite
\(H_3BO_3\)is,Monobasic and weak Lewis acid,Monobasic and weak Bronsted acid,Monobasic and strong Lewis acid,Tribasic and weak Bronsted acid
Which one of the following is not an electron deficient compound?,\(Al_2Cl_6\),\(BCl_3\),\(Alcl_3\),\(H_2B_6\)
Three centred bond is present in,\(B_2H_6\),\(NH_3\),\(AlCl_3\),\(BCl_3\)
The hardest compound of boron is,Boron carbide,Boron nitride,Magnesium boride,Silicon boride
Borazole is known as,inorganic benzene,organic benzene,organic compound,Inorganic compound
Chemically borax is,Sodium metaborate,Sodium orthoborate,Sodium tetraborate,Sodium tetraborate decahydrate
Borax is prepared by treating colemanite with,\(Na_2CO_3\),\(NaNO_3\),Nacl,\(NaHCO_3\)
"In the borax bead test of Co, the blue colour of bead is due to the formation of",\(Co_3O_4\),CuO,\(Co(Bo_2)_2\),\(B_2O_3\)
Borax bead test is not given by,Aluminium salts,Cobalt salts,Copper salts,Nickel salts
In diborane,2 bridged hydrogens and four terminal hydrogens are present.,4 bridged hydrogens and two terminal hydrogens are present.,3 bridged and three terminal hydrogens are present.,None of the above
"In diborane, banana bond is formed between","2 electrons, 3 atoms","2 electrons, 1 atom","2 electrons, 2 atom","1 electron, 2 atoms."
Which one is a Lewis acid?,\(AlCl_3\),\(Pcl_3\),\(NCl_3\),\(AsCl_3\)
Which of the following is the strongest Lewis acid?,\(BI_3\),\(BBr_3\),\(BCl_3\),\(BF_3\)
"Aluminium is most abundant in earth crust, yet it is obtained from bauxite because",Bauxite is available in large quantity,Of extraction of aluminium from it,Bauxite contains maximum aluminium,Bauxite is less impure
"Anhydrous \(AlCl_3\), is prepared from",Dry HCl gas + heated aluminium,conc. HCl and aluminium metal,Aluminium and \(Cl_2\),dil. HCl and aluminium metal
The gas obtained by heating potassium ferrocyanide with conc. \(H_2SO_4\)is,Carbon monoxide,Ammonia,Carbon dioxide,Sulphur dioxide
Freon is,\(CF_2Cl_2\),\(CH_2Cl_2\),\(CFCl_3\),\(CHCl_3\)
