question,answer,wrong1,wrong2,wrong3
Heat required to convert 1 gm of ice at 0°C to steam of 100°C:,716 cal,0.1 k cal,1000 cal,750 cal
Water is used as coolant due to:,High specific heat,Low specific heat,Universal solvent,Anomalous expansion
As compared to a person with white skin another person with dark skin will experience,More heat and more cold.,Less heat and more cold,More heat and less cold.,Less heat and less cold.
When ice cube is placed in table and if it melts then which is correct,The P. E of ice molecules increases.,The K. E of ice molecules decreases.,The P. E of ice molecules decreases.,The energy of ice molecules doesn't change.
A body of mass 100 gm was given a heat of 420 J. Find the raise in temperature? specific heat capacity of a body = 420 J/kg K),10K,1° C,1 K,10°C
A 10 kg iron bar (specific heat 0.11 cal/ gm°C) at 80°C is placed on a block of ice (latent heat of fusion = 80 cal/gm). How much ice melts.,1.1 kg,10 kg,16 kg,60 kg
Amount of heat required to change the mass of water 2kg from 20°C to 40°C,168 KJ,120KJ,142 KJ,200KJ
The relative humidity is 100% then the room temperature is equal to;,dew point,4°C,0°C,100°C
Final temperature of the mixture of 0.5 kg ice at 0°C and 0.5 kg of water at 75°C will be,0°C,5°C,10°C,15°C
The temperature at which the water vapour in the atmosphere is saturated is,Dew point,critical temperature,Both,None
The door of a running refrigerator is opened. Which of the following is true?,The temperature of the room will increases gradually.,The temperature of the room will decrease.,The temperature of the room will increase to that of refrigerator.,None.
Steam at 100°C is poured to the water of mass 1.1 kg water kept in a calorimeter of water equivalent 0.02 kg at 15°C. What is the mass of steam condensed if final temp the temperature rises to 80°C is,0.130 kg,0.243 g,0.340 gm,0.135 gm
"Three liquids A, B and C are at a temperature 10°C, 25°C and 40°C. When A and B is mixed the final temperature of mixture is 15°C. When B and C is mixed final temperature is 30°C. Final out the final temperature of mixture. When A and C is mixed?",16 ° C,12° C,8° C,4° C
The amount of heat required to convert 1 of ice at -100°C to steam at 100°C is,766 cal,676 cal,736 cal,540 cal
The liquids of same volume have densities in the ratio 1:3 and specific heat in the ratio 3:1. The ratio of their heat capacities will be:,1:1,1:9,9:1,1:3
At what condition the following substance will expand on heating and cooling,Water at 4°C,Water at 0°C,Ice at 0°C,Semiconductor
A 5 kg mass requires 80 Joule heat to raise its temperature by 10K. Its specific Cheat capacity in JKg1 K-1 is,1.6,8,40,3.2
The density of ice is:,Less than that of water..,More than that of water.,Equal to that of water,3 times that of water.
"In a particular day, the relative humidity is 100% and the room temperature is 30°C then dew point",30°C,0°C,70°C,100°C
50 gm of ice at 0°C mixed with 50 water at 80°C. The final temperature of the mixture will be,0° C,40° C,50° C,80° C
A 10kg iron bar (specific heat 0.11 cal/gm°C) at 80°C is placed on a block of ice (latent heat of fusion 80 cal/gm). How much ice melts?,1.1kg,10kg,16kg,60kg
The amount of heat required to convert 1 gm of ice at -100°C to steam at 100°C is,766 cal,696 cal,716 cal,736 cal
Melting point of ice,Decrease with the increase of pressure,Decrease with decrease of pressure,. Increase with the increase of pressure,Is independent of pressure
"10 gm of ice at -10°C is converted into steam at 100°C the amount of heat
required in calories is",7250,725,350,3000
Heat required to convert 1 gm of ice at 0°C into steam at 100°C is,716 cal,100 cal,0.01 kcal,1 kilo cal
The amount of heat required to melt 1 gm of ice without change in temperature is:,80  cal,80 K cal,740  cal,740 K cal
The latent heat of fusion of ice is 80 cal/ gm. The specific heat capacity of ice is 0.5 cal/gm °C. Find the energy required to changes 1-Kg ice from -10°C to 50°C,135 Kcal,155 Kcal,120 Kcal,180 Kcal
