question,answer,wrong1,wrong2,wrong3
Jerry went 64 km east and turn left and moved 48 km. Which direction and how far he is from the starting point ?,"NW, 80KM","SE, 60KM","NE, 80KM","SW, 90KM"
If Smriti walks 7m straight towards East and walk in a circular path. Now her distance from the initial point will be,7m,14m,21m,27m
"If A is to the south of B and C is to the East B, in what direction Is A with respect to C:",South-west,North-East,North-West,South-East
Ankita walks 20m North. Then she turn right and walks 30m. Then she turns right and walks 35m. Then she turns left and walks 15m. Then she again turns left and walks 15m. In which direction and how many meters always is she from her original position?,45 m east,15 m west,30 m east,30 m west
"Vten went 15kms to west from my house, then turned left and walked 20kms. He then turned East and walked 25 kms and finally turning left covered 20 kms. How far was he from his house ?",10 kms,5 kms,40 kms,80 kms
"Santosh travelled from a point X straight to Y at a distance 80m. He turned right and walked 50m, then again turned right and walked 70m. Finally, he turned right and walked 50 m. How far is he from the starting point?",10 m,20 m,50 m,70 m
"Kapil walks 1 km towards East and he turns to south and walks 5 km. Again be turns to East and walks 2 km, after this he turns to North was walked 9 km. How far is he from starting point?",5 km,3 km,4 km,7 km
A women cycles from Butwal to Neyamil at 18 km/hr and returns back from Nayamil to Butwal at 12 km/hr. Find her average speed over the whole journey.,14.4 km/hr,15.4 km/hr,16.2 km/hr,10 km/hr
"Amar walked 30 meters towards East. Work a right turn and walked 40 meters, and then he took a left turn and walked 30 meters. In which direction is he now from the starting point",S-E,N-E,East,West
"Susmita leaves from her home. She first walked 30 m in North-West direction and then 30 m in South-West direction. Next, she walks 30 m in South-East direction. Finally, she turns towards her house. In which direction she is moving?",North-East,North-West,South-East,None
Sachin walks 20 km towards North. He turns left and walks 40 Km. He again turns left and walks 20 m. Finally he moves 20 km after turning to the left. How far is he from his starting position?,20 km,30 km,40 km,50 km
"If South-East becomes North, North-East becomes West and so on. What will west become?",South-East,North-West,North-East,South-West
"Kishen walks 10 km towards North. From there, he walks 6km towards South. Then, he walks 3 km towards East. How far and in which direction is he with reference to his starting point?",5 Km North,5 Km NE,5 Km NW,5 Km SE
A man is facing west. He turns 45° in the clockwise direction and then 180° in the same direction and then 270° in the anticlockwise direction. Which direction is he facing now?,SW,South,NW,West
"One morning after Sunrise, Rajani and Karishma were talking to each other face to face at New-Baneshwor. If Karishma shadows was exactly to the right of Rajani, which direction Karishmwa was facing?",North,South,East,Inadequate
"One evening before sunset two friends Suman and Mohan were talking to each other face to face. If Mohan;s shadow was exactly to his right side, which direction was Suman facing?",South,North,East,Data inadequate
"South-East is called East, North-West is called West, South-West is called South and sonm what wil North be called?",North-West,East,North-East,South
"A watch reads 4.30. If the minute hands points East, in what direction will the hour hand point:",North-East,North,North-West,South-East
