question,answer,wrong1,wrong2,wrong3
An electric cable of copper has just one wire of radius 9mm.It's resistance is 5Ω. This single copper wire of cable is replaced by six different well insultated copper wires each of radius 3mm. The total resistance of the cable now be equal to,7.5Ω,45Ω,90Ω,270Ω
The ratio of current and charge carriers in two conductors of same cross sectional are 7/4 and 5/4 respectively then the ratio of drift velocity in two conductors will be:,7/5,5/7,4/5,7/15
6 cells of emf 6V was connected in parallel combination. What was equivalent emf,6V,4V,2V,8V
The resistance of wire of length 'L' and diameter d is RΩ.The wire is stretched to reduce its diameter to 1/3. The ratio of final resistance to original resistance will be:,81:1,3:1,9:1,1:81
If a wire of resistance R is stretched n times then resistance becomes,n²R,n²/R,R/n²,nR
A coil when connected with 200V mains dissipates 400 watts. The resistance of the coil is ..... ohm.,100,10,0.5,2
The resistance of a conductor is 15Ω at 60°C and 20Ω at 100°C. The resistance at 40°C is,12.5Ω,1.5Ω,4.5Ω,17.5Ω
A wire of length 10cm is stretched to 20 cm. The resistance of the stretched wire changes to:,4 times that of original wire,2 times that of original wire,0.5 times that of original wire,0.25 times that of original wire
The resistance of a conductor is 10Ω at 60°C and 15Ω at 100°C. The resistance at 0°C is,2.5Ω,1.5Ω,5.4Ω,7.51Ω
The terminal potentital difference of a circuit having a cell of emf 6 volt with its internal resistance 2Ω and external resistance 8Ω will be,4.8V,2.8V,3.8V,1.8V
"A wire of resistance 2Ω is stretched 1.5 times, the resistance of stretched wire becomes",4.5Ω,1.5Ω,3.5Ω,6Ω
"The terminal potential difference of a circuit having 9V cell, 2Ω internal resistance and 10Ω external resistance is,",7.5V,9V,6V,5.5V
"A wire of resistance 2Ω is stretched 2 times,the resistance will be?",8Ω,2Ω,4Ω,6Ω
A metal wire of length L and uniform cross-sectional area A resistance of 100Ω. The wire is stretched and L increases by 5%. The volume of the wire remains constant. What is the resistance of the stretched wire?,110Ω,95Ω,100Ω,105Ω
Which statement about dry cell is not correct?,When a cell becomes 'discharged' it has used up its store of electric charge.,A 6V cell transfers 6J of energy to every coulomb of charge passing through it.,Conventional current flows through a cell from its negative terminal to its positive terminal,"Inside a cell, chemical energy is used to do work on electric charges"
In metals conduction of electricity is due to,free electrons,bound electrons,ions,atoms
For two conductors if the ratio of no. of electron density is 5/3 and the ratio of currrent density is 3/5 then what is the ratio of drift velocity in the conductors,9:25,1:1,1:2,3:2
"There are 8 equal resistors (R) in a circuit. Four groups of combination of two resistors in series are connected in parallel, the total resistance of system will be:",R/2,2R,4R,8R
One type of charger for a mobile phone supplies a current of 240mA for one hour.How many electrons flow to the mobile phone?,5.4*10^21,1.5*10^18,9.0*10^19,5.4*10^24
Net charge in the current carrying conductor,zero,positive,negative,constant
"As the temperature of a metallic resistor in increase, the product of its resistivity and conductivity",remains constant,increases,decreases,may increase or decrease
If the power of a heater is 1W. 1A ampere of current is passed through is . Then find the reistance,1Ω,4.2Ω,4200Ω,0.1Ω
"A wire has resistance 1.7Ω at 20°C. If the temperature coefficient of a resistance wire is 0.0093°C, then its resistance at 100°C will be",2.96Ω,1.6Ω,22.6Ω,68Ω
A cell of emf X is connected across a the resistance is measured as 'R'. The potential difference across the resistance is measured as 'Y' then internal resistance of the cell should be,(X-Y)R/Y,(X-Y)R,(X-Y)/R,(X-Y)R/X
The unit of electrical conductivity is,(Ohm-meter)^-1,Ohm-m,Ohm/m,Ohm^-1 meter
"5 cell each of emf  'E' and internal resistance 'r' are connected in series, by mistake one of the cell was connected wrongly then equivalent emf and internal resistance will be","3E,5r","5E,3r","3E,3r","5E,5r"
"The radius of a conducting wire is doubled, then its specific resistance is.....",constant,double,becomes 4 times,becomes one fourth
Wheatstone measures,resistance,potential,emf,current
The quantity of electricity analogous to temperature is,potential,resistance,charge,inductance
Diameter of a Nichrome wire is reduced to half. Now the real resistance is,16 times,2 times,4 times,8 times
Two 1Ω resistors are connected in parallel. The combination is again connected in series with a 2Ω resistor. The whole arrangement is then joined to a 10V battery. The current through any one of the 1Ω resistors is,2A,1A,3A,1/2A
An electric cell has emf 2V and internal resistance 0.1Ω; the external resistance in the circuit is 3.9Ω. What is the value of the potential difference between the two ends of the shunt will be:,1.95V,2.95V,3.45V,4.5V
The e.m.f of a source doing 5J of work by 10 C charge is :,0.5V,2V,6V,4V
Flow of 6.25*10^12 electrons per second in a conductor contributes to a current,1µA,1A,1mA,0.1A
"Three resisters R1,R2 and R3 ohms are connected in a parallel combination. If R1<R2<R3 the equivalent resistance will be",less than R1,equal to R2,less than R2,greater than R3
"If a copper wire is stretched to make it 0.1% longer, the percentage change its resistance will be",0.2%,1.2%,32%,0.1%
A wire of resistance 16Ω is bent into circular form. Then equivalent resistance between two points of any diameter is,4Ω,8Ω,32Ω,16Ω
"If two resistance of values 4.5 ohms & 5.5 ohms respectively are connected in a series & a third resistance of 10ohms is connected in parallel with both of these, the total resistance of the system will be :",5 ohms,2.5 ohms,7.5 ohms,10 ohms
The diameter of a nichrome wire is reduced to half. Now the resistance changes by:,16,2,4,8
A battery of emf 12V is connected parallel with a voltmeter.The voltmeter reads 11V. This is because of the:,small internal resistance of battery,high internal resistance of battery,internal resistance of battery comparable with resistance of voltmeter,internal resistance of battery equal to resistance of voltmeter
The relation between drift velocity & electric field to obey Ohm's law accurately is,Vd ∝ E,Vd ∝ E^-1,Vd ∝E^-1/2,Vd ∝ E^-1/4
Three equal resistors each of resistance 'R' are connected so as to form equilateral triangle. The equivalent resistance at any two corners is,2R/3,R/3,3R/2,3R
The resistance of two wires connected in parallel is 3.43Ω while the resistance of the same wires connected in series is 14Ω. The resistances are:,6 and 8,5 and 6,6 and 7,7 and 8
The equivalent circle of network of three 4Ω resistant cannot be:,3Ω,1.33Ω,6Ω,12Ω
"A meter of internal resistance R can measure a max. vol. of 10mV for it to measure a max of 10V, we have to :",put an external resistance very large than R in series,put an external resistance very small than R in series,put an external resistance very large than R in parallel,put an external resistance very small than R in parallel
Two resistors are joined in parallel whose resultant is 6/5Ω. One of the resistance wire is broken and the effective resistance is 2Ω. The resistance of the wire that got broken was,3Ω,3/5Ω,6/15Ω,2Ω
"A battery of emf E and internal resistance r is used in a circuit with a variable external resistance R. Then the value of R for which the power consumed  in R is maximum,",R = r,R =r/2,R =2r,R = 4r
Potentiometer is a device based on the principal that potential difference across the potentiometer wire is :,directly proportional to the length of the wire,independent of the length of the wire,dependent on the voltage provided by the driving cell,dependent on the sensitivity of the galvanometer
"There are two wires A and B. The radius of B is one fourth of A, then ratio of resistance of B to A  if both are of same material and have same mass is",1:256,1:2,1:4,1:16
Which of the following quantities does not change when a resistor connected to a battery is heated due to current?,number of free electrons,drift speed,resistivity,resistance
