question,answer,wrong1,wrong2,wrong3
The ratio of radius of gyration of a solid sphere of mass M and radius R about it's own axis to the radius of gyration of the thin hollow sphere of same mass and radius about it's axis is,3:5,5:3,2:5,5:2
The ratio of the radius of gyration of a thin uniform disc about an axis passing through it's centre and normal to it's plane to the radius of gyration of the disc about it's diameter is,√2:1,2:1,4:1,1:√2
A fan makes 10 revolutions in 3 second which is just switched on. Considering uniform acceleration the number of revolution made by fan in next 3 second is,30,10,20,40
The spokes are used in bicycle wheel to,Increase momentum of inertia,Increase frictional force,Decreases frictional force,Increase angular momentum
"A ring, a dice, solid sphere, hollow sphere are dropped from the same inclined plane of Same height then which one of the following reaches the ground first",Solid sphere,Ring,Disc,Hollow sphere
The product of momentum of inertia and angular acceleration gives,Torque,Linear momentum,Angular momentum,Force
A cylinder has mass 'M' a length 'I' and Radius 'R' then M.I. about own axis is,MR²/2,MR²,MR²/4,(R²/4 + l²/12)
A circular disc of mass m and radius r is rotating about it's axis with uniform speed of v. What is it's kinetic energy,mv²/4,mv²,mv²/2,mv²/8
If there is a change of angular momentum from 2 J to 4 J in 4 sec. The the torque is,0.5 J,0.25 J,1J,2J
When torque acting upon a system is zero. Which of the following will be constant,Angular momentum,Force,Linear momentum,Linear impulse
