question,answer,wrong1,wrong2,wrong3
A yellow object on a blue background appears as,Green,White,Black,Red
Our eye is most snesitive to which colour?,Green,Red,Blue,Black
"A person use a concave lens fo his eye. If he remove his concave lens, the image is formed.",In front of retina,At retina,Behind retina,At conjunctiva
"A travelling microscope is focused on a mark. A glass slab of thickness 18 cm and refractive index 1.5 is placed in on mark. To get the mark again in focus, the microscope had to be displaced.",6 cm upward,3 cm upward,3 cm downward,6 cm downward
A person see no nearer than 1m then the focal length of lens to be used is,33.33cm,66.66cm,25cm,10cm
An astrnomical telescope has a magnifying power 10. The focal length of objective is,200 cm,2 cm,1/200 cm,0.5 cm
An object is placed at a distance 'u' from a simple microscope of focal length 'f'. The angular magnification obtained depends.,On 'f' but not on 'u',On 'f' as well as 'u',On 'u' but not on 'f',Neither on 'ff nor on 'u'
The person which cannot see near 25 cm have,Focal length cannot be decreased upto certain limit,Size of eye ball increases,Size of eyeball decreases,Distance between eye lens and retina cannot be decreases
Resolving power of the human eye is nearly,1/3420,342,1/342,3420
An old man cannot see the object nearer than 150 cm. If he wishes to see objects up to 50 cm he should put,converging lens of f = 75 cm,diverging lens of f = 150 cm,diverging lens of f = 30 cm,converging lens of f = 150 cm
Find the magnifying power of a telescope with focal length of eye piece 25 cm and that of object lens 100 cm,4,40,44,20
A person wears glasses of power -2.0D. The defect of the eye and the far point of te person without the glasses will be,"nearsighed, 50 cm",farshighed 50 cm,"nearshighed, 250 cm",astigmatism 50 cm
The magnifying power of an astronomical telescope is 5 . Th power of its eye - piece i +10D. What is the power of its objective?,+2D,+1D,-2D,+4D
The magnifying power of telescope can be increased by,by fitting eye piece of high power,by inceasing focal length of both lens,by fitting eye piece of low power,by increasing the distance of object
The magnifyiing power of an astronomical telescope is 5. The power of its eye piece is +10D. What is the power of its objective?,+2D,+1D,-2D,+4D
