question,answer,wrong1,wrong2,wrong3
The movement of dispersion medium under electric field is,Electro osmosis,Electrophoresis,Electrolysis,Dialysis
A liquid is found to scatter a beam of light but leaves no residue when passed through a filter paper the liquid can be described as,Colloidal sol,True solution,Oil,Suspension
Peptization is a process of,Dispersing the precipitate into colloidal solution,Movement of colloidal particles towards the electrode,Purifying the colloidal solution,Precipitation of colloidal particles
And emulsion is a colloidal system of,Two liquids,Two solids,One gas one solid,One gas and one liquid
Which is true about milk,Fat dispersed in water,Water dispersed in fat,Water dispersed in lactic acid,Fat dispersed in lactic acid
Smoke is an example of,Solid dispersed in gas,Gas dispersed in liquid,Guess dispersed in solid,Liquid dispersed in solid
True about colloid solution is,Show Tyndall effect,Particles have size 0.003mu,Don't show Brownian moment,Have high osmotic pressure
The migration of dispersion medium under the influence of the electric current is known as,Electro osmosis,Dialysis,Electrophoresis,Hydrolysis
Colloid have,Low osmotic pressure,High osmotic pressure,Very high osmotic pressure,No osmotic pressure
Colloidal solution is purified by,Dialysis,Electrophoresis,Coagulation,Flocculation
Dust is example of,Solid disperse in gas,Gas disperse in solid,Solid disperse in liquid,Gas dispersed in gas
Which of the following is not a colligative property,Elevation in melting point,Elevation in boiling point,Depression in freezing point,Relative lowering of vapour pressure
Which of the following equimolar solution produces maximum elevation of BP,Al2(SO4)3,C6H12O6,KNO3,C12H22O11
Which of the following solute when added in equal content will have maximum elevation in the boiling point of the solvent,BaCl2,Glucose,NaCl,All will have equal BP
Fog is an example of colloidal system of,Liquid dispersed in gas,Solid dispersed in liquid,Solid dispersed in gas,Gas dispersed in gas
Gelatin is mixed in ice cream,To prevent from crystallization,To lower freezing crystallization,To prevent from forming colloid,To give flavoured
Which of the following is milky and forms clear solution at higher temperature,Liquid crystal,Colloid,Blood,Suspension
As2S3 sol is,Negative colloid,Positive colloid,Neutral colloid,None of above
Arsenic sulphide is a negative sol. The reagent with least precipitating powder is,Glucose,AlCl3,NaCl,CaF2
Which of the following is colligative property,Osmotic pressure,Surface tension,Viscosity,Boiling point
A solution of 1 molar concentration of a solute will have maximum boiling point elevation when the solvent is,Benzene,Ethyl alcohol,Acetone,Chloroform
The minimum concentration of an electrolyte able to cause coagulation of a solution is termed as its,Flocculation value,Emulsification value,Specification value,Gold number
Which one of the following forms micelles in the aqueous solution above certain concentration,Dodecyl trimethyl ammonium chloride,Glucose,Urea,Pyridinium chloride
Milk is example of,Emulsion,Pure solution,Gel,Suspension
The component of blood which maintain osmotic pressure,Albumin,Mineral salt,Red blood cell,Blood Platelets
Which of the following is not an example of colligative property,Vapour pressure,Freezing point depression,Osmotic pressure,Boiling point elevation
Example of a solution where solvent is liquid and the solute gas,Beer,Coca-Cola,Soda water,Mineral water
Milk is,Heterogenous mixture containing particles of a diameter 1 to 100 nanometer,Homogenous solution containing solute particles of diameter less than 1nanometre,Homogenous solution containing solute particle of diameter above 100 nm,Heterogenous mixture containing particles of diameter above 100 nm
The separation of a colloidal particles from those of molecular dimension is,Dialysis,Photolysis,Pyrolysis,Peptization
Which of the following precipitate is difficult to filter,Gelatinous,Curdy,Insoluble,Crystalline
