question,answer,wrong1,wrong2,wrong3
In diode when current flows from P to N it is called,Forward biased,Reversed bias,Biassing opposite,Negative biased
A certain glass of material with a wide forbidden band between the valence and conduction bands is called,Insulator,conductor.,Semiconductor,super-conductor
Zener diode are used for,stabilization of voltage,rectification,amplification,detector
"When antimony is doped with silicon, extrinsic semiconductor obtained is",n-type,p-type,n-p-n type,p-n-p type
The silicon semiconductor formed by doping trivalent atoms will be,p-type,n-type,n-p-n type,p-n-p type
The energy gap between the conduction band  on the valence band of a certain material is 0.7eV. The material is,semiconductor,An insulator,A conductor,semimetal
"What is (voltage gain) in a common emitter amplifier, where  input resistance  is 3Ω & load resistance 24Ω;  β=0.6?",4.8,8.4,2.4,480
In npn transistor electron move from,emitter to base,base to emitter,collector to emitter,base to emitter
Voltage gain of amplifier depends on,load resistance,voltage applied,current,none
Electrical conductivity of semiconductor of this type increases with increase in temperature:,"Intrinsic,semiconductor",P-type semiconductor,N-type semiconductor,None
Which of the following is doped with silicon to form N-type semiconductor?,As,Al,Be,In
When P-N junction diode is forward biased;,decrease in barrier potential,increase in barrier potential,increase in minority carrier current,none
If the temperature of a semiconductor is lowered from T1 to T2. The resistance of semiconductor,increases,decreases,remains constant,none
To a silicon sample traces of aluminium are added as an impurity. The resultant sample would behave like:,p-type semiconductor,conductor,n-type semiconductor,insulator
"In which of the following, transistor amplifier configuration, the voltage gain is highest.",common emitter,common base,common collector,none
The current gain in a transistor is 0.98. If the change in emitter current is 5mA. The change in collector current is:,4.9mA,5.1mA,0.96mA,0.19mA
Which of the following shows forward biasing?,,,,
The silicon semiconductor formed by doping trivalent atoms will be a,p-type,n-type,n-p-n-type,p-n-p type
Which is correct for a transistor?,Collector is reverse biased and emitter is forward biased,Collector and emitter both are forward biased,Emitter is reverse biased and collector. is forward biased,Both emitter and collector are reverse biased
The energy gap between the conduction band and the valance band of a certain material is 0.7 eV. The material is,Semiconductor,An insulator,A conductor,Semimetal
"When p-n junction diode is forward biased, the width of depletion layer",decreases,increases,remains unchanged,None
The impurity atoms with which pure silicon should be doped to make on n- type semi-conductor is:,Phosphorus,Aluminum,Boron,Indium
"Silicon and silver both are cooled from 100°C to 0°C, their conductivity changes as",conductivity of silicon decreases and that of silver increases,conductivity of silicon increases,conductivity of silicon increases,both a and b
For proper use of a transistor:,Emitter & base are forward biased and base & collector are reverse biased,Both are reversed biased,Both are forward biased,We don't have proper knowledge of using transistor
A device for generating an Alternating current of a desired frequency is known as,Oscillator,Amplifier,Rectifier,Diode
A conductor & charging non-conductor when brought together,they attract each other,they repel each other,Nothing happen,charge transfer from conductor to non-conductor.
The potential barrier in the depletion player is due to,lons,Electrons,Holes,Forbidden band
In a semiconductor diode P-side is earthed and N side is applied a potential of -2 V the diode shall,Conduct,Breakdown,Conduct partially,Not conduct
Forbidden energy gap shows the order,Conductor<Semi-conductor<Insulator,Semi-conductor<conductor<Insulator,All the same,Conductor-Insulator<semi-conductor
"In a PN junction diode, when no potential is applied",holes diffuse from P to N and electrons from N to P.,a small electric field is set up.,no effect,holes only diffuse from P to N.
A transistor is essentially a:,current operating device,voltage operated device,power driven device,resistance operated device
When P-N junction diode is forward biased and then reverse biased the flow of current is mainly due to,diffusion of electrons in first case and drift velocity in the second case,drift velocity in first case and diffusion of electrons in the second case,diffusion of electrons in both cases,drift velocity in both cases
The resistivity of semi conductor depends on,atomic nature of semi conductor,atomic reactivity of semi conductor,atomic number of semi conductor,none
Which of the following is correct?,\(α= \frac{β}{1+β} \),\(α= \frac{β}{1-β} \),\(α=β+1/β\),\(α= \frac{1-β}{β} \)
A  N-P-N transistor in a common emitter circuit has,Valid Kirchoff's laws,a low transfer ratio,a low AC current gain,leakage of current independent of temperature
The drift current in a PN junction diode is,from n side to p side,from the n side to the p side if the junction is the forward biased,from the n side to the Р side if the junction is the reverse biased,"from p side to n side,"
Comparison of conductivity of Ge and Cu when temperature falls from 25°C to 80 K,conductivity of Ge decreases and Cu increases,conductivity of Ge increase and Cu decrease,conductivity of both increase,conductivity of both decreases
