question,answer,wrong1,wrong2,wrong3
"Who is known as the ""Father of Chemistry""?",Lavoisier,Faraday,Priestley,Rutherford
The main source of most of the organic compounds is,Both,Coal tar,Petroleum,None
Organic compounds are very large in number. This is due to,"Special property of carbon , known as catenation",Small size of carbon,Valency of carbon,All of the above
There are huge number of organic compounds in existence. This is due to,Both (b) and (c),Tetracovalency of C atom,Catenation property of carbon,Isomerism exhibited by C-compounds
Which of the following is not true about homologous series?,Members of a group have same chemical and physical properties,Adjacent members of group differ by one - CH₂ group,Adjacent members of group differ by a mass of 14 amu,Members of a group can be prepared by same general methods
Which alkane would have only the primary and tertiary carbon?,"2, 3 - Dimethylbutane",Pentane,2 - Methylbutane,"2 , 2 - Dimethylpropane"
Which of the following belongs to a homologous series?,"Chloroethane, 2-chloropropane, 1-chlorobutane","Propane, Propene, Propyne","Methanol, Ethanol, Ethanoic acid","Butane, 2-methylpropane, 2, 3-dimethylpropane"
Hybridization of tertiary carbon atom in isobutane is,sp³,sp,sp²,sp³d
The number of σ and π bonds in ethene is,"5σ , 1π",6σ,"3σ , 3π","4σ , 2π"
Which one among the following has sp-hybridized carbon in its structure,CH₂=C=CH₂,CH₂=CCI-CH=CH₂,CCl₂=CCl₂,CH₂=CH-CH=CH₂
"In benzene, overlapping between carbon atom is",sp²-sp²,sp³-sp³,sp²-sp³,sp-sp
Tetracovalency in C atom is explained by,Both (a) and (c),Excited state of C atom,Ground state of C atom,Hybridized state of C atom
The shape of π-cloud in benzene is,Doughnut,Planar,Cylindrical,Linear
The bond angle is benzene around any C atom is,120°,109°28',180°,39°
How many 120° bond angles are there in benzene molecule?,18,6,12,24
The C-C and C-H distance is shortest in,Alkyne,Alkane,Alkene,Alkanol
What hybrid orbitals will form CH3-CH=CH-CH2-CH3 ?,sp² and sp³,sp and sp³,sp and sp²,sp³ only
Number of o-bonds in CH2=CH-CH=CH-C≡CH,11,2,4,5
Which of the following forces is strongest among the following?,H-bonding,Dipole-Dipole forces,Van der Waal's forces,All equal
NH4CNO→NH2CONH2. This reaction is,Rearrangement reaction,Elimination reaction,Sublimation reaction,Condensation reaction
Aromatic compounds mostly show,Electrophilic substitution reaction,Electrophilic addition reaction,Nueleophilic addition reaction,Nucleophilic substitution reaction
If two compounds have the same empirical formula but different molecular formula they must have,Different molecular weight,Different percentage composition,Same viscosity,Same vapour density
Kerosene is the mixture of,Alkanes,Aromatic compound,Aliphatic acids,Alcohols
The discovery that shook the belief in the vital force theory was,Wohler's synthesis of urea from ammonium cyanate,Stereoisomerism,Synthesis of indigo,Fermentation of sugars
Hybridization present in propene is,sp² and sp³,sp only,sp² only,sp and sp²
Compound in which C uses sp³ hybridization is,(CH3)3COH,HCOOH,(CH3)2CO,CH3CHO
The first noble prize in chemistry was awarded to,Rutherford,Pasteur,Vant Hoff,Madam Curie
No of σ bond in But-1-en-3-yne,7,6,5,9
"What is the hybridization of middle carbon

CH₂=C=CH₂",sp,sp³,sp²,sp³d
Which hybridization has highest percentage s-character?,sp,sp³,sp²,None
"The hybridization present in C2H2 , is",sp,sp²,sp³,sp³d²
"The hybridization of carbon atoms in C4 single bond of

HC≡C-CH=CH₂",sp-sp²,sp³-sp³,sp²-sp³,sp³-sp
The compound in which carbon uses only its sp hybrid orbitals for bond formation is,CH3CH2OH,CH3COOH,CH3CONH2,CH3CH=CH2
"In the compounds given below, which has more than one kind of hybridization (sp, sp², sp³) for carbon.",CH3CH=CHCH3,CH3CH2CH2CH3,CH2=C=CH-CH3,HC≡CH
Which of the following has a bond formed by overlapping of sp-sp3 hybrid orbitals,CH3C≡CH,CH3CH=CHCH3,CH2=CHCH=CH2,HC≡CH
Select the molecule which has only 1 pi bond,CH3CH=CH2,CH≡CH,CH2=CHCHO,CH3CH=CHCOOH
Toluene consists,15σ and 3π,15π and 3σ,9σ and 3π,9σ and 6π
Shortest carbon-carbon in single bond distance is present in,CH≡C-C≡CH,CH≡C-CH=CH2,CH3CH=CHCH3,CH3CH2CH2CH3
Total no of σ and π bond in enol form of pentan-2-one is,"15σ , 1π","14σ , 1π","17σ , 1π","20σ , 1π"
Which is correct sequence of hybridization in following compound CH3CH=CHNH2,sp³-sp²-sp²-sp³,sp²-sp²-sp²-sp³,sp²-sp³-sp²-sp³,sp³-sp-sp-sp³
State of hybridization in C+ in CH2=CH+ is,sp,sp²,sp³,None
Which carbon atom among the following is likely to posses tetraheadral geometry in CH2=CH-CH2-COOH,3,4,2,1
Who synthesised benzene for first time?,Bertholet,Wholer,Kolbe,Berzelius
The number of tertiary carbon atoms in the compound (CH3)2 CHCH2CH(CH3)2 is:,2,3,1,4
