question,answer,wrong1,wrong2,wrong3
"Electron moving with velocity v enters into magnetic field of B. If V and B is parallel, then the pair of electron is:",Continues to move in same straight path,Circular path,Hyperbola,Parabola
Blood grouping was first discovered by,Karl Landeister,G.D dharmendra,KL .Lincoln,Oldane
"Electron moving with velocity V enters into magnetic field of B. If V and B is parallel, then the path of electron is",Hyperbola,Circular path,Continuous to move in same straight path,Parabola
Motion of electron is affected by,Both a and b,Only magnetic field,Only electric field,None of these
A proton and doubly ionized helium nucleus having same kinetic energy projected perpendicular in magnetic field. The ratio of radii is r1lr2 is,1:1,1:2,2:1,√ 2:1
Highly energetic electron is bombarded to a metal causing fluorescence in which process?,Cathode tube oscilloscope,Electron gun,Photoelectric effect,Thermionic effect
Cathode rays have,Both charge and mass,Only mass,Only charge,No mass no charge
An alpha particle of mass 6.65 × 10^-27 kg travels at right angle to a magnetic field of 0.2T with a speed of 6 × 10^5 m/s. The acceleration of the particle will be,5.77 × 10^12 m/s²,5.77 × 10^11 m/s²,7.55 × 10^12 m/s²,7.55 × 10^11 m/s²
An oil drop carrying a charge q has a mass m kg. It is falling freely in air with terminal velocity v. The electric field required to make the drop move upwards with the same speed is,2mg/q,mg/q,mgv/q²,2mgv/q
An electron moving vertically upward enters a uniform magnetic field directed towards the north. The force on the electron will be towards,East,North,South,West
"When an electron moves through a uniform magnetic field, its speed",Remains constant,Increases,Decreases,Depends on field
"If electron, proton, neutron and alpha particles are deflected in the same electric field with same velocity. What will be the deflection in them?",Proton less than electron,Proton more than electron,Electron more than alpha particle,Proton more than alpha particle
An electron passing in direction east and perpendicular to magnetic field act towards electron. The direction of the effect of electron is towards:,South,East,West,North
"In Millikan's oil drop experiment, an oil drop is held stationary by a potential difference of 400V. If another drop of double the radius, but carry the same charge is to be held stationary, the potential difference required is",3200 V,800 V,1600 V,400 V
An electron is moving with a velocity v and enters a uniform electric field perpendicularly. Its trajectory within the field will be,Parabolic,Circular,Hyperbolic,Elliptic
