question,answer,wrong1,wrong2,wrong3
1. THE VOLUME OF ORBIT IS,A. 30 ml,B. 40 ml,C. 50 ml,D. 60 ml
2. FLOOR OF THE ORBIT IS FORMED BY,D. ALL,A. MAXILLARY,B. ZYGOMATIC,C. PALATINE
3. THE THINNEST WALL OF ORBIT IS,B. MEDIAL WALL,A. LATERAL WALL,C. ROOF,D. FLOOR
4. TOTAL NUMBER OF BONES PRESENT IN A ORBIT IS,D. 7,A. 4,B. 5,C. 6
5. INFRANTILE ORBITS ARE,B. DIVERGENT,A. CONVERGENT,C. SQUARE,D. RECTANGULAR
6. THYROID OPTHALAMOPATHY CAN CAUSE ........DIPLOPIA,C. VERTICAL,A. CROSSED/ HORIZONTAL,B. UNCROSSED HORIZONTAL,D. NONE
7. BLOW-OUTFRACTURES MAINLY INVOLVE ORBITAL FLOOR AND,B. MEDIAL WALL,A. LATERAL WALL,C. ROOF,D. ZYGOMATIC BONE
8. MOST COMMON CAUSE OF UNILATERAL PROPTOSIS INCHILDREN IS,A. ORBITAL CELLULITIS,B. PRESEPTAL CELLULITIS,C. CAVERNOUS HAEMANGIOMAD,D. THYROID OPTHALAMOPATHY
9. OCULAR GRAVES DISEASE IS ASSOCIATED WITH:,D. ALL OF THE ABOVE,A. HYPERTHAROIDESM,B. HYPOTHYRODISM,C. EUTHIROID STATE
10. PROPTOSIS REFERS TO BULGING OF THE EYEBALL IN.............DIRECTION,B. FORWARD,A. BACKWARD,C. UPWARD,D. DOWNWARD
