question,answer,wrong1,wrong2,wrong3
Arrangement of flower on floral axis is called:,Inflorescences,Placentation,Cauliflory,Angiology
Inflorescence is meant for:,Ensuring cross pollination,Bearing flower,Protection of flower,Fruit formation
Portion of stem or branch that bears cluster of flowers is called:,Peduncle,Pedicel,Petiole,Plumule
The most advanced type of inflorescence is:,Capitulum,Corymb,Catkin,Spadix
The whorl of bract present below the inflorescence of sunflower is called:,Involucre,Involucels,Stipule,Bracts
The inflorescence of onion is:,Cyme umbel,Racemose umbel,Corymb,Catkin
Three types of flowers occur in inflorescence of:,Hypanthodium,Capitulum,Cyathium,Umbel
Cyathium and hypanthodium types of inflorescence are similar in having:,Unisexual flowers,Nectar glands,Petaloid bracts,Apical pore
The ratio of female to male flowers is 1:infinity. It is found in:,Cyathium,Hypanthodium,Catkin,Verticillaster
Which is not a correct match:,Raceme-wheat,Catkin-Mulberry,Capitulum-Sunflower,Corymb-Candytuft
Family named after inflorescence:,Both a and b,Umbelliferae,Amentiferae,Solanaceae
A biparous cyme ending in uniparous cyme constitutes:,Verticillaster,Panicle,Thyrsus,Paniculate chyme
Inflorescence having unisexual sessile flowers is:,Capitulum,Umbel cyathium,Cyathium,Hypanthodium
Ediple part of Cauliflower is:,Inflorescence,Cotyledons,Mesocarp,Endocarp
Characteristics bracts associated with spikelet inflorescence of grasses are:,Glumes,Involucral bracts,Pappus,Spathes
Zigzag development of flowers on inflorescence axis is seen in:,Scorpoid cyme,Helcoid cyme,Corymb,Umbel
In head/capitulum inflorescence:,Ray florets: pistillate or neuter; zygomorphic,Ray florets:pistillate and neuter; actinomorphic,Disc florets: bisexual; zygomorphic,Disc florets: pistillate; actinomorphic
Study of fruits and their cultivation is called:,Pomology,Fruitology,Anthology,All
Fruit is :,Both b and c,"Unfertilized, immature ovary",Fertilized and ripened ovary,Typically consists of pericarp and seed
Which one of the following is a nut?,Cashew nut,Walnut,Ground nut,Betel nut
The morphological nature of the ediple part of coconut is:,Endosperm,Perisperm,Cotyledon,Pericarp
Coconut fruit is a:,Drupe,Berry,Nut,Capsule
