question,answer,wrong1,wrong2,wrong3
Which one of the following is a colonial algae?,Volvox,Ulothrix,Spirogyra,Chlorella
Which of the following shows zygotic meosis?,Chlamydomonas,Marchantia,Funaria,Fucus
Find the incorrect statement,Mannitol is a food reserve of Rhodophyceae,Agar-Agar is produced from Gracilaria,Chlorella is used in space food,Algin is produced by algae
Which of the following has non-flagellated isogamous gametes?,Spirogyra,Chlamydomonas,Volvox,Fucus
Mannitol is a reserved food found in,Fucus,Gracillaria,Prophyra,Chara
"Which of the following contains chlorophyll a,d,phycoerythrin and phycocyanin?",Rhodophyta,Chlorophyta,Phaephyta,Bacillariophyta
What is the mode of sexual reproduction in Chlorophyce?,all of the above,oogamous,anisogamous,isogamous
What is the shape of chloroplast in chlamydomonas?,cup-shaped,spiral,stellate,collar-shaped
Asexual reproduction is by the production of different types of spores. Out of that most common is,Zoospores,Carpospore,Basidospores,Akinetes
Oogamous,Non-motile female gamete,Non-motile male gamete,Large male gamete,Small female gamete
Which one of the following statements is wrong?,Mannitol is stored food in Rhodophyceae,Algin and carrageenan are products of algae,Agar-agar is obtained from Gelidium and Gracillaria,Chlorella and Spirilluna are used as space food
Which one of the following statements is wrong?,Algin is obtained from red algae and carrageen from brown algae,Algae increases the level of dissolved oxygen in the immediate environment,Agar-agar is obtained from Gelidium and Gracillaria,Laminaria and Sargassum are used as food
Cell wall of green algae is made up of,Inner layer of cellulose and outer layer of pectose,Inner layer of chitin and outer layer of pectose,Inner layer of cutin and outer layer of pectin,Inner layer of pectose and outer layer of cellulose
Which of the following algae shows anisogamy?,Udorina,Volvox,Spirogyra,Ulothrix
An epizoic algae attached to snails shell is,Cladophora,Oedogonium,Zoochlorella,Nostoc
'Red snow' is caused by,Chlamydomonas nivalis,Trichodesmium erythrium,Dinoflagellates,Kelps
Largest unicellular algae is,Acetabularia,Microcystis,Macrocystis,Dictyota
Parasitic algae is,Cephaleuros,Volvox,Vaucheria,Oedogonium
Red sea is red due to,Trichodesmium erythrium,Diatoms,Dinoflagellates,Bluegreen algae
Which of the following is absent in algae?,Embryo,Chlorophyll,Reserve food material,Sexual reproduction
The organ by which ulothrix is attached to its substratum is called a,Holdfast,Rhizoid,Trichome,Root
"On germination, each spirogyra zygospore gives rise to",One filaments,Four filaments,Three filaments,Two filaments
In scalariform conjugation two fusing gametes of spirogyra are,Morphologically similar but physiologically dissimilar,Morphologically dissimilar,Morphologically and physiologically dissimilar,Morphologically similar
'Eye spot' or 'Stigma' is present in,Chlamydomonas,Ulothrix,Spirogyra,None
Red rust of coffee is caused by,Cephaleurous,Bacteria,Nitella,Harveyella
I2 is obtained from,Brown algae,Red algae,Blue green algae,None
The cyanobacteria that is cultivated in the tanks as a protein rich food is,Spirulina,Nostoc,Anabena,Oscillatoria
