question,answer,wrong1,wrong2,wrong3
﻿ Sodium is commercially obtained by the electrolysis of its fused sodium chloride. The process is called,Down's process,Castner process,Kellner process,Solvay process
"Which of the following metals gives golden yellow
colour on flame test.",Na,Ca,Ba,K
Borax is,Na2B4O7. 10H20,Na2B03.4H20,Na2B204.7H20,Na2B4O7.5H20
What happens ZnCl2 is treated with NaOH,"White ppt. is formed which is soluble in excess of
NaOH",Black ppt. is fomed,No ppt. is formed,"White ppt. is formed which is insoluble in excess of
NaOH"
"Sodium reacts more vigorously with water than
lithium because sodium is",More electropositive than lithium,Heavier than lithium,Less electropositive than lithium,A non metal
Alkali metals are good reducing agents becauseThey are metal,Their ionization potential is low,They are metal,They are monovalent,They have small atomic radii
"When conc. solution of NaCl in water is saturated with NH3 and then CO2 is passed through, the liquid NaCl is converted into",NaHCO3,Na2CO3,NH4CI,NH3CO3
"The electronic configuration of an element is 2,8,1. Which of the following statement is true?",It forms basic oxide,It is diatomic,It is a non metal,It is a transitional metal
"Metallic lusture of sodium metal can be explained on
the basic of",Oscilation of loose electrons,Diffusion of sodium ions,Exitation of free protons,Existence of body centered lattice
A solution of sodium metal in liquid ammonia is strongly reducing due to the presence of,Solvated electrons,Sodium atoms,Sodium hydride,Sodium amide
Sodium and potassium are kept under,Kerosene,Alcohol,Water,Aqua regia
Fire extinguisher contains H2SO4 and,NaHCO3 + Na2CO3,Na2CO3,NaHCO3 solution,CaCO3
"Electrolytic reduction method is used in the
extraction of",Highly electropositive element,Highly electronegative element,Inert metals,Transitional metals
The best material used in photoemission is,Cs,K,Na,Li
Excess of NaOH when reacts with zinc produces,Na2ZnO2 + H2,NaOH+ZnO,ZnH,Zn(OH)2
"The chemicals that are consumed during the manufacture of sodium carbonate by Solvay's process
are:",Ammonium bicarbonate and sodium chloride,Calcium carbonate and sodium chloride,Calcium hydroxide an ammonia,Calcium chloride and sodium chloride
.In the manufacture of washing soda Na2CO3 the compound formed after the treatment of ammonical brine solution with CO2 is,NaHCO3,Na2CO3,(NH4)2CO3,None
Sodium is made by electrolysis of molten mixture of about 40% NaCl and 60% CaCl2 because,This mixture has lower melting point of NaCl solution,CaClz helps in conduction of electricity,Ca** can displace Na+ from NaCl,Ca can reduce NaCl to Na
Caustic can sodabemanufacturedby,Castner - kellner process,Solvay - ammonia soda process,Down's process,Cyanide process
"How many water of crystallization (WOC) is present
in a molecule of washing soda?",10,9,11,8
"How many water of crystallization (WOC) is present
in a molecule of washing soda?",10,9,11,8
.In Down's process for the extraction of sodium,Cis anode and Fe is cathode,C is cathode and fe is anode,Pt is anode and Fe is cathode,Cis anode and Pt is cathode
"The alkali metals can easily be detected by the flame
test, because the have",Low ionization energy,Low density,Low electron affinity,High conductance
The hydride of an element E reacts with wate producing hydrogen and an alkali solution. The element 'E' probably,An alkali metal,A transitional metal,A metal low in activity series,A metal in group IV
The hydride of an element E reacts with wate producing hydrogen and an alkali solution. The element 'E' probably,An alkali metal,A transitional metal,A metal low in activity series,A metal in group IV
Which of the following elements exists in only one oxidation state in most of its compound?,potassium,Chloride,Lead,Tin
Sodium nitrate decomposes above 800°C to give,O2,N2,NO2,Na20
"NaOH is manufactured by the electrolysis of brine
solution. The products of reaction are",Cl2 and H2,Cl2 and Na-Hg,Clz and Na,Cl2 and O2
Squashes are stored by adding,Sodium metabisulphite,Citric acid,KCl,Na2SO3
Soda ash is,Na2CO3,Na2CO3.H2O,NaOH,NaHCO3
What is the product formed when CO2 is bubbled into aqueous solution of Na2CO3,NaHCO3,NaOH,N2O,OH¨
Which of the following are recycled in the manufactured of Na2CO3,CO2 and NH3,CO2 and NH4Cl,NacL and CaO,CaCl2 and CaO
