question,answer,wrong1,wrong2,wrong3
Universal blood donor is,O-ve,AB+ve,A+ve,B+ve
Classes of arthropoda are,"Crustacea, Insecta, Myriapoda, Arachnida","Crustacea, Arachnida, Cephalopoda, Gastropoda","Crustacea, Insecta,Cephalopoda, Arachnida","Crustacea, Insecta, Myriapoda, Polychaeta"
Sexual cycle of plasmodium occurs in,Partly human and partly mosquito,Mosquito only,Human only,none
Hemozoin is secreted during........... schizogony,Exo-erythrocytic,Pre-erythyrocytic,Erythrocytic,Sporogony
Longest incubation period is of,P. malariae,P. vivax,P. ovale,P. falciparum
Porifera differs from other by,Choanocytes,Hollow body,Coelenteron,Nematocytes
The deficiency of albumin protein causes,Edema,Hypertension,Hypotension,Hypocalcemia
Corals belong to,Coelenterata,Porifera,Echinodermata,Mollusca
Which is a vertebrate?,Globe fish,Cuttle fish,Cray fish,Devil fish
Colostrum from mothers milk contain,Ig A,Disease resistance,Macrophages,Leucocytes
Pumping of Na and K in small intestine is by,Active transport,Facilitated diffusion,Passive transport,Simple diffusion
Which is homologous to penis in female?,Clitoris,Labia majora,Labia minora,Vulva
Aldosterone is secreted by,Zona glomerulosa,Zona fasiculata,Zona reticularis,Zona pellucida
Horn of rhinoceros are modified form of,Matted hairs,Epidermis,Mesodermal tissues,Odontoblast
Heart of crocodile is,4 chambered,3 chambered,Incompletely 3 chambered,incompletely 4 chambered
Alternate host of Fasciola hepatica is,Snail,Sheep,Goat,Human
Anticoagulant most commonly used to store blood in blood bank is,Citrate phosphate dextrose,Citrate phosphate taurocholate,Citrate phosphate gluconate,CItrate phosphate glycolate
"When there is net influx of positive ions in neuron, then there occurs",Depolarization,Repolarization,Hyperpolarization,Resting potential
Local anaesthasia prevents the pain by closing of,Voltage gated Na+ ion,Voltage gated K+ ion,Voltage gated Ca++ ion,Voltage gated Mg++ ion
"In ECG, PR interval represents",P wave and PR segment,PR wave and P segment,R wave and PR segment,PR wave and PR segment
Signet ring stage is present in ......... cycle,Erythrocytic,Pre- erythrocytic,Exo- erythrocytic,Sporogony
Which is correct about digestion of fat?,Chylomicrons are absorbed by lymphatic vessels in intestine,Fats is absorbed as glycerol and triglycerides form,Micelles are absorbed by blood vessels in intestine,Micelles absorbed by lymphatic vessels of intestine
Organ of mechanical digestion in Earthworm is,Gizzard,Pharynx,Stomach,Intestine
Locomotion in earthworm is directly facilitiated by,Contraction of segments in body,Setae,Clitellum,Parapodia
"Mammals are divided into Prototherians, MEtatherians, and Eutherians. The most characteristic feature of Eutherian mammal is",Placenta,Ear pinna,Body hair,Diaphragm
Thermoregulatory centre of body is,Hypothalamus,Pons,Cerebellum,Pituitary
Which part of sperm produces hyaluronidase?,Acrosome,Mitochondria,Centrosome,Tail
Hamburger phenomenon is essential for transport of,CO2,O2,CO,N2
Haversian canal are interconnected by,Volkman's canal,Lamellae,Canaliculi,Lacunae
Most common malignancy developed in AIDS patient is,Kaposis sarcoma,Melanoma,Carcinoma,Leukemia
Which of the following is incorrect about fossils?,Fossils are dead and decaying materials of organisms,Fossils are remains of hard parts which lived in the past,Fossils at lower strata are older than upper strata,Fossils in sedimentary rocks determine time period
Population of old age people increases due to,Increased life expectancy,Decreased life expectancy,Death rate,Birth rate
"In viral infection, the substance secreted in the body is",Interferon,`Serotonin,Histamine,Heparin
Intercalated discs and branched muscles are found in,Cardiac muscle,smooth muscle,Striated muscle,Non- striated muscle
Highest amount of CO2 transportation occurs in the form of :,Bicarbonates dissolved in blood plasma,Carbaminohemoglobin,Carbonates dissolved in blood plasma,Bicarbonates dissolved in blood
Graffian follicle is present in,Ovary of human,Ovary of frog,Testes of frog,Testes of man
Hearing of sound is releated to,Basilar and Tectorial membrane,Basilar and Reissen's membrane,Reissenr's and Tectorial membrane,Tectorial membrane only
"In chordates, notochord is",Ventral to nerve cord and dorsal to alimentary canal,Dorsal to nerve cord and ventral to alimentary canal,Ventral to both nerve cord and alimentary canal,Dorsal to both nerve cord and alimentary canal
"In reptiles, the excretory and reproductive openings both leads to",Urodaeum,Proctodaeum,Anus,Coprodaeum
Bats can locomote at night due to echolocation by producing,Ultrasonic waves,Infrasonic waves,Radiowave,Electromagnetic waves
Direct ancestor of human is,Hominid,Anthropoid,Ape,Monkey
Forest of nephridia is found in,Cingulum,Prostomium,Peristomium,Pharynx
Hodgkin disease is releated to,Cancer,Tuberculosis,Typhoid,Diarrhoea
........... is excrtetory organs of Platyhelminthes,Flame cells,Nephridia,Kidney,Coxal gland
Classification of Protozoa is on the basis of,Locomotory organs,Feeding habit,Excretory system,Habitat
Classification of Porifera is based on,Spicules,Water canal system,Circulatory system,Cell grade
Organ of Bojanus is related to....... function,Excretory,Circulatory,Respiratory,Digestive
"In stomach, curdling of milk is caused by",Pepsin,Rennin,Trypsin,Papain
Largest muscle of human body is,Gluteus maximus,Gluteus minimus,Masseter,Stapedius
Which is viviparous animal?,Shark,Platypus,Bird,Reptiles
Organism tolerate narrow range of salinity is,Stenohaline,Euryhaline,Homeothermic,Poikilothermic
Incomplete digestive system is present in,Tapeworm,Whip worm,Hookworm,Ascaris
Spermatheca pores found in,5/6 6/7 7/8 8/9,2/3 3/4 4/5 5/6,6/7 7/8 8/9 9/10,3/4 4/5 5/6 6/7
In which of the following exflagellation occurs?,Microgametocyte,Mega gametocyte,Sporozoite,Oocyte
"In malaria patient, toxic substance hemozoin is released in",Spleen,Liver,Stomach of FAM,Salivary gland
What volume of blood( in litre) reach kidney in 1 minute?,1.2,0.4,0.8,12.5
Which is correct with its category?,Stimulant- Amphetamine,Narcotics-LSD,Tranquilizer- Codeine,Sedative- Cocaine
Which is incorrect?,Troponin - Fibrous protein,Myosin - Contractile protein,Myoglobin- Red muscle,Smooth muscle - Involuntary muscle
Sea lily is,Antedon,Holothurian,Asterias,Echinus
Which is learned behaviour?,Cycling and dancing,Tendon reflex,Salivation,Blinking of eye
Which is incorrect ?,Archaeopteryx- Living fossil,Echinodermata- Water vascular system,Peripatus- connecting link,Mollusca- Gastropoda
The simple organic compound that may have first evolved in the direction of origin of life on earth may have been,Nucleic acid and protein,ammonia and protein,urea and nucleic acid,urea and protein
Which was not present in primitive atmosphere?,O2,CH4,NH3,H2
Ameloblast is found in,Tooth,Pancreas,Liver,Small intestine
Infective stage of Plasmodium is,Sporozoite,Trophozoite,Merozoite,Ookinete
"A newly married women diagnosed with uterine carcinoma had undergone hysterectomy. Now she wanted to have a child, then which of the following situation is better for her?","IVF and eggs lend by intended mother, father's sperm and surrogate womb",IVF and eggs lend by surrogate mother,IVF and egg transfer in uterus of intended mother,IVF and eggs lend by surrogate mother and father sperms
Symptoms of frequent urination having no glucose in urine suggest that the person is suffering from,Diabets insipidus,Diabetes mellitus,Diabetes polydipsia,Cretinism
During hibernation frog respires by,Cutaneous,Skin and lungs,Buccopharyngeal,Pulmonary
Frog has,Ear but no pinna,Mouth with no tooth,Tongue with no lobe,Eye with no lid
Innominate veins of frog is formed by,Internal jugular and subscapular,External jugular and carotid,Lingers and mandiblular,subcutaneous and subclavian
Duration of Atrial systole is,0.1 sec,0.3 sec,0.8 sec,0.5 sec
...... lines the cavity of brain and secretes CSF,Ependymocytes,Astrocytes,Glial cell,Schwann Cells
Pearl oyster belongs to class,Pelecypoda,Gastropoda,Cephalopoda,Aplacophora
Semicircular canal in internal ear helps in,Balancing,Hearing and balancing,Hearing,Decision
Which is not found in penis?,Corpus callosum,Corpus cavernosa,Corpus spongiosum,Glans penis
Characteristics feature of mammal is,Ear pinna,Scales on skin,Monocular vision,Cloaca
"If blood has more CO2, then breathing will be",deeper and faster,slower,normal,more pH in blood
"Whale, bat and rat belongs to same group. They secrete milk and also have",Muscular diaphragm,Absent neck,Scales on body,Aquatic
Which is correct?,Mollusca- Hemocoelomate,Platyhelminthes- Eucoelomate,Arthropoda- Radial Symmetry,Annelida- Water canal system
