question,answer,wrong1,wrong2,wrong3
1. ABSENCE OF LENS IA KNOWN AS,B. APHAKIA,A. PESEUDOPHAKIA,C. ECTOPIA LENTIS,D. PHAKIC
2. THE MAIN COMPOSITION OF LENS IS,C. WATER AND PROTEIN,A. WATER AND GLUCOSE,B. WATER AND FAT,D. LIPID AND PROTINE
3. THE TOTAL LAYERS OF LENS IS,B. 3,A. 2,C. 4,D.5
4 THE REFRACTIVE POWER OF LENS IS,D. 16 D,A. 22 D,B. 45 D,C. 60 D
5. LENSE IS DERIVED FROM,A. ECTODERM,B. MESODERM,C. ENDODERM,D. ALL
6. OXYGEN REACH THE AVASCULAR LENS VIA,A. AQUOUS HUMOUR,B. VITREOUS  HUMOUR,C. CIALIRY BODY,D. ZONULAR LAMELLA
7. THE CHANGE IN SHAPE OF CRYSTALLINE LENS BERINGS OUT,D. ACCOMMODATION,A. DUCTION,B. DIVERGENCE,C. CONVERGENCE
8. PHYSIOLOGICAL INSUFFCIENCY OF ACCOMMODATION WITH INCREASING AGE IS,D. PRESBYOPIA,A. MYOPIA,B. HYPEROPIA,C. PSEUDO MYOPIA
9. THE COMPLETE DISPLACEMENT OF LENS FROM PUPIL IS KOWN AS,C. DISLOCATION,A. SUBLUXATION,B.ECTOPIA LENS,D. MICROSPHEROAPHAKIA
10. THE SHAPE OF LENS FIBRE IS......... IN CROSS SECTION.,B. HEXAGONAL,A. OCTOGONAL,C. OVAL,D. SQUARE
