question,answer,wrong1,wrong2,wrong3
"When ethyl hydrogen sulphate is heated with excess of alcohol at 410 K, the product obtained is",Diethyl ether,Ethane,Ethylene,Diethyl sulphate
Anisole with conc. \(HNO_3\) and conc. \(H_2SO_4\) gives,o- and p-Nitroanisole,Phenol,Nitrobenzene,m-Nitroanisole
"When a 1° alkyl halide react with an alkoxide , the product is",ether,hydrocarbon,unsaturated hydrocarbon,alcohol
Which of the following cannot be prepared by using Williamson's synthesis?,Di-tertiary butyl ether,Methoxybenzene,Benzyl-p-nitrophenyl ether,Methyl ter-butyl ether
Which of the following compounds is resistant to nucleophilic attack by \(OH^-\) ions ?,Diethyl ether,Urea,Acetonitrile,Acetamide
How many isomeric ethers are represented by the molecular formula \(C_4H_{10}O\) ?,3,2,4,5
"In Williamson synthesis, ethoxyethane is prepared by",heating sodium ethoxide with ethylbromide,passing ethanol over alumina,heating ethanol with dry \(Ag_2O\),treating ethyl alcohol with excess of \(H_2SO_4\) at 443 K
An aromatic ether is not cleaved by HI even at 525 K. The compound is,\(C_{6}H_{5}O - C_{6}H_{4}(CH_{3})\),\(C_6H_5OCH_3\),\(C_{6}H_{5}OC_{3}H_{7}\),Tetrahydrofuran
Ether is obtained from ethyl alcohol,in presence of \(H_2SO_4\) at 413 K,in presence of \(H_2SO_4\) at 473 K,in presence of \(H_2SO_4\) at 383 K,in presence of \(H_2SO_4\) at 273 K
Acetic anhydride reacts with diethyl ether in the presence of anhydrous \(AlCl_3\) to give,\(CH_{3}COOCH_{3}\),\(CH_{3}CH_{2}COOCH_{3}\),\(CH_{3}COOCH_{2}CH_{3}\),\(CH_{3}CH_{2}OH\)
Which of the following compounds on boiling with alkaline \(KMnO_4\) and subsequent acidfication will not give benzoic acid?,Anisole,Toluene,Acetophenone,Benzyl alcohol
"An organic compound of molecular formula \(C_3H_6O\) does not produce any precipitate with 2, 3-dinitrophenyl hydrazine and does not react with sodium metal. This compound is",\(CH_{2} = CH - OCH_{3}\),\(CH_{3}COCH_{3}\),\(CH_{3}CH_{2}CHO\),\(CH_{2} = CHCH_{2}OH\)
The C-0-C angle in ether is about,110°,180°,190° - 28',105°
The ether that undergoes electrophilic substitution reactions is,\(C_{6}H_{5}OCH_{3}\),\(CH_{3}OC_{2}H_{5}\),\(CH_{3}OCH_{3}\),\(C_2H_5OC_2H_5\)
Anisole with \(HNO_3\) and conc. \(H_2SO_4\) gives,o-and p-nitroanisoles,Phenol,Nitrobenzene,o-Nitroanisole
Ether which is liquid at room temperature is,\(C_{2}H_{5}OC_{2}H_{5}\),\(C_{2}H_{5}OCH_{3}\),\(CH_{3}OCH_{3}\),None
An ether is more volatile than an alcohol having the same moelcular formula. This is due to,inter-molecular hydrogen bonding in alcohols,dipolar character of ethers,alcohols having resonance structure,inter-molecular hydrogen bonding in ethers
When methyl-1-butyl ether is formed?,\((CH _3 ) _3 CONa + CH_{3}Cl\),\((C _2 H _5 )_ 3 CONa + CH_{3}Cl\),\(CH_{3}ONa +(CH _3 )_ 3 CCl\),\((CH _3 ) _3 CONa + C_{2}H_{5}Cl\)
Alcohols are isomeric with,ethers,acids,esters,aldehydes
Williamson's synthesis is an example of,Nucleophilic substitution,Nucleophilic addition,Electrophilic addition,Electrophilic substitution
Which of the following process is used in the preparation of ether?,Williamson's synthesis,Wurtz reaction,Kolbe's synthesis,Hoffmann synthesis
Williamson's synthesis is used to prepare,Both,Only symmetrical ethers,Only asymmetric ethers,None
Ethers on hydrolysis give,Alcohols,Carboxylic acids,Esters,Ketones
Ethers can be used as,All of the above,General anaesthetic,Refrigerant,In perfumery
Heating methyl phenyl ether with HI give,Methyl iodide + Phenol,Methanol + Iodobenzene,Methyl iodide + Iodobenzene,Methyl alcohol + Benzyl alcohol
Higher homologues of ether can be prepared by,Grignard reagent,Alkyl halides,Diazomethane,None of these
