question,answer,wrong1,wrong2,wrong3
The angular momentum of the electron in the second orbit of the 'H' atom is,h/π,h/2πm,h/2π,2π/π
"In an electronic transition, atom cannot emit:",Gamma rays,UV radiation,IR radiation,Visible light
"The radius of hydrogen atom in the ground state is 0.53Å after excitation, it is found that the radius increases to 2.12Å. The value of principle quantum number will be",2,5,3,4
The ratio of energy of hydrogen atom in the first to second,1:4,1:1,4:9,3:4
The radius of first orbit of electron in hydrogen atom is,0.53Å,5.3Å,0.05Å,53 x10^-10Å
The energy required to. electron in n = 2 state of hydrogen atom is equal is,3.4 eV,6.8 eV,13.6 eV,27.2 eV
If an electron jumps from fourth excited state to the second excited state the no. of emission transitions between these state will be,3,6,4,2
Energy band on solid is given by,Bohr's theory,Ohm's law,Pauli's exclusion,Heisenberg's uncertainty principle
"The energy required to excite hydrogen atom from n = 1 to n = 2, energy state is 0.2 eV. The wavelength of the radiation emitted by the atom when it goes back to ground state is equal to:",1120Å,1020Å,120Å,1020Å
The ionization energy of e is 13.6 eV. Then ionization energy when the e- is already in 1st excited state is,3.4eV,13.6 eV,10.2eV,6.8eV
Which lies in visible region?,Balmer series,Lyman series,Paschen series,Pfund series
The potential energy of an electron in the second orbit of carbon atom (Z = 6) is E. What is the total energy of an electron in the third orbit of He atom (Z=2),2E/81,E/9,9E,8E/2
The orbital angular momentum of electron in hydrogen atom varies as,h/2π,h,h/2,2h
The radius of 1st orbit of hydrogen atom 0.53Å then the radius of 2nd Bohr orbit is,4×0.53Å,2x 0.53A,0.53Å,9× 0:53Å
Radiations coming from Lyman series falls in the range,Ultraviolet,Visible,Infrared,Far infrared
The ratio of the shortest and longest wavelength in the first five spectrum of  hydrogen.,1/25,3/4,2334/628,25
The ratio of wavelength of first line of  Lyman series to first line of Balmer series is,5:27,1:4,27:20,20:27
Balmer series  lies approximately between,7000 A - 4000 Å,1Å - 10Å,1 cm-10 cm,70 Å - 40 Å
Bohr's postulate's correctly measures,Angular momentum,Radius of an atom,Rydberg's constant,none
If the energy of Hydrogen atom in ground state is - 13.6 eV. The its is 1st excited state will be,-3.4 eV,-6.8 eV,-27.2 eV,-52.4 eV
Which of the following transitions in a hydrogen atom gives an absorption line of higher frequency?,n=1 to n = 3,n=3 to n = 1,n=1 to n = 2,n=2 to n = 1
The ratio of Rydberg' constant for helium to the Rydberg constant for hydrogen is:,4:1,1:1,1:4,1;2
Emission line spectrum is obtained from,Sodium vapour lamp,Sun,Candle flame,White hot filament of electric bulb
The energy of lowest level of hydrogen atom is -13.6 eV. The energy of the emitted photons in transition from n = 4 to n = 2 is,2.55 eV1.85 eV,1.2 eV,1.85 eV,2.8 eV
If r be the radius' of Bohr orbit of H atom then the radius of same orbit of He++ is,r/2,r,2r,r/4
The frequency of electron around first Bohr orbit is,\(h/4π^2mr^2\),\(4π^2mr^2/h\),\(h/2π^2mr^2\),\(2π^2mr^2/h\)
If total energy of electron is Eo. Then its  PE is,2Eo,Eo,Eo/2,Eo
In which of the following transitions will the wavelength be minimum,n=2 to n=1,n=5 to n=4,n=4 to n=3,n=3 to n=2
The radius of electron's 2nd stationary orbit in Bohr's atom is R. The radius of the tird orbit will be,2.25R,3R,9R,R/3
"The radius of Bohr's first orbit is a,. The radius of electron in first orbit of singly ionized helium atom is",a./2,4a.,a./4,2a.
The ratio of energies of hydrogen atom in its first to second excited states is,4/9,1/4,9/4,4
The ratio of total energy of an electron in an hydrogen atom in n = 1 and n = 4 orbits (i.e. E1: E2) is,1:16,1:4,4:1,16:1
The ratio of kinetic energy of an  electron in hydrogen atom in n=1 to n=4 orbit is,16:1,1:4,4:1,1:16
The ionisation energy of hydrogen atom is 13.6eV. The ionization energy of helium atom would be,54.4eV,13.6eV,27.2eV,6.8eV
The speed of electron in fourth Bohr orbit of hydrogen atom is,c/548,c/137,4c/137,c/274
The first excitation potential of given atom is 10.2eV. The ionization potential is:,13.6V,20.4V,30.6V,40.8V
The ionisation energy of hydrogen atom is 13.6eV. Hydrogen atoms in the ground state are excited monochromatic radiation of photon energy 12.1eV. The spectral lines emitted by hydrogen atoms according to Bohr's theory will be:,3,1,2,4
The Rydberg constant for an electron revolving around hydrogen atom is R. The Rydberg constant for electron revolving about 10 times ionised sodium atom will be,greater than R,R,less than R,arbitrary
The wavelength of series limit of Lyman series is:,1/R,R,1/4R,INFINITE
The wavelength of first line of Lyman series of hydrogen is 1216Å. The wavelength of second member of Balmer series would be:,4864 Å,304 Å,2/3 × 1216 Å,3/2 × 1216 Å
The series limit of Balmer series is 3670 Å. The series limit for Paschen series will be:,8258 Å,970 Å,1632 A,14680 Å
The frequency of the first line of Balmer series in hydrogen atom is Vo. The frequency v of the line emitted by doubly ionised lithium atom (Li++) is:,9Vo,2Vo,4Vo,Vo/9
Which of the following transitions in a hydrogen atom emits the photon of highest frequency?,n=2 to n=1,n=2 to n=6,n=6 to n = 2,n=1 to n = 2
Minimum excitation potential of Bohr's first orbit in hydrogen atom is:,10.2V,13.6V,3.4V,3.6V
"If the shortest wavelength in the Lyman series is 918 Å, the longest wavelength
in the same series will be",1224 Å,1600 Å,2430 Å,∞
"If an electron has orbital angular momentum quantum number 1 = 7, then it will have an orbital angular momentum equal to:",\(√56 (\frac{h}{2π})\),\(7 (\frac{h}{2π})\),\(42 (\frac{h}{2π})\),\(√7 (\frac{h}{2π})\)
The wavelength of the first line of Lyman series of hydrogen is 1216 A The wavelength of the second line of the same series is:,1026 Å,912 Å,3648 Å,6566 Å
The velocity of an electron in the second orbit of tenly ionised sodium atomi. A (Z=11) is v. The velocity of an electron is in its fifth orbit will be,2/5 v,v,22/5 v,5/2 v
The angular momentum of electron in hydrogen atom is proportional to:,√r,r,r^2,1/r
"In an atom, the two electrons move around the nucleus in circular orbits of radii R and 4R. The ratio of the times taken by them revolution is",1/8,1/4,4,8
"If an electron jumps from fifth excited state to second excited state, the number of emission transitions between these states will be",6,3,4,8
"If elements with principle quantum number n >4 were not allowed in nature, the number of possible elements will be",60,4,32,64
The process responsible for production of laser light is:,Spontaneous emission,Photoelectric emission,Stimulated emission,Thermionic emission
Angular momentum in 5th Bohr's orbit  is given by:,2.5 h/π,5h/π,10 h/π,2h/π
Quantum numbers are used to describe:,Electron,Proton,Positron,Nucleus
"An electron is present in the first excited state, then what is the excitation energy?",10.2 eV,0,3.4 eV,6.8 eV
