question,answer,wrong1,wrong2,wrong3
Study of DNA and RNA under ?,Genetics,Cytology,Molecular biology,None
Who coined the term protoplasm?,Purkinje,Joshep Dalton,Robert hook,Carl Linnaeus
Test cross ratio is,1:3,1:2:1,1:1,All
Start of tracheophytes,A,B,C,D
Seed present flower absent,A,B,C,D
Tripple fusion is present in,A,B,C,D
Mitochondrial called semi-autonomous why ?,A,B,C,D
Siliqua is mincarpillary or bicarpellary ?,A,B,C,D
Satellite gene present above,A,B,C,D
Boulting of plant is due to,A,B,C,D
Edward syndrome is trisomy of ?,18 chromosome,21 chromosomes,15 chromosome,All
Conjoint vascular bundle,A,B,C,D
Ecesia examplesaa,A,B,C,D
low temperature seed preserve,a,b,c,d
insitu and exsitu conservation ?,cryogenic preservation,b,c,d
PCR was discovered by ?,Kary mullis,Robert hook,Robert brown,Joshep
Tracheophytes are,A,B,C,D
Which is used for editing gene of plants ?,Agrobacterium mediated tech,CRISPERCRCAS9,C,D
A mother with blood group ABO has A homology and father is B what are blood groups possible?,AB and B,AB and A,AB and AB,A and B
Conjoint collateral and open vascular bundle are present in,Dicot steam,Monocot steam,Dicot root,Monocot root
Absorption spectrum of photosynthesis is,A,B,C,D
Sexual system of classification is given by,A,B,C,D
Difference between beer and wine,A,B,C,D
The species which are likely to be in danger of extent fall under,,Endangered,Extinct,Threatenind
a population contain only one O positive blood group if it dies this is which type?,Survival of fittest,B,C,D
Number of gamates from AaBbCcDdEE,8,13,16,18
"In ABO system, mother is homozygous B and father is unknown A. The blood group of progeny us",AB or B,A,B,None
Endosperm of angiosperms is,Triploid,Diploid,Hiploid,None
Secondary constriction is known as,A,B,C,D
Acid present in apple is,A,B,C,D
Presence of more than two alleles for particular gene,A,B,C,D
Which one of the following is increase on addition of c-14 to cultural media?,DNA,RNA,C,D
Slit roots arise from.,Upper internode,Lower internode,C,D
explant sterilized by,A,B,C,D
